YEAR,DISTRICT,AGE_CAT,GENDER,COUNT
2008,11,2,2,855062.0289561647
2008,11,2,1,813022.3016428417
2008,11,1,1,153121.93724966777
2008,11,1,2,138254.05947692826
2008,11,3,1,174140.7006583606
2008,11,3,2,190128.86550118666
2008,12,2,1,794464.9157339274
2008,12,2,2,885557.4941066473
2008,12,3,1,191801.2270883809
2008,12,1,1,150030.14999249476
2008,12,3,2,211634.85238516776
2008,12,1,2,142753.84561304096
2008,13,2,1,447236.93058120273
2008,13,2,2,491626.0224920703
2008,13,1,2,77847.60569504999
2008,13,1,1,80228.76145757147
2008,13,3,2,119841.75526032978
2008,13,3,1,111202.33926186568
2008,21,3,1,103198.16302884772
2008,21,3,2,110697.91519590597
2008,21,2,2,458084.08007093676
2008,21,2,1,387068.22123241524
2008,21,1,2,91620.48866171138
2008,21,1,1,88786.94248609069
2008,22,2,1,139854.88241697784
2008,22,2,2,163566.86814691976
2008,22,1,2,30234.267375937812
2008,22,3,2,32202.019301125125
2008,22,1,1,30353.45488497655
2008,22,3,1,28729.985220960447
2008,23,3,1,56975.2054246849
2008,23,2,2,272400.433603284
2008,23,3,2,46978.15152328112
2008,23,2,1,243084.8346307745
2008,23,1,1,50899.90311758534
2008,23,1,2,41628.28887483833
2008,31,3,1,91150.7138642087
2008,31,2,1,348834.62728813937
2008,31,2,2,393838.0225968951
2008,31,3,2,107418.95470980724
2008,31,1,2,69082.50547456503
2008,31,1,1,76075.9643799226
2008,32,2,1,265394.213029613
2008,32,2,2,306955.8822586447
2008,32,1,1,56898.25853618882
2008,32,3,1,67589.16156870381
2008,32,3,2,78059.324233698
2008,32,1,2,57970.126802602375
2008,33,2,1,214944.44227396348
2008,33,2,2,235943.96585579554
2008,33,3,1,46256.89160411764
2008,33,1,1,44697.49071317488
2008,33,3,2,44950.008083951405
2008,33,1,2,48207.29296400662
2008,51,2,2,182439.90544768082
2008,51,3,1,30617.636994124514
2008,51,2,1,145353.65639503233
2008,51,1,1,38817.563288380676
2008,51,3,2,29636.76677093355
2008,51,1,2,44951.79592093494
2008,52,2,1,255936.12477973255
2008,52,2,2,278827.516850625
2008,52,1,2,56805.947728784566
2008,52,1,1,63363.652084504916
2008,52,3,2,51180.28296611863
2008,52,3,1,52917.21260771748
2008,53,2,1,117023.64093065578
2008,53,2,2,112019.75387571628
2008,53,3,1,18188.817652832746
2008,53,1,2,28235.567252813667
2008,53,3,2,18071.52186918598
2008,53,1,1,28425.136089164524
2008,61,2,1,553714.8067579375
2008,61,2,2,630921.0095518962
2008,61,1,2,99561.39942817391
2008,61,3,2,144605.29495290192
2008,61,1,1,111239.51983148213
2008,61,3,1,117305.3415364902
2008,62,2,1,269913.1435820177
2008,62,2,2,293679.71704321634
2008,62,3,2,58810.91997673051
2008,62,1,1,57229.08588438908
2008,62,1,2,54324.37648697837
2008,62,3,1,51788.05621613689
2008,71,2,1,289793.2565307363
2008,71,2,2,316030.96110223
2008,71,1,1,66373.1785047756
2008,71,1,2,56347.148175549315
2008,71,3,1,54388.057487325554
2008,71,3,2,63589.74277697305
2008,72,2,2,148817.7445328062
2008,72,2,1,138019.7563584996
2008,72,1,2,28896.875542195772
2008,72,3,2,29007.469190645417
2008,72,1,1,28826.65595063062
2008,72,3,1,26999.65250129143
2008,81,2,2,335770.9775756642
2008,81,2,1,292963.0829590644
2008,81,1,2,63829.15193245073
2008,81,3,2,72694.89609724152
2008,81,1,1,72016.95863313378
2008,81,3,1,64710.37309603176
2008,82,2,1,172301.80113951743
2008,82,2,2,190950.15832586034
2008,82,1,2,41129.23291404189
2008,82,3,1,30659.20615791599
2008,82,3,2,26633.337287751197
2008,82,1,1,41093.23657431056
2008,91,2,1,384739.8211872775
2008,91,2,2,400920.79059829755
2008,91,3,2,80677.1712516414
2008,91,3,1,85241.77940938078
2008,91,1,1,74354.65473614748
2008,91,1,2,68347.61959813634
2008,92,2,2,326003.7938066003
2008,92,1,1,55540.8787569029
2008,92,2,1,279085.8578573428
2008,92,3,1,70850.02820698587
2008,92,1,2,54321.65709334305
2008,92,3,2,78084.23473953611
2009,81,2,2,318.69361476011
2009,81,2,1,318.69361476011
2016,11,3,1,629481.2887891508
2016,11,3,2,684652.784275738
2016,11,1,1,127276.3222600053
2016,11,2,1,332816.6431516397
2016,11,2,2,390212.942088692
2016,11,1,2,129501.68498658287
2016,12,2,1,312677.0620748913
2016,12,3,2,699130.9127147561
2016,12,1,1,148048.32059725147
2016,12,2,2,360428.3320299769
2016,12,3,1,654950.2129768947
2016,12,1,2,138083.4921958898
2016,13,2,1,172649.9321381417
2016,13,3,2,369827.4658579361
2016,13,3,1,332320.1699805919
2016,13,1,1,80594.95789914305
2016,13,2,2,207667.0732538921
2016,13,1,2,72201.04834869083
2016,21,3,2,409801.987119521
2016,21,3,1,327049.63432407135
2016,21,1,1,93255.07608031853
2016,21,2,2,253604.56997243175
2016,21,2,1,208221.61409357013
2016,22,2,2,77576.72547389218
2016,22,3,2,148099.46753575373
2016,22,3,1,123237.78911892178
2016,22,1,1,32919.418614204485
2016,22,1,2,36219.834175678174
2016,22,2,1,76215.22883440797
2016,31,2,2,182929.98871664435
2016,31,3,2,316059.1109251425
2016,31,1,1,75441.0399602438
2016,31,1,2,68179.13009778623
2016,31,2,1,164818.98858736106
2016,31,3,1,266042.7575101785
2016,32,2,1,126098.79412341073
2016,32,3,2,241871.1753630062
2016,32,3,1,207593.77166447102
2016,32,2,2,143125.02891149203
2016,32,1,2,55513.471277781915
2016,32,1,1,53039.041626783066
2016,33,3,1,169150.34290304568
2016,33,3,2,182485.12188806297
2016,33,1,2,39774.17519426008
2016,33,2,2,97211.31053272051
2016,33,2,1,93172.24623295118
2016,33,1,1,41070.41112004281
2016,41,2,1,85555.5070484826
2016,41,2,2,102625.56601683919
2016,41,3,2,176446.4338168745
2016,41,1,2,36416.967332265616
2016,41,3,1,158504.4132779436
2016,43,3,1,46788.11609105457
2016,43,3,2,58167.53799922133
2016,43,2,2,24077.242681301494
2016,43,2,1,22185.45511303903
2016,43,1,1,11791.585830920263
2016,43,1,2,12426.676426621243
2016,51,3,1,137855.87030331793
2016,51,3,2,184475.78588896128
2016,51,2,2,72884.58351722395
2016,51,2,1,66276.62824985849
2016,51,1,1,37957.77257624998
2016,51,1,2,38472.306905473415
2016,52,3,1,190429.04985229997
2016,52,3,2,220582.9125909406
2016,52,1,2,45030.809825005665
2016,52,2,2,87374.92743355656
2016,52,2,1,79138.55759408207
2016,62,3,2,235123.35483499858
2016,62,1,2,54712.97057871769
2016,62,2,2,124356.00225516595
2016,62,1,1,56447.6939601328
2016,62,3,1,217446.51199239324
2016,62,2,1,97135.57891610627
2016,92,3,1,202252.49826365174
2016,92,3,2,260098.37219114476
2016,92,2,1,132545.74895418776
2016,92,2,2,149377.12609444384
2016,92,1,2,52464.30981908588
2016,92,1,1,53240.122532925525
2016,21,1,2,96082.92083290801
2016,23,3,1,179901.49244363632
2016,23,3,2,224962.96928581357
2016,23,1,1,63175.03729659368
2016,23,2,1,98894.54921543314
2016,23,2,2,111819.39440818188
2016,23,1,2,59849.11366833668
2016,41,1,1,35115.53503289985
2016,42,2,1,12724.96194574351
2016,42,2,2,13243.576796853606
2016,42,3,1,30148.75365358331
2016,42,3,2,33577.738937342816
2016,42,1,1,7230.425092238622
2016,42,1,2,6985.692086919463
2016,44,3,1,26324.379893411056
2016,44,3,2,29717.510326438198
2016,44,2,1,12582.780918123663
2016,44,2,2,13242.006914529524
2016,44,1,1,7738.489034009401
2016,44,1,2,5493.41970791528
2016,45,2,2,16231.479425959566
2016,45,3,2,35236.72361159061
2016,45,3,1,32121.64803068819
2016,45,2,1,14978.740703554698
2016,45,1,2,8029.492420500272
2016,45,1,1,8974.241915041423
2016,52,1,1,51025.48235728997
2016,53,3,1,109208.41050565446
2016,53,3,2,127535.29536023663
2016,53,1,2,30372.94190256374
2016,53,1,1,28444.9092708821
2016,53,2,2,51547.13005900225
2016,53,2,1,48339.91701365539
2016,61,2,1,228876.95444196396
2016,61,3,2,503251.74877803243
2016,61,2,2,268788.08214674675
2016,61,3,1,418387.68101485935
2016,61,1,1,100816.19556344672
2016,61,1,2,109118.46752468377
2016,71,2,1,103796.61385453654
2016,71,2,2,125029.01034497772
2016,71,3,1,225097.20493394532
2016,71,3,2,278378.8197999199
2016,71,1,2,70287.87349022043
2016,71,1,1,63618.796927702206
2016,72,2,1,59433.15905253739
2016,72,2,2,63105.960137815055
2016,72,3,2,125661.19910305021
2016,72,3,1,104621.48218710863
2016,72,1,2,32911.043737293614
2016,72,1,1,23999.00129673701
2016,81,2,1,119292.32342809672
2016,81,2,2,134338.49015418327
2016,81,3,1,211769.9236417885
2016,81,3,2,257675.66965681774
2016,81,1,2,53561.04765365932
2016,81,1,1,53771.37366292575
2016,82,3,1,126844.94390626877
2016,82,3,2,149941.01426594172
2016,82,2,2,60692.99238044686
2016,82,2,1,64132.15525756392
2016,82,1,2,30279.89267452358
2016,82,1,1,34006.664990807454
2016,91,3,1,298392.331642073
2016,91,3,2,350648.8145335635
