REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
 5,2012,04,1,11,001,01,1,001,01,2,2,8,48,24
 5,2012,04,1,11,001,02,1,002,01,2,2,8,70,70
 5,2012,04,1,11,001,03,1,003,01,1,1,6,60,72
 5,2012,04,1,11,001,03,1,003,03, , , ,70,40
 5,2012,04,1,11,001,05,1,005,01,1,1,4,50,30
 5,2012,04,1,11,001,05,1,005,03,1,1,4,45,20
 5,2012,04,1,11,001,06,1,006,01,2,2,8,70,00
 5,2012,04,1,11,001,08,1,008,02,1,1,5,25,10
 5,2012,04,1,11,001,08,1,008,03, , , ,40,08
 5,2012,04,1,11,001,09,1,009,01,2,2,8,24,06
 5,2012,04,1,11,001,10,1,010,01,2,2,1,48,48
 5,2012,04,1,11,001,10,1,010,03, , , ,30,00
 5,2012,04,1,11,002,01,1,011,01,2,2,1,42,42
 5,2012,04,1,11,002,01,1,011,02,2,2,1,42,42
 5,2012,04,1,11,002,01,1,011,03,2,2,1,42,42
 5,2012,04,1,11,002,02,1,012,01,2,2,8,70,70
 5,2012,04,1,11,002,02,1,012,05,1,1,3,60,40
 5,2012,04,1,11,002,02,1,012,08,1,1,1,54,54
 5,2012,04,1,11,002,03,1,013,01,2,2,2,42,42
 5,2012,04,1,11,002,04,1,014,01,2,2,8,84,84
 5,2012,04,1,11,002,05,1,015,03,1,1,6,50,18
 5,2012,04,1,11,002,05,1,015,08,2,2,1,42,36
 5,2012,04,1,11,002,05,1,015,09,2,2,8,70,70
 5,2012,04,1,11,002,07,1,017,01,2,2,8,60,60
 5,2012,04,1,11,002,07,1,017,03,1,1,2,50,20
 5,2012,04,2,11,003,01,1,172,01,1,1,1,48,24
 5,2012,04,2,11,003,01,1,172,03, , , ,48,30
 5,2012,04,2,11,003,05,1,176,01,1,1,3,48,32
 5,2012,04,2,11,003,06,1,177,01,2,2,8,56,70
 5,2012,04,2,11,003,07,1,178,01,1,1,6,48,32
 5,2012,04,2,11,003,07,1,178,02,2,2,7,56,56
 5,2012,04,2,11,003,07,1,178,03,3,1,2,48,40
 5,2012,04,2,11,003,07,1,178,04,1,1,4,48,24
 5,2012,04,2,11,003,07,1,178,05,1,1,6,48,32
 5,2012,04,2,11,003,07,1,178,07, , , ,48,48
 5,2012,04,2,11,003,09,1,180,01, , , ,48,40
 5,2012,04,2,11,003,10,1,181,01,1,1,6,44,40
 5,2012,04,2,11,003,10,1,181,04,1,1,6,48,48
 5,2012,04,1,11,004,01,1,142,02,2,2,8,70,60
 5,2012,04,1,11,004,01,1,142,03,2,2,8,70,60
 5,2012,04,1,11,004,02,1,143,01,1,1,5,42,42
 5,2012,04,1,11,004,02,1,143,02,1,1,5,42,42
 5,2012,04,1,11,004,03,1,144,03, , , ,35,00
 5,2012,04,1,11,004,04,1,145,01,2,2,8,70,70
 5,2012,04,1,11,004,05,1,146,01,2,2,1,42,24
 5,2012,04,1,11,004,05,1,146,03,1,1,5,44,36
 5,2012,04,1,11,004,05,1,146,05,1,1,5,44,36
 5,2012,04,1,11,004,05,1,146,06,1,1,3,35,20
 5,2012,04,1,11,004,07,1,148,02,1,1,4,44,24
 5,2012,04,1,11,004,07,1,148,03,1,1,6,44,24
 5,2012,04,1,11,004,09,1,150,03,1,1,3,48,32
 5,2012,04,1,11,004,09,1,150,06,1,1,4,48,32
 5,2012,04,1,11,004,10,1,151,02, , , ,35,00
 5,2012,04,1,11,005,03,1,164,01,1,1,8,48,48
 5,2012,04,1,11,005,03,1,164,03,1,1,8,48,48
 5,2012,04,1,11,005,05,1,166,01,1,1,5,44,35
 5,2012,04,1,11,005,07,1,168,01,2,2,1,48,36
 5,2012,04,1,11,005,08,1,169,01,1,1,1,45,35
 5,2012,04,1,11,005,09,1,170,01,2,2,1,70,50
 5,2012,04,1,11,005,10,1,171,01,1,1,8,70,60
 5,2012,04,1,11,006,01,1,102,02,2,2,1,56,40
 5,2012,04,1,11,006,02,1,103,01,1,1,6,44,40
 5,2012,04,1,11,006,03,1,104,01,2,2,8,70,50
 5,2012,04,1,11,006,04,1,105,02,1,1,2,70,40
 5,2012,04,1,11,006,05,1,106,01,2,2,1,70,30
 5,2012,04,1,11,006,08,1,109,01,1,1,5,48,35
 5,2012,04,1,11,006,09,1,110,02,2,2,2,44,35
 5,2012,04,1,11,006,10,1,111,02,2,2,1,56,40
 5,2012,04,2,11,007,01,1,072,02,2,2,8,40,40
 5,2012,04,2,11,007,02,1,073,01,2,2,8,40,40
 5,2012,04,2,11,007,02,1,073,03, , , ,40,40
 5,2012,04,2,11,007,03,1,074,01,1,1,4,56,56
 5,2012,04,2,11,007,03,1,074,02,2,2,8,35,35
 5,2012,04,2,11,007,04,1,075,03,1,1,2,54,54
