REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q20_PERSON_SERIAL_NO,Q20_REASON_FEWER_HOURS,Q21_ENGAGED_SECONDARY_OCCU,Q22_WHAT_SECONDARY_OCCU,Q23_PLACE_SECONDARY_OCCU,Q24_STATUS_OF_OCCUPATION,Q25_NO_OF_HOURS_OF_WORKING
 6,2012,04,1,11,001,01,1,001,01,8,2,    ,    , ,  
 6,2012,04,1,11,001,02,1,002,01, ,2,    ,    , ,  
 6,2012,04,1,11,001,03,1,003,01, ,2,    ,    , ,  
 6,2012,04,1,11,001,03,1,003,03,3,2,    ,    , ,  
 6,2012,04,1,11,001,05,1,005,01,8,2,    ,    , ,  
 6,2012,04,1,11,001,05,1,005,03,8,2,    ,    , ,  
 6,2012,04,1,11,001,06,1,006,01,8,2,    ,    , ,  
 6,2012,04,1,11,001,08,1,008,02,8,1,2359,8090,3,04
 6,2012,04,1,11,001,08,1,008,03,8,2,    ,    , ,  
 6,2012,04,1,11,001,09,1,009,01,3,2,    ,    , ,  
 6,2012,04,1,11,001,10,1,010,01, ,2,    ,    , ,  
 6,2012,04,1,11,001,10,1,010,03,8,2,    ,    , ,  
 6,2012,04,1,11,002,01,1,011,01, ,2,    ,    , ,  
 6,2012,04,1,11,002,01,1,011,02, ,2,    ,    , ,  
 6,2012,04,1,11,002,01,1,011,03, ,2,    ,    , ,  
 6,2012,04,1,11,002,02,1,012,01, ,2,    ,    , ,  
 6,2012,04,1,11,002,02,1,012,05,8,2,    ,    , ,  
 6,2012,04,1,11,002,02,1,012,08, ,2,    ,    , ,  
 6,2012,04,1,11,002,03,1,013,01, ,2,    ,    , ,  
 6,2012,04,1,11,002,04,1,014,01, ,2,    ,    , ,  
 6,2012,04,1,11,002,05,1,015,03,8,2,    ,    , ,  
 6,2012,04,1,11,002,05,1,015,08,8,2,    ,    , ,  
 6,2012,04,1,11,002,05,1,015,09, ,2,    ,    , ,  
 6,2012,04,1,11,002,07,1,017,01, ,2,    ,    , ,  
 6,2012,04,1,11,002,07,1,017,03,8,2,    ,    , ,  
 6,2012,04,2,11,003,01,1,172,01,8,2,    ,    , ,  
 6,2012,04,2,11,003,01,1,172,03,8,2,    ,    , ,  
 6,2012,04,2,11,003,05,1,176,01,8,2,    ,    , ,  
 6,2012,04,2,11,003,06,1,177,01, ,2,    ,    , ,  
 6,2012,04,2,11,003,07,1,178,01,8,2,    ,    , ,  
