REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2012,04,1,11,001,01,1,001,01,48,24, , ,  , 
 7,2012,04,1,11,001,02,1,002,01,70,70, , ,  , 
 7,2012,04,1,11,001,03,1,003,01,60,72, , ,  , 
 7,2012,04,1,11,001,03,1,003,03,70,40, , ,  , 
 7,2012,04,1,11,001,05,1,005,01,50,30, , ,  , 
 7,2012,04,1,11,001,05,1,005,03,45,20, , ,  , 
 7,2012,04,1,11,001,06,1,006,01,70,00, , ,  , 
 7,2012,04,1,11,001,08,1,008,03,40,08, , ,  , 
 7,2012,04,1,11,001,09,1,009,01,24,  ,2, ,  , 
 7,2012,04,1,11,001,10,1,010,03,35,00, , ,  , 
 7,2012,04,1,11,002,01,1,011,02,42,42, , ,  , 
 7,2012,04,1,11,002,01,1,011,03,42,42, , ,  , 
 7,2012,04,1,11,002,02,1,012,01,70,70, , ,  , 
 7,2012,04,1,11,002,02,1,012,05,60,40, , ,  , 
 7,2012,04,1,11,002,02,1,012,08,54,54, , ,  , 
 7,2012,04,1,11,002,03,1,013,01,42,42, , ,  , 
 7,2012,04,1,11,002,04,1,014,01,84,84, , ,  , 
 7,2012,04,1,11,002,05,1,015,03,50,18, , ,  , 
 7,2012,04,1,11,002,05,1,015,09,70,70, , ,  , 
 7,2012,04,1,11,002,07,1,017,01,60,60, , ,  , 
 7,2012,04,1,11,002,07,1,017,03,50,20, , ,  , 
 7,2012,04,2,11,003,01,1,172,01,48,24, , ,  , 
 7,2012,04,2,11,003,01,1,172,03,48,30, , ,  , 
 7,2012,04,2,11,003,05,1,176,01,48,32, , ,  , 
 7,2012,04,2,11,003,06,1,177,01,56,70, , ,  , 
 7,2012,04,2,11,003,07,1,178,01,48,32, , ,  , 
 7,2012,04,2,11,003,07,1,178,02,56,56, , ,  , 
 7,2012,04,2,11,003,07,1,178,03,48,40, , ,  , 
 7,2012,04,2,11,003,07,1,178,04,48,24, , ,  , 
 7,2012,04,2,11,003,07,1,178,05,48,32, , ,  , 
 7,2012,04,2,11,003,07,1,178,07,48,48, , ,  , 
 7,2012,04,2,11,003,09,1,180,01,48,40, , ,  , 
 7,2012,04,2,11,003,10,1,181,01,44,40, , ,  , 
 7,2012,04,2,11,003,10,1,181,04,48,48, , ,  , 
 7,2012,04,1,11,004,01,1,142,02,70,60, , ,  , 
 7,2012,04,1,11,004,01,1,142,03,70,60, , ,  , 
 7,2012,04,1,11,004,02,1,143,01,42,42, , ,  , 
 7,2012,04,1,11,004,02,1,143,02,42,42, , ,  , 
 7,2012,04,1,11,004,03,1,144,03,35,00, , ,  , 
 7,2012,04,1,11,004,04,1,145,01,70,70, , ,  , 
 7,2012,04,1,11,004,05,1,146,01,42,24, , ,  , 
 7,2012,04,1,11,004,05,1,146,03,44,36, , ,  , 
 7,2012,04,1,11,004,05,1,146,05,44,36, , ,  , 
 7,2012,04,1,11,004,05,1,146,06,35,20, , ,  , 
 7,2012,04,1,11,004,07,1,148,02,44,24, , ,  , 
 7,2012,04,1,11,004,07,1,148,03,44,24, , ,  , 
 7,2012,04,1,11,004,09,1,150,03,48,32, , ,  , 
 7,2012,04,1,11,004,09,1,150,06,48,32, , ,  , 
 7,2012,04,1,11,004,10,1,151,02,35,00, , ,  , 
 7,2012,04,1,11,005,03,1,164,01,48,28, , ,  , 
 7,2012,04,1,11,005,03,1,164,03,48,28, , ,  , 
 7,2012,04,1,11,005,05,1,166,01,44,35, , ,  , 
 7,2012,04,1,11,005,07,1,168,01,48,36, , ,  , 
 7,2012,04,1,11,005,08,1,169,01,45,35, , ,  , 
 7,2012,04,1,11,005,09,1,170,01,70,50, , ,  , 
 7,2012,04,1,11,005,10,1,171,01,70,60, , ,  , 
 7,2012,04,1,11,006,01,1,102,02,56,40, , ,  , 
 7,2012,04,1,11,006,02,1,103,01,49,40, , ,  , 
 7,2012,04,1,11,006,03,1,104,01,70,50, , ,  , 
 7,2012,04,1,11,006,04,1,105,02,70,40, , ,  , 
 7,2012,04,1,11,006,05,1,106,01,70,30, , ,  , 
 7,2012,04,1,11,006,08,1,109,01,48,35, , ,  , 
 7,2012,04,1,11,006,09,1,110,02,44,35, , ,  , 
 7,2012,04,1,11,006,10,1,111,02,56,40, , ,  , 
 7,2012,04,2,11,007,01,1,072,02,40,40, , ,  , 
 7,2012,04,2,11,007,02,1,073,01,40,40, , ,  , 
 7,2012,04,2,11,007,02,1,073,03,40,40, , ,  , 
 7,2012,04,2,11,007,03,1,074,01,56,56, , ,  , 
 7,2012,04,2,11,007,03,1,074,02,35,35, , ,  , 
 7,2012,04,2,11,007,04,1,075,03,54,54, , ,  , 
 7,2012,04,2,11,007,04,1,075,04,40,40, , ,  , 
 7,2012,04,2,11,007,05,1,076,01,50,50, , ,  , 
