REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2012,04,1,11,001,01,1,001,03,1,2,    , 
12,2012,04,1,11,001,10,1,010,04,6,2,    , 
12,2012,04,1,11,004,07,1,148,04,1,2,    , 
12,2012,04,1,11,004,09,1,150,04,9,1,8323,1
12,2012,04,1,11,004,09,1,150,07,1,2,    , 
12,2012,04,1,11,006,07,1,108,03,1,2,    , 
12,2012,04,2,11,009,06,1,117,04, ,2,    , 
12,2012,04,1,11,014,05,1,186,01, ,1,4121,1
12,2012,04,1,11,019,04,1,065,04,1,2,    , 
12,2012,05,1,11,021,03,1,133,04,2,2,    , 
12,2012,05,2,11,023,07,1,017,04, ,2,    , 
12,2012,05,2,11,028,03,1,043,04, ,2,    , 
12,2012,05,2,11,028,09,1,049,02,3,2,    , 
12,2012,06,1,11,041,02,1,193,03,2,1,3419,1
12,2012,06,2,11,042,02,1,182,03, ,1,4115,1
12,2012,06,1,11,043,02,1,062,03, ,1,9162,1
12,2012,06,1,11,043,05,1,065,03,2,1,7433,1
12,2012,06,1,11,049,02,1,032,02, ,2,    , 
12,2012,06,1,11,050,04,1,124,03, ,2,    , 
12,2012,06,1,11,056,10,1,010,01,4,1,5133,1
12,2012,07,2,11,062,08,1,193,01,2,1,3231,1
12,2012,07,2,11,065,04,1,147,01,1,2,    , 
12,2012,07,2,11,067,01,1,134,03,9,2,    , 
12,2012,07,2,11,067,05,1,138,03,2,1,8324,1
12,2012,07,2,11,067,06,1,139,01,2,1,5220,3
12,2012,07,2,11,067,09,1,142,01,2,1,7129,1
12,2012,07,1,11,070,01,1,124,04,1,2,    , 
12,2012,07,1,11,070,08,1,131,04,1,2,    , 
12,2012,07,1,11,074,10,1,123,02,9,1,8284,1
12,2012,07,1,11,075,10,1,060,03,1,1,4113,1
12,2012,08,1,11,079,07,1,137,04,2,1,9142,1
12,2012,08,2,11,081,02,1,042,02, ,1,3419,1
12,2012,08,2,11,081,04,1,044,01,2,1,9162,1
12,2012,08,1,11,086,04,1,054,02,2,1,9211,1
12,2012,08,1,11,086,09,1,059,01,2,1,9211,1
12,2012,08,1,11,088,04,1,004,04, ,2,    , 
12,2012,08,1,11,089,07,1,127,05, ,2,    , 
12,2012,09,1,11,099,04,1,117,02,2,1,7122,1
12,2012,09,2,11,100,01,1,011,04,6,1,5123,1
12,2012,09,1,11,113,03,1,063,04,9,2,    , 
12,2012,10,1,11,116,01,1,001,04,2,2,    , 
12,2012,10,1,11,116,05,1,005,03,3,2,    , 
12,2012,10,1,11,118,10,1,030,03,5,2,    , 
12,2012,10,2,11,122,06,1,056,03, ,2,    , 
12,2012,10,1,11,126,05,1,095,03,2,2,    , 
12,2012,10,1,11,132,05,1,155,03,9,2,    , 
12,2012,11,1,11,137,10,1,180,08,9,2,    , 
12,2012,11,2,11,138,10,1,190,04, ,2,    , 
12,2012,11,1,11,139,02,1,022,04, ,2,    , 
12,2012,11,1,11,140,01,1,031,02,4,1,4121,1
12,2012,11,2,11,141,09,1,049,03,1,2,    , 
12,2012,11,2,11,143,01,1,061,03,4,2,    , 
