REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
 4,2012,04,1,11,001,01,1,001,01,1314,5231,3, , , , 
 4,2012,04,1,11,001,02,1,002,01,8322,6022,3, , , , 
 4,2012,04,1,11,001,03,1,003,01,5122,5510,1,1,1,1,3
 4,2012,04,1,11,001,03,1,003,03,9313,4521,1,4, , , 
 4,2012,04,1,11,001,05,1,005,01,7241,5260,1,1,1,1,3
 4,2012,04,1,11,001,05,1,005,03,4115,9900,1,1,1,1,3
 4,2012,04,1,11,001,06,1,006,01,5149,9301,3, , , , 
 4,2012,04,1,11,001,08,1,008,02,2321,8021,1,1,1,1,3
 4,2012,04,1,11,001,08,1,008,03,4115,8511,1,1,1,1,1
 4,2012,04,1,11,001,09,1,009,01,5151,9305,3, , , , 
 4,2012,04,1,11,001,10,1,010,01,1314,5220,2, , , , 
 4,2012,04,1,11,001,10,1,010,03,2331,8021,1,1,1,1,2
 4,2012,04,1,11,002,01,1,011,01,1314,5211,2, , , , 
 4,2012,04,1,11,002,01,1,011,02,9114,5211,4, , , , 
 4,2012,04,1,11,002,01,1,011,03,9114,5211,4, , , , 
 4,2012,04,1,11,002,02,1,012,01,8322,6022,3, , , , 
 4,2012,04,1,11,002,02,1,012,05,9322,1541,1,2,2,2,3
 4,2012,04,1,11,002,02,1,012,08,2460,9191,1,1,1,1,3
 4,2012,04,1,11,002,03,1,013,01,9111,5211,1,3,2,2,3
 4,2012,04,1,11,002,04,1,014,01,8322,6022,3, , , , 
 4,2012,04,1,11,002,05,1,015,03,4121,1810,1,1,1,1,3
 4,2012,04,1,11,002,05,1,015,08,1314,5220,2, , , , 
 4,2012,04,1,11,002,05,1,015,09,8322,6022,3, , , , 
 4,2012,04,1,11,002,07,1,017,01,8322,6022,3, , , , 
 4,2012,04,1,11,002,07,1,017,03,5220,5231,1,2,2,1,3
 4,2012,04,2,11,003,01,1,172,01,7231,5020,1,2,1,1,3
 4,2012,04,2,11,003,01,1,172,03,5210,5211,1,1,1,1,2
 4,2012,04,2,11,003,05,1,176,01,8324,6301,1,2,1,1,3
 4,2012,04,2,11,003,06,1,177,01,7433,1810,3, , , , 
 4,2012,04,2,11,003,07,1,178,01,9322,1546,1,3,2,2,3
 4,2012,04,2,11,003,07,1,178,02,9131,9500,1,2,2,2,3
 4,2012,04,2,11,003,07,1,178,03,7123,2693,1,2,2,2,3
 4,2012,04,2,11,003,07,1,178,04,9132,1810,1,3,2,2,3
 4,2012,04,2,11,003,07,1,178,05,9322,1546,1,3,2,2,3
 4,2012,04,2,11,003,07,1,178,07,9131,9500,1,4, , , 
 4,2012,04,2,11,003,09,1,180,01,0110,7522,1,1,1,1,1
 4,2012,04,2,11,003,10,1,181,01,1224,1513,1,1,1,1,3
 4,2012,04,2,11,003,10,1,181,04,7244,6420,1,1,1,1,3
 4,2012,04,1,11,004,01,1,142,02,5210,5211,4, , , , 
 4,2012,04,1,11,004,01,1,142,03,3429,5211,3, , , , 
 4,2012,04,1,11,004,02,1,143,01,2221,8511,1,1,2,2,3
 4,2012,04,1,11,004,02,1,143,02,2221,8511,1,1,2,2,3
 4,2012,04,1,11,004,03,1,144,03,4111,8011,1,1,1,1,1
 4,2012,04,1,11,004,04,1,145,01,8322,6024,3, , , , 
 4,2012,04,1,11,004,05,1,146,01,9162,9600,1,3,2,2,3
