REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,1,11,001,01,1,001,01,2,2,8,99,99
05,2006,01,1,11,001,01,1,001,02,2,2,8,14,14
05,2006,01,1,11,001,01,1,001,03,2,2,8,99,99
05,2006,01,1,11,001,01,1,001,05, , , ,40,40
05,2006,01,1,11,001,03,1,003,01, , , ,60,60
05,2006,01,1,11,001,03,1,003,02,1,1,4,60,70
05,2006,01,1,11,001,03,1,003,03, , , ,60,60
05,2006,01,1,11,001,03,1,003,04, , , ,60,60
05,2006,01,1,11,001,04,1,004,01,1,1,5,60,20
05,2006,01,1,11,001,04,1,004,02,2,2,8,99,00
05,2006,01,1,11,001,04,1,004,04,1,1,3,72,72
05,2006,01,1,11,001,04,1,004,05, , , ,60,70
05,2006,01,1,11,001,05,1,005,02,2,2,8,70,80
05,2006,01,1,11,001,06,1,006,02,2,2,2,45,45
05,2006,01,1,11,001,06,1,006,04,2,2,1,60,60
05,2006,01,1,11,001,06,1,006,05, , , ,70,70
05,2006,01,1,11,001,07,1,007,01,2,2,1,40,50
05,2006,01,1,11,001,08,1,008,02,2,2,8,84,84
05,2006,01,1,11,001,08,1,008,03,1,1,2,45,45
05,2006,01,1,11,001,08,1,008,04,1,1,2,45,45
05,2006,01,1,11,001,09,1,009,01,2,2,1,60,70
05,2006,01,1,11,001,10,1,010,01,2,2,8,84,84
05,2006,01,1,11,002,01,1,011,01,1,1,6,60,60
05,2006,01,1,11,002,02,1,012,01,1,1,3,45,50
05,2006,01,1,11,002,03,1,013,02,1,1,4,65,65
05,2006,01,1,11,002,05,1,015,01,1,1,2,50,00
05,2006,01,1,11,002,06,1,016,02,1,1,4,40,40
05,2006,01,1,11,002,06,1,016,03,1,1,4,44,44
05,2006,01,1,11,002,07,1,017,01,1,1,4,45,45
05,2006,01,1,11,002,07,1,017,02, , , ,30,30
05,2006,01,1,11,002,08,1,018,01,1,1,1,45,45
05,2006,01,1,11,002,09,1,019,02,2,1,6,99,00
05,2006,01,1,11,002,09,1,019,03, , , ,30,30
05,2006,01,1,11,002,10,1,020,01,1,1,2,60,60
05,2006,01,1,11,003,02,1,022,06,2,2,8,24,24
05,2006,01,1,11,003,02,1,022,07,2,2,8,60,24
05,2006,01,1,11,003,03,1,023,02,1,1,4,60,60
05,2006,01,1,11,003,03,1,023,04,1,1,4,72,72
05,2006,01,1,11,003,04,1,024,01,2,2,1,60,36
05,2006,01,1,11,003,05,1,025,01,2,2,8,99,99
05,2006,01,1,11,003,05,1,025,04,1,1,6,60,70
05,2006,01,1,11,003,06,1,026,01,1,1,2,45,00
05,2006,01,1,11,003,06,1,026,03,2,2,1,54,40
05,2006,01,1,11,003,07,1,027,02,1,1,1,18,18
05,2006,01,1,11,003,07,1,027,07,1,1,6,50,60
05,2006,01,1,11,003,08,1,028,02,1,1,5,45,60
05,2006,01,1,11,003,08,1,028,05,1,1,4,56,56
