REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
07,2006,01,1,11,001,01,1,001,01,99,99, , ,  , 
07,2006,01,1,11,001,01,1,001,02,14,  ,2, ,  , 
07,2006,01,1,11,001,01,1,001,03,99,99, , ,  , 
07,2006,01,1,11,001,01,1,001,05,40,40, , ,  , 
07,2006,01,1,11,001,03,1,003,01,60,60, , ,  , 
07,2006,01,1,11,001,03,1,003,02,60,70, , ,  , 
07,2006,01,1,11,001,03,1,003,03,60,60, , ,  , 
07,2006,01,1,11,001,03,1,003,04,60,60, , ,  , 
07,2006,01,1,11,001,04,1,004,01,60,20, , ,  , 
07,2006,01,1,11,001,04,1,004,02,99,00, , ,  , 
07,2006,01,1,11,001,04,1,004,04,72,72, , ,  , 
07,2006,01,1,11,001,04,1,004,05,60,70, , ,  , 
07,2006,01,1,11,001,05,1,005,02,70,80, , ,  , 
07,2006,01,1,11,001,06,1,006,02,45,45, , ,  , 
07,2006,01,1,11,001,06,1,006,04,60,60, , ,  , 
07,2006,01,1,11,001,06,1,006,05,70,70, , ,  , 
07,2006,01,1,11,001,07,1,007,01,40,50, , ,  , 
07,2006,01,1,11,001,08,1,008,02,84,84, , ,  , 
07,2006,01,1,11,001,08,1,008,03,45,45, , ,  , 
07,2006,01,1,11,001,08,1,008,04,45,45, , ,  , 
07,2006,01,1,11,001,10,1,010,01,84,84, , ,  , 
07,2006,01,1,11,002,01,1,011,01,60,60, , ,  , 
07,2006,01,1,11,002,02,1,012,01,45,50, , ,  , 
07,2006,01,1,11,002,03,1,013,02,65,65, , ,  , 
07,2006,01,1,11,002,06,1,016,02,40,40, , ,  , 
07,2006,01,1,11,002,06,1,016,03,44,44, , ,  , 
07,2006,01,1,11,002,07,1,017,01,45,45, , ,  , 
07,2006,01,1,11,002,07,1,017,02,30,  ,2, ,  , 
07,2006,01,1,11,002,08,1,018,01,45,45, , ,  , 
07,2006,01,1,11,002,09,1,019,02,99,00, , ,  , 
07,2006,01,1,11,002,09,1,019,03,30,  ,2, ,  , 
07,2006,01,1,11,002,10,1,020,01,60,60, , ,  , 
07,2006,01,1,11,003,03,1,023,02,60,60, , ,  , 
07,2006,01,1,11,003,03,1,023,04,72,72, , ,  , 
07,2006,01,1,11,003,04,1,024,01,60,36, , ,  , 
07,2006,01,1,11,003,05,1,025,01,99,99, , ,  , 
07,2006,01,1,11,003,05,1,025,04,60,70, , ,  , 
07,2006,01,1,11,003,06,1,026,01,45,00, , ,  , 
07,2006,01,1,11,003,06,1,026,03,54,40, , ,  , 
07,2006,01,1,11,003,07,1,027,07,50,60, , ,  , 
07,2006,01,1,11,003,08,1,028,02,45,60, , ,  , 
07,2006,01,1,11,003,08,1,028,05,56,56, , ,  , 
07,2006,01,1,11,003,10,1,030,01,36,00, , ,  , 
07,2006,01,1,11,004,01,1,031,03,30,  ,2, ,  , 
07,2006,01,1,11,004,02,1,032,01,48,48, , ,  , 
07,2006,01,1,11,004,04,1,034,01,28,  ,2, ,  , 
07,2006,01,1,11,004,05,1,035,01,60,60, , ,  , 
07,2006,01,1,11,004,06,1,036,01,60,60, , ,  , 
07,2006,01,1,11,004,06,1,036,03,48,48, , ,  , 
07,2006,01,1,11,004,08,1,038,03,48,48, , ,  , 
07,2006,01,1,11,004,08,1,038,07,40,30, , ,  , 
07,2006,01,1,11,004,08,1,038,08,48,48, , ,  , 
07,2006,01,1,11,004,10,1,040,01,48,48, , ,  , 
07,2006,01,1,11,004,10,1,040,02,48,48, , ,  , 
07,2006,01,1,11,004,10,1,040,05,60,60, , ,  , 
07,2006,01,1,11,005,01,1,041,02,50,40, , ,  , 
07,2006,01,1,11,005,01,1,041,04,70,70, , ,  , 
07,2006,01,1,11,005,02,1,042,03,56,56, , ,  , 
07,2006,01,1,11,005,04,1,044,05,66,66, , ,  , 
07,2006,01,1,11,005,04,1,044,07,54,54, , ,  , 
07,2006,01,1,11,005,04,1,044,08,48,48, , ,  , 
07,2006,01,1,11,005,05,1,045,03,68,68, , ,  , 
07,2006,01,1,11,005,05,1,045,04,40,40, , ,  , 
07,2006,01,1,11,005,05,1,045,06,50,50, , ,  , 
07,2006,01,1,11,005,06,1,046,03,30,  ,2, ,  , 
07,2006,01,1,11,005,07,1,047,01,40,40, , ,  , 
07,2006,01,1,11,005,07,1,047,02,48,54, , ,  , 
07,2006,01,1,11,005,09,1,049,01,70,70, , ,  , 
07,2006,01,1,11,005,10,1,050,02,40,40, , ,  , 
07,2006,01,1,11,005,10,1,050,03,60,60, , ,  , 
07,2006,01,1,11,006,01,1,051,01,15,  ,1,1,25,1
07,2006,01,1,11,006,03,1,053,01,99,99, , ,  , 
07,2006,01,1,11,006,05,1,055,01,85,85, , ,  , 
07,2006,01,1,11,006,06,1,056,01,60,60, , ,  , 
07,2006,01,1,11,006,08,1,058,02,98,98, , ,  , 
07,2006,01,1,11,006,09,1,059,02,50,50, , ,  , 
07,2006,01,1,11,006,09,1,059,03,50,50, , ,  , 
07,2006,01,1,11,006,09,1,059,04,45,00, , ,  , 
07,2006,01,1,11,007,01,1,061,01,40,40, , ,  , 
07,2006,01,1,11,007,01,1,061,03,50,50, , ,  , 
07,2006,01,1,11,007,02,1,062,01,50,50, , ,  , 
07,2006,01,1,11,007,03,1,063,01,50,50, , ,  , 
07,2006,01,1,11,007,04,1,064,01,49,49, , ,  , 
07,2006,01,1,11,007,05,1,065,01,08,  ,2, ,  , 
07,2006,01,1,11,007,06,1,066,03,15,  ,2, ,  , 
07,2006,01,1,11,007,08,1,068,01,49,49, , ,  , 
07,2006,01,1,11,007,09,1,069,02,56,56, , ,  , 
07,2006,01,1,11,007,09,1,069,04,80,80, , ,  , 
07,2006,01,1,11,007,09,1,069,07,48,48, , ,  , 
07,2006,01,1,11,007,09,1,069,08,99,99, , ,  , 
07,2006,01,1,11,007,10,1,070,02,40,40, , ,  , 
07,2006,01,1,11,007,10,2,071,01,50,50, , ,  , 
07,2006,01,1,11,008,01,1,072,01,48,48, , ,  , 
07,2006,01,1,11,008,02,1,073,02,62,62, , ,  , 
07,2006,01,1,11,008,02,1,073,03,60,60, , ,  , 
07,2006,01,1,11,008,05,1,076,01,48,48, , ,  , 
07,2006,01,1,11,008,05,1,076,02,50,50, , ,  , 
07,2006,01,1,11,008,05,1,076,05,99,99, , ,  , 
07,2006,01,1,11,008,06,1,077,03,05,  ,1,1,20,1
07,2006,01,1,11,008,07,1,078,01,40,40, , ,  , 
07,2006,01,1,11,008,07,1,078,02,40,40, , ,  , 
07,2006,01,1,11,008,08,1,079,01,45,45, , ,  , 
07,2006,01,1,11,008,09,1,080,01,40,40, , ,  , 
07,2006,01,1,11,008,09,1,080,03,66,66, , ,  , 
07,2006,01,1,11,008,09,1,080,04,99,90, , ,  , 
07,2006,01,1,11,008,10,1,081,04,40,40, , ,  , 
07,2006,01,1,11,008,10,1,081,05,40,40, , ,  , 
07,2006,01,1,11,008,10,1,081,07,15,  ,2, ,  , 
07,2006,01,1,11,008,10,1,081,09,99,99, , ,  , 
07,2006,01,1,11,009,02,1,083,01,35,35, , ,  , 
07,2006,01,1,11,009,03,1,084,02,70,70, , ,  , 
07,2006,01,1,11,009,04,1,085,03,45,45, , ,  , 
07,2006,01,1,11,009,04,1,085,04,52,52, , ,  , 
07,2006,01,1,11,009,06,1,087,01,70,70, , ,  , 
07,2006,01,1,11,009,08,1,089,01,80,80, , ,  , 
07,2006,01,1,11,009,09,1,090,01,70,70, , ,  , 
07,2006,01,1,11,009,10,1,091,01,52,52, , ,  , 
07,2006,01,2,11,010,01,1,093,03,70,70, , ,  , 
07,2006,01,2,11,010,02,1,094,01,50,50, , ,  , 
07,2006,01,2,11,010,02,1,094,02,50,50, , ,  , 
07,2006,01,2,11,010,03,1,095,02,48,48, , ,  , 
07,2006,01,2,11,010,03,1,095,04,60,60, , ,  , 
07,2006,01,2,11,010,04,1,096,02,56,40, , ,  , 
07,2006,01,2,11,010,04,1,096,03,45,54, , ,  , 
07,2006,01,2,11,010,05,1,097,03,72,72, , ,  , 
07,2006,01,2,11,010,06,1,098,01,84,84, , ,  , 
07,2006,01,2,11,010,07,1,099,01,42,42, , ,  , 
07,2006,01,2,11,010,08,1,100,01,50,50, , ,  , 
07,2006,01,2,11,010,09,1,101,02,60,60, , ,  , 
07,2006,01,2,11,010,09,1,101,03,70,70, , ,  , 
07,2006,01,2,11,010,10,1,102,02,60,65, , ,  , 
07,2006,01,2,11,010,10,1,102,05,48,48, , ,  , 
07,2006,01,2,11,011,01,1,103,01,40,50, , ,  , 
07,2006,01,2,11,011,02,1,104,02,84,84, , ,  , 
07,2006,01,2,11,011,03,1,105,03,40,40, , ,  , 
07,2006,01,2,11,011,04,1,106,01,48,48, , ,  , 
07,2006,01,2,11,011,04,1,106,03,50,50, , ,  , 
07,2006,01,2,11,011,05,1,107,02,30,  ,2, ,  , 
07,2006,01,2,11,011,07,1,109,01,48,48, , ,  , 
07,2006,01,2,11,011,07,1,109,02,21,  ,1,3,28,1
07,2006,01,2,11,011,09,1,111,01,40,40, , ,  , 
07,2006,01,2,11,011,10,1,112,01,40,40, , ,  , 
07,2006,01,2,11,012,01,1,113,01,45,40, , ,  , 
07,2006,01,2,11,012,02,1,115,01,56,56, , ,  , 
07,2006,01,2,11,012,02,1,115,02,35,35, , ,  , 
07,2006,01,2,11,012,02,1,115,03,60,60, , ,  , 
07,2006,01,2,11,012,03,1,116,03,90,90, , ,  , 
07,2006,01,2,11,012,05,1,118,01,45,27, , ,  , 
07,2006,01,2,11,012,06,1,119,01,45,40, , ,  , 
07,2006,01,2,11,012,07,1,120,01,24,  ,1,1,24,1
07,2006,01,2,11,012,08,1,121,01,60,00, , ,  , 
07,2006,01,2,11,012,08,1,121,02,40,00, , ,  , 
07,2006,01,2,11,012,09,1,122,01,40,00, , ,  , 
07,2006,01,2,11,012,10,1,123,01,20,  ,1,1,20,1
07,2006,01,2,11,013,01,1,124,01,60,60, , ,  , 
07,2006,01,2,11,013,01,1,124,02,30,  ,2, ,  , 
07,2006,01,2,11,013,02,1,125,02,48,48, , ,  , 
07,2006,01,2,11,013,02,1,125,03,45,56, , ,  , 
07,2006,01,2,11,013,04,1,127,01,40,40, , ,  , 
07,2006,01,2,11,013,04,1,127,02,45,45, , ,  , 
