REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2006,01,1,11,001,02,1,002,01,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2006,01,1,11,004,08,1,038,06,07000,2,2,   , ,  ,  ,   , ,  ,  
11,2006,01,1,11,007,06,1,066,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,1,11,007,08,1,068,02,05000,2,1,718,2,25,24,718,1,46,01
11,2006,01,1,11,007,08,1,068,03,05000,2,1,718,2,25,24,   , ,  ,  
11,2006,01,2,11,010,07,1,099,03,20000,1,1,323,1,46,48,   , ,  ,  
11,2006,01,2,11,010,07,1,099,04,10000,3,1,871,1,02,06,112,1,02,06
11,2006,01,2,11,011,03,1,105,01,07500,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,11,011,03,1,105,05,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,11,012,02,2,114,01,07000,3,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,11,013,10,1,133,05,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,11,014,09,1,142,03,05000,2,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,11,015,10,1,153,03,08000,1,1,719,1,25,05,   , ,  ,  
11,2006,01,2,11,016,06,1,161,04,12000,1,1,821,1,50,06,   , ,  ,  
11,2006,01,2,11,018,01,1,174,03,12000,3,1,323,1,01,36,   , ,  ,  
11,2006,01,1,12,002,04,1,014,02,75000,3,1,247,1,46,02,   , ,  ,  
11,2006,01,1,12,002,08,1,018,03,07000,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,12,003,02,1,022,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,12,004,01,1,031,03,08000,1,1,716,2,08,09,719,1,08,06
11,2006,01,2,12,004,08,1,038,04,08500,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,12,005,03,1,043,02,03000,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,12,006,05,1,055,02,09000,1,2,   , ,  ,  ,   , ,  ,  
11,2006,01,2,12,006,06,1,056,04,03500,3,1,967,1,43,06,   , ,  ,  
