REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2006,01,1,11,001,02,1,002,01,2,1,1314,3
12,2006,01,1,11,004,08,1,038,06,2,2,    , 
12,2006,01,1,11,007,06,1,066,01,9,1,3429,1
12,2006,01,1,11,007,08,1,068,02, ,1,2139,1
12,2006,01,1,11,007,08,1,068,03, ,1,2139,1
12,2006,01,2,11,010,07,1,099,03, ,2,    , 
12,2006,01,2,11,010,07,1,099,04, ,2,    , 
12,2006,01,2,11,011,03,1,105,01,2,1,7122,1
12,2006,01,2,11,011,03,1,105,05,3,1,3111,1
12,2006,01,2,11,012,02,2,114,01,3,2,    , 
12,2006,01,2,11,013,10,1,133,05,3,2,    , 
12,2006,01,2,11,014,09,1,142,03,2,2,    , 
12,2006,01,2,11,015,10,1,153,03, ,2,    , 
12,2006,01,2,11,016,06,1,161,04, ,2,    , 
12,2006,01,2,11,018,01,1,174,03, ,2,    , 
12,2006,01,1,12,002,04,1,014,02, ,1,3141,1
12,2006,01,1,12,002,08,1,018,03,1,1,5220,1
12,2006,01,2,12,003,02,1,022,03,2,2,    , 
12,2006,01,2,12,004,01,1,031,03, ,2,    , 
12,2006,01,2,12,004,08,1,038,04,4,1,9322,1
12,2006,01,2,12,005,03,1,043,02,2,2,    , 
12,2006,01,2,12,006,05,1,055,02,1,1,3132,1
12,2006,01,2,12,006,06,1,056,04, ,1,7331,3
12,2006,01,2,12,006,09,1,059,03,2,1,7442,1
12,2006,01,2,12,006,09,1,059,06,2,1,7239,1
12,2006,01,2,12,007,08,1,068,04,2,2,    , 
12,2006,01,2,12,007,09,1,069,03, ,2,    , 
12,2006,01,2,12,008,06,1,076,02,2,1,1312,2
12,2006,01,2,12,008,10,1,080,02,2,1,9113,3
12,2006,01,2,12,008,10,1,080,03,2,1,9113,3
12,2006,01,2,12,008,10,1,080,07,1,1,9341,1
12,2006,01,2,12,009,09,1,089,03, ,2,    , 
12,2006,01,2,12,009,09,1,089,05, ,2,    , 
12,2006,01,2,12,010,09,1,100,06,2,1,7435,1
