REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
04,2006,01,1,11,001,01,1,001,01,1314,5211,3, , , , 
04,2006,01,1,11,001,01,1,001,02,5220,5211,4, , , , 
04,2006,01,1,11,001,01,1,001,03,1317,6420,3, , , , 
04,2006,01,1,11,001,01,1,001,05,3449,7513,1,1,1,1,1
04,2006,01,1,11,001,03,1,003,01,9151,5125,1,4, , , 
04,2006,01,1,11,001,03,1,003,02,9341,5126,1,3,2,2,3
04,2006,01,1,11,001,03,1,003,03,9151,5125,1,4, , , 
04,2006,01,1,11,001,03,1,003,04,9151,5125,1,4, , , 
04,2006,01,1,11,001,04,1,004,01,9341,5126,1,3,2,2,3
04,2006,01,1,11,001,04,1,004,02,8322,6022,3, , , , 
04,2006,01,1,11,001,04,1,004,04,7344,2105,1,1,1,1,3
04,2006,01,1,11,001,04,1,004,05,9312,4521,1,4, , , 
04,2006,01,1,11,001,05,1,005,02,8322,6022,3, , , , 
04,2006,01,1,11,001,06,1,006,02,7442,1912,1,1,2,1,3
04,2006,01,1,11,001,06,1,006,04,7436,1810,1,3,2,2,3
04,2006,01,1,11,001,06,1,006,05,9312,4521,1,4, , , 
04,2006,01,1,11,001,07,1,007,01,7241,4527,2, , , , 
04,2006,01,1,11,001,08,1,008,02,8322,6022,3, , , , 
04,2006,01,1,11,001,08,1,008,03,5220,5234,1,1,2,1,3
04,2006,01,1,11,001,08,1,008,04,9341,2221,1,1,1,1,3
04,2006,01,1,11,001,09,1,009,01,7122,4521,2, , , , 
