REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,TEMP,RESULT_CODE_VISIT1,RESULT_CODE_VISIT2,RESULT_CODE_VISIT3,TIME_TAKEN_VISIT1_MINUTES,TIME_TAKEN_VISIT2_MINUTES,TIME_TAKEN_VISIT3_MINUTES,HOUSING_UNITS_CONSOLIDATED,HOUSING_UNITS_DIVIDED,FINAL_RESULT_CODE
01,2008,01,1,11,001,01,1,001,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,001,02,1,002,  ,1, , ,30,  ,  ,00,00,1
01,2008,01,1,11,001,03,1,003,  ,1, , ,40,  ,  ,00,00,1
01,2008,01,1,11,001,04,1,004,  ,1, , ,30,  ,  ,00,00,1
01,2008,01,1,11,001,05,1,005,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,001,06,1,006,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,001,07,1,007,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,001,08,1,008,  ,1, , ,30,  ,  ,00,00,1
01,2008,01,1,11,001,09,1,009,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,001,10,1,010,  ,1, , ,50,  ,  ,00,00,1
01,2008,01,1,11,002,01,1,011,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,002,02,1,012,  ,1, , ,30,  ,  ,00,00,1
01,2008,01,1,11,002,03,1,013,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,002,04,1,014,  ,1, , ,15,  ,  ,00,00,1
01,2008,01,1,11,002,05,1,015,  ,1, , ,40,  ,  ,00,00,1
01,2008,01,1,11,002,06,1,016,  ,1, , ,50,  ,  ,00,00,1
01,2008,01,1,11,002,07,1,017,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,002,08,1,018,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,002,09,1,019,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,002,10,1,020,  ,1, , ,35,  ,  ,00,00,1
01,2008,01,1,11,003,01,1,021,  ,1, , ,25,  ,  ,00,00,1
01,2008,01,1,11,003,02,1,022,  ,1, , ,22,  ,  ,00,00,1
01,2008,01,1,11,003,03,1,023,  ,1, , ,27,  ,  ,00,00,1
01,2008,01,1,11,003,04,1,024,  ,1, , ,28,  ,  ,00,00,1
