REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q20_PERSON_SERIAL_NO,Q20_REASON_FEWER_HOURS,Q21_ENGAGED_SECONDARY_OCCU,Q22_WHAT_SECONDARY_OCCU,Q23_PLACE_SECONDARY_OCCU,Q24_STATUS_OF_OCCUPATION,Q25_NO_OF_HOURS_OF_WORKING
06,2008,01,1,11,001,01,1,001,02,8,2,    ,    , ,  
06,2008,01,1,11,001,02,1,002,02, ,2,    ,    , ,  
06,2008,01,1,11,001,03,1,003,01, ,2,    ,    , ,  
06,2008,01,1,11,001,03,1,003,06, ,2,    ,    , ,  
06,2008,01,1,11,001,03,1,003,07, ,2,    ,    , ,  
06,2008,01,1,11,001,04,1,004,01,8,2,    ,    , ,  
06,2008,01,1,11,001,04,1,004,03, ,2,    ,    , ,  
06,2008,01,1,11,001,05,1,005,01,8,2,    ,    , ,  
06,2008,01,1,11,001,07,1,007,01,8,2,    ,    , ,  
06,2008,01,1,11,001,09,1,009,01, ,2,    ,    , ,  
06,2008,01,1,11,001,09,1,009,05,8,2,    ,    , ,  
06,2008,01,1,11,001,10,1,010,03,8,2,    ,    , ,  
06,2008,01,1,11,001,10,1,010,05,8,2,    ,    , ,  
06,2008,01,1,11,001,10,1,010,08,8,2,    ,    , ,  
06,2008,01,1,11,002,01,1,011,01, ,2,    ,    , ,  
06,2008,01,1,11,002,01,1,011,02,8,2,    ,    , ,  
06,2008,01,1,11,002,01,1,011,04,8,2,    ,    , ,  
06,2008,01,1,11,002,02,1,012,01,8,2,    ,    , ,  
06,2008,01,1,11,002,02,1,012,02,8,2,    ,    , ,  
06,2008,01,1,11,002,02,1,012,03,8,2,    ,    , ,  
06,2008,01,1,11,002,03,1,013,01, ,2,    ,    , ,  
06,2008,01,1,11,002,03,1,013,03,8,2,    ,    , ,  
06,2008,01,1,11,002,04,1,014,02, ,2,    ,    , ,  
06,2008,01,1,11,002,05,1,015,01, ,2,    ,    , ,  
06,2008,01,1,11,002,06,1,016,02, ,2,    ,    , ,  
06,2008,01,1,11,002,06,1,016,03, ,2,    ,    , ,  
06,2008,01,1,11,002,06,1,016,04, ,2,    ,    , ,  
06,2008,01,1,11,002,07,1,017,01,8,2,    ,    , ,  
06,2008,01,1,11,002,07,1,017,03,8,2,    ,    , ,  
06,2008,01,1,11,002,07,1,017,04,8,2,    ,    , ,  
06,2008,01,1,11,002,08,1,018,03, ,2,    ,    , ,  
06,2008,01,1,11,002,09,1,019,01,3,2,    ,    , ,  
06,2008,01,1,11,002,10,1,020,01, ,2,    ,    , ,  
06,2008,01,1,11,002,10,1,020,03,8,2,    ,    , ,  
06,2008,01,1,11,002,10,1,020,04, ,2,    ,    , ,  
06,2008,01,1,11,003,01,1,021,01, ,2,    ,    , ,  
06,2008,01,1,11,003,01,1,021,04, ,2,    ,    , ,  
