REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q33_PERSON_SERIAL_NO,Q33_EXPECT_A_JOB,Q34_STEPS_TAKEN_FIND_JOB,Q351_STEPS_TAKEN_1ST,Q352_STEPS_TAKEN_2ND,Q353_STEPS_TAKEN_3RD,Q36_REASON_NOT_TAKING_ACTION
09,2008,01,1,11,001,01,1,001,01,2, , , , , 
09,2008,01,1,11,001,02,1,002,01,2, , , , , 
09,2008,01,1,11,001,02,1,002,03,2, , , , , 
09,2008,01,1,11,001,02,1,002,04,2, , , , , 
09,2008,01,1,11,001,03,1,003,02,2, , , , , 
09,2008,01,1,11,001,03,1,003,03,2, , , , , 
09,2008,01,1,11,001,03,1,003,04,2, , , , , 
09,2008,01,1,11,001,03,1,003,05,2, , , , , 
09,2008,01,1,11,001,04,1,004,02,2, , , , , 
09,2008,01,1,11,001,04,1,004,04,2, , , , , 
09,2008,01,1,11,001,05,1,005,02,2, , , , , 
09,2008,01,1,11,001,05,1,005,03,2, , , , , 
09,2008,01,1,11,001,05,1,005,04,2, , , , , 
09,2008,01,1,11,001,06,1,006,01,2, , , , , 
09,2008,01,1,11,001,06,1,006,02,2, , , , , 
09,2008,01,1,11,001,06,1,006,03,2, , , , , 
09,2008,01,1,11,001,06,1,006,04,2, , , , , 
09,2008,01,1,11,001,06,1,006,05,2, , , , , 
09,2008,01,1,11,001,06,1,006,06,2, , , , , 
09,2008,01,1,11,001,07,1,007,02,2, , , , , 
09,2008,01,1,11,001,07,1,007,03,2, , , , , 
09,2008,01,1,11,001,08,1,008,01,2, , , , , 
09,2008,01,1,11,001,08,1,008,02,2, , , , , 
09,2008,01,1,11,001,08,1,008,03,2, , , , , 
09,2008,01,1,11,001,09,1,009,02,2, , , , , 
09,2008,01,1,11,001,09,1,009,03,2, , , , , 
09,2008,01,1,11,001,09,1,009,04,2, , , , , 
09,2008,01,1,11,001,09,1,009,06,2, , , , , 
09,2008,01,1,11,001,10,1,010,01,2, , , , , 
09,2008,01,1,11,001,10,1,010,02,2, , , , , 
09,2008,01,1,11,001,10,1,010,04,2, , , , , 
09,2008,01,1,11,001,10,1,010,06,1,1,2,3,4, 
09,2008,01,1,11,001,10,1,010,07,2, , , , , 
09,2008,01,1,11,001,10,1,010,09,2, , , , , 
09,2008,01,1,11,001,10,1,010,10,2, , , , , 
09,2008,01,1,11,001,10,1,010,11,2, , , , , 
09,2008,01,1,11,001,10,1,010,12,2, , , , , 
09,2008,01,1,11,002,01,1,011,03,2, , , , , 
09,2008,01,1,11,002,01,1,011,05,2, , , , , 
09,2008,01,1,11,002,01,1,011,06,2, , , , , 
09,2008,01,1,11,002,02,1,012,04,2, , , , , 
09,2008,01,1,11,002,02,1,012,05,2, , , , , 
09,2008,01,1,11,002,03,1,013,02,2, , , , , 
09,2008,01,1,11,002,04,1,014,01,2, , , , , 
09,2008,01,1,11,002,05,1,015,02,2, , , , , 
09,2008,01,1,11,002,05,1,015,03,2, , , , , 
09,2008,01,1,11,002,05,1,015,04,2, , , , , 
09,2008,01,1,11,002,05,1,015,05,2, , , , , 
09,2008,01,1,11,002,05,1,015,06,2, , , , , 
09,2008,01,1,11,002,06,1,016,01,2, , , , , 
09,2008,01,1,11,002,06,1,016,05,2, , , , , 
09,2008,01,1,11,002,06,1,016,06,2, , , , , 
09,2008,01,1,11,002,06,1,016,07,2, , , , , 
09,2008,01,1,11,002,07,1,017,02,2, , , , , 
09,2008,01,1,11,002,07,1,017,05,2, , , , , 
09,2008,01,1,11,002,08,1,018,01,2, , , , , 
09,2008,01,1,11,002,08,1,018,02,2, , , , , 
09,2008,01,1,11,002,09,1,019,02,2, , , , , 
09,2008,01,1,11,002,09,1,019,03,2, , , , , 
09,2008,01,1,11,002,09,1,019,04,2, , , , , 
09,2008,01,1,11,002,10,1,020,02,2, , , , , 
09,2008,01,1,11,002,10,1,020,05,2, , , , , 
09,2008,01,1,11,002,10,1,020,06,2, , , , , 
09,2008,01,1,11,003,01,1,021,02,2, , , , , 
09,2008,01,1,11,003,01,1,021,03,2, , , , , 
09,2008,01,1,11,003,03,1,023,02,2, , , , , 
09,2008,01,1,11,003,03,1,023,03,2, , , , , 
09,2008,01,1,11,003,03,1,023,04,2, , , , , 
09,2008,01,1,11,003,04,1,024,02,2, , , , , 
09,2008,01,1,11,003,04,1,024,04,2, , , , , 
09,2008,01,1,11,003,05,1,025,02,2, , , , , 
09,2008,01,1,11,003,06,1,026,01,2, , , , , 
09,2008,01,1,11,003,06,1,026,03,2, , , , , 
09,2008,01,1,11,003,06,1,026,04,2, , , , , 
09,2008,01,1,11,003,08,1,028,01,2, , , , , 
09,2008,01,1,11,003,08,1,028,02,2, , , , , 
09,2008,01,1,11,003,08,1,028,03,2, , , , , 
09,2008,01,1,11,003,08,1,028,04,1,1,4, , , 
09,2008,01,1,11,003,08,1,028,05,2, , , , , 
09,2008,01,1,11,003,08,1,028,07,2, , , , , 
09,2008,01,1,11,003,09,1,029,02,2, , , , , 
09,2008,01,1,11,003,09,1,029,03,2, , , , , 
09,2008,01,1,11,003,09,1,029,05,2, , , , , 
09,2008,01,1,11,003,10,1,030,02,2, , , , , 
09,2008,01,1,11,004,02,1,032,02,2, , , , , 
09,2008,01,1,11,004,02,1,032,04,2, , , , , 
09,2008,01,1,11,004,03,1,033,02,2, , , , , 
09,2008,01,1,11,004,04,1,034,02,2, , , , , 
09,2008,01,1,11,004,06,1,036,02,2, , , , , 
09,2008,01,1,11,004,06,1,036,04,2, , , , , 
09,2008,01,1,11,004,07,1,037,02,2, , , , , 
09,2008,01,1,11,004,07,1,037,05,1,1,2,3,4, 
09,2008,01,1,11,004,07,1,037,06,2, , , , , 
09,2008,01,1,11,004,07,1,037,07,2, , , , , 
09,2008,01,1,11,004,08,1,038,02,2, , , , , 
09,2008,01,1,11,004,08,1,038,04,2, , , , , 
09,2008,01,1,11,004,09,1,039,01,2, , , , , 
09,2008,01,1,11,004,09,1,039,02,2, , , , , 
09,2008,01,1,11,004,09,1,039,07,2, , , , , 
09,2008,01,1,11,004,10,1,040,02,2, , , , , 
09,2008,01,1,11,005,01,1,041,01,2, , , , , 
09,2008,01,1,11,005,01,1,041,02,2, , , , , 
09,2008,01,1,11,005,01,1,041,03,2, , , , , 
09,2008,01,1,11,005,01,1,041,04,2, , , , , 
09,2008,01,1,11,005,03,1,043,01,2, , , , , 
09,2008,01,1,11,005,03,1,043,05,2, , , , , 
09,2008,01,1,11,005,06,1,046,01,2, , , , , 
09,2008,01,1,11,005,06,1,046,02,2, , , , , 
09,2008,01,1,11,005,07,1,047,02,2, , , , , 
09,2008,01,1,11,005,07,1,047,03,2, , , , , 
09,2008,01,1,11,005,07,1,047,04,2, , , , , 
09,2008,01,1,11,005,09,1,049,03,2, , , , , 
09,2008,01,1,11,005,10,1,050,02,2, , , , , 
09,2008,01,1,11,006,01,1,051,01,2, , , , , 
09,2008,01,1,11,006,01,1,051,03,2, , , , , 
09,2008,01,1,11,006,03,1,053,02,2, , , , , 
09,2008,01,1,11,006,07,1,057,02,2, , , , , 
09,2008,01,1,11,006,08,1,058,02,2, , , , , 
09,2008,01,1,11,006,08,1,058,03,1,1,4, , , 
09,2008,01,1,11,006,09,1,059,02,2, , , , , 
09,2008,01,1,11,006,09,1,059,05,2, , , , , 
09,2008,01,1,11,006,10,1,060,02,2, , , , , 
09,2008,01,1,11,007,01,1,061,02,2, , , , , 
09,2008,01,1,11,007,02,1,062,01,2, , , , , 
09,2008,01,1,11,007,02,1,062,02,2, , , , , 
09,2008,01,1,11,007,02,1,062,03,2, , , , , 
09,2008,01,1,11,007,04,1,064,02,2, , , , , 
09,2008,01,1,11,007,05,1,065,02,2, , , , , 
09,2008,01,1,11,007,06,1,066,01,2, , , , , 
09,2008,01,1,11,007,06,1,066,02,2, , , , , 
09,2008,01,1,11,007,06,1,066,03,2, , , , , 
09,2008,01,1,11,007,08,1,068,01,2, , , , , 
09,2008,01,1,11,007,08,1,068,05,2, , , , , 
09,2008,01,1,11,007,10,1,070,02,2, , , , , 
09,2008,01,1,11,007,10,1,070,03,2, , , , , 
09,2008,01,1,11,007,10,1,070,04,2, , , , , 
09,2008,01,1,11,008,01,1,071,02,2, , , , , 
09,2008,01,1,11,008,01,1,071,04,2, , , , , 
09,2008,01,1,11,008,02,1,072,01,2, , , , , 
09,2008,01,1,11,008,02,1,072,03,2, , , , , 
09,2008,01,1,11,008,02,1,072,04,2, , , , , 
09,2008,01,1,11,008,04,1,074,01,2, , , , , 
09,2008,01,1,11,008,04,1,074,02,2, , , , , 
09,2008,01,1,11,008,04,1,074,04,2, , , , , 
09,2008,01,1,11,008,04,1,074,05,2, , , , , 
