REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2008,01,1,11,001,10,1,010,06,2,1,9341,1
12,2008,01,1,11,003,08,1,028,04,2,1,1317,2
12,2008,01,1,11,004,07,1,037,05, ,2,    , 
12,2008,01,1,11,006,08,1,058,03,2,1,7413,1
12,2008,01,1,11,009,06,1,087,03, ,2,    , 
12,2008,01,2,11,010,02,1,093,03,3,2,    , 
12,2008,01,2,11,011,03,1,104,03,3,1,9341,1
12,2008,01,2,11,014,01,1,132,04,1,2,    , 
12,2008,01,1,12,001,07,1,007,02,2,1,8278,1
12,2008,01,2,12,003,02,1,022,06,2,2,    , 
12,2008,01,2,12,008,04,1,074,03, ,1,5122,1
12,2008,01,2,12,008,05,1,075,02, ,2,    , 
12,2008,01,2,12,010,01,1,091,01,1,1,4115,1
12,2008,01,1,13,001,02,1,002,04,2,2,    , 
12,2008,01,1,13,001,03,1,003,05,1,2,    , 
12,2008,08,1,13,001,05,1,005,03,6,2,    , 
12,2008,01,2,13,003,02,1,022,02, ,1,2231,1
12,2008,01,2,13,005,03,1,043,10,3,1,9132,1
12,2008,01,2,13,005,08,1,048,02,2,2,    , 
12,2008,01,2,13,006,02,1,052,03,9,1,9313,1
12,2008,01,2,13,006,10,1,060,03, ,2,    , 
12,2008,01,2,13,007,01,1,061,03,3,2,    , 
12,2008,01,2,13,007,01,1,061,04,3,2,    , 
12,2008,01,2,13,007,03,1,063,03,1,2,    , 
12,2008,01,2,13,008,09,1,079,02, ,1,4121,1
12,2008,01,2,13,008,10,1,080,03,3,2,    , 
12,2008,01,2,13,008,10,1,080,04, ,1,4211,1
12,2008,01,2,13,008,10,1,080,05, ,2,    , 
12,2008,01,2,13,010,06,1,096,01,9,1,9341,1
12,2008,01,2,21,002,06,1,016,02,2,2,    , 
12,2008,01,2,21,002,08,1,018,05,1,2,    , 
12,2008,01,2,21,003,10,1,031,03,1,1,3212,1
12,2008,01,2,21,004,09,1,040,03,1,2,    , 
12,2008,01,2,21,009,02,1,083,04,2,2,    , 
12,2008,01,2,21,009,02,1,083,05,2,2,    , 
12,2008,01,2,21,010,02,1,093,03,6,2,    , 
12,2008,01,2,21,010,04,1,095,04, ,2,    , 
12,2008,01,2,22,002,05,1,015,03,9,2,    , 
12,2008,01,2,22,002,08,1,018,03,9,2,    , 
12,2008,01,2,22,004,03,1,033,03,2,1,7141,1
12,2008,01,2,22,004,07,1,037,04,1,1,2340,1
12,2008,01,1,23,001,05,1,005,04,1,2,    , 
12,2008,01,3,23,004,03,1,034,04,2,2,    , 
12,2008,01,3,23,004,03,1,034,05,2,2,    , 
12,2008,01,2,31,004,04,1,034,05,3,2,    , 
12,2008,01,2,31,004,05,1,035,03,2,1,7433,1
12,2008,01,2,31,006,10,1,060,02,3,2,    , 
12,2008,01,2,31,010,04,1,094,02, ,1,2332,3
12,2008,01,2,31,010,10,1,100,03, ,2,    , 
12,2008,01,2,32,001,09,1,009,02,2,1,5133,1
12,2008,01,2,32,002,01,1,011,04,3,2,    , 
12,2008,01,2,32,004,01,1,031,03,3,1,7433,1
12,2008,01,2,32,004,01,1,031,04,3,2,    , 
12,2008,01,2,32,008,08,1,078,02,4,1,7313,1
12,2008,01,2,32,008,08,1,078,03,9,2,    , 
12,2008,01,2,32,008,10,1,080,03,2,1,8322,1
12,2008,01,1,33,001,02,1,002,03,6,2,    , 
12,2008,01,1,33,001,02,1,002,04, ,2,    , 
12,2008,01,1,33,001,07,1,007,03,9,2,    , 
12,2008,01,1,33,001,10,1,010,03, ,2,    , 
12,2008,01,1,33,001,10,1,010,04,1,2,    , 
12,2008,01,2,33,002,04,1,014,04,3,1,9322,1
12,2008,01,2,33,003,03,1,023,04, ,1,4221,1
12,2008,01,2,33,003,03,1,023,05, ,2,    , 
12,2008,01,2,33,004,01,1,031,01,2,1,6122,3
12,2008,01,2,33,004,04,1,034,02,3,2,    , 
12,2008,01,2,33,004,05,1,035,02, ,1,2359,1
12,2008,01,2,33,007,05,1,065,03,9,2,    , 
12,2008,01,2,33,007,06,1,066,02, ,2,    , 
12,2008,01,1,51,001,01,1,001,03, ,1,8169,2
12,2008,01,1,51,001,09,1,009,02, ,1,7141,2
12,2008,01,1,51,001,10,1,010,01,2,1,5220,2
12,2008,01,1,51,002,03,1,013,02,1,2,    , 
12,2008,01,1,52,001,07,1,007,02,1,2,    , 
12,2008,01,2,52,002,10,1,020,03,1,1,3152,1
12,2008,01,2,52,003,01,1,021,02,9,1,9211,1
12,2008,01,2,52,003,02,1,022,01,4,1,9211,1
12,2008,01,2,52,003,02,1,022,03,2,1,7412,1
12,2008,01,2,52,003,04,1,024,01,4,1,9211,1
12,2008,01,2,52,006,06,1,056,06,3,2,    , 
12,2008,01,2,52,006,08,1,058,04,9,2,    , 
12,2008,01,2,52,008,06,1,074,03,4,1,9211,4
12,2008,01,1,53,001,01,1,001,01,2,1,8322,1
12,2008,01,1,53,001,06,1,006,03,5,2,    , 
12,2008,01,2,53,002,04,1,014,02,3,2,    , 
12,2008,01,2,53,002,06,1,016,04,4,2,    , 
12,2008,01,2,53,002,07,1,017,03,5,2,    , 
12,2008,01,2,53,004,03,1,023,05,3,2,    , 
12,2008,01,1,61,001,07,1,007,03, ,2,    , 
12,2008,01,2,61,002,04,1,014,02,9,2,    , 
12,2008,01,2,61,002,10,1,020,03,1,2,    , 
12,2008,01,2,61,003,10,1,030,04, ,1,5210,1
12,2008,01,2,61,004,01,1,031,03,1,1,7433,1
12,2008,01,2,61,007,07,1,067,03, ,2,    , 
12,2008,01,2,61,009,01,1,081,04,1,1,7433,1
12,2008,01,1,62,001,06,1,006,02, ,2,    , 
12,2008,01,1,62,001,09,1,009,02, ,2,    , 
12,2008,01,1,62,001,10,1,010,03,1,2,    , 
12,2008,01,1,62,001,10,1,010,04,1,2,    , 
12,2008,01,1,62,001,10,1,010,06,1,2,    , 
12,2008,01,2,62,002,02,1,012,01, ,2,    , 
12,2008,01,2,62,002,03,1,013,03, ,2,    , 
12,2008,01,2,62,002,06,1,016,02,4,2,    , 
12,2008,01,2,62,002,06,1,016,03,4,2,    , 
12,2008,01,2,62,002,07,1,017,02,1,2,    , 
12,2008,01,2,62,006,07,1,047,04,1,1,3152,1
12,2008,01,2,71,002,01,1,001,05, ,1,2321,1
12,2008,01,2,71,002,01,1,001,06, ,2,    , 
12,2008,01,2,71,002,03,1,003,03,3,2,    , 
12,2008,01,2,71,002,03,1,003,04,3,2,    , 
12,2008,01,2,71,008,01,1,061,03,1,2,    , 
12,2008,01,2,72,002,01,1,001,01,2,1,5133,1
12,2008,01,2,81,002,02,1,012,05,3,2,    , 
12,2008,01,2,81,004,02,1,032,04,1,1,5220,1
12,2008,01,2,81,005,05,1,045,03,3,2,    , 
12,2008,01,2,81,005,05,1,045,04,3,2,    , 
12,2008,01,2,81,005,09,1,049,03,1,2,    , 
12,2008,01,3,81,006,02,1,052,01,2,1,5123,1
12,2008,01,3,81,006,04,1,054,07,2,1,9211,1
12,2008,01,2,82,001,10,1,010,03,1,2,    , 
12,2008,01,2,82,002,06,1,016,04, ,2,    , 
12,2008,01,2,91,001,07,1,007,03,1,2,    , 
12,2008,01,2,91,006,10,1,060,05,4,2,    , 
12,2008,01,3,91,009,09,1,079,04,4,1,9211,1
12,2008,01,2,92,004,03,1,033,02, ,1,7433,2
12,2008,01,2,92,004,04,1,034,01,9,1,5163,1
12,2008,01,2,92,004,05,1,035,02,6,2,    , 
12,2008,01,2,92,005,04,1,044,03,6,2,    , 
12,2008,01,2,92,005,04,1,044,07,9,1,7433,1
12,2008,01,2,92,005,05,1,045,03, ,1,1224,1
12,2008,01,2,92,005,05,1,045,04,6,2,    , 
12,2008,01,2,92,005,07,1,047,03,9,1,5169,1
12,2008,02,1,11,019,01,1,001,01,2,1,8322,1
