REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4_SEX,P5_AGE,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH
 2,2010,01,1,11,001,01,1,001,01,1,1,44,1,1,2,11,5,1,2,2
 2,2010,01,1,11,001,01,1,001,02,2,2,41,1,4,2,08,5,1,2,2
 2,2010,01,1,11,001,01,1,001,03,3,1,16,1,1,1,10,1,1,2,1
 2,2010,01,1,11,001,01,1,001,04,3,2,12,1,1,1,07,1,1,2,2
 2,2010,01,1,11,001,01,1,001,05,3,2,07,1,1,1,02,1, , , 
 2,2010,01,1,11,001,01,1,001,06,3,1,03,1,1,1,  , , , , 
 2,2010,01,1,11,001,02,1,002,01,1,2,57,4,3,3,19,5,2,2,2
 2,2010,01,1,11,001,02,1,002,02,3,2,31,4,3,2,10,5,2,1,2
 2,2010,01,1,11,001,02,1,002,03,5,1,33,4,3,2,10,5,1,1,1
 2,2010,01,1,11,001,02,1,002,04,5,2,07,4,3,1,02,1, , , 
 2,2010,01,1,11,001,02,1,002,05,5,1,01,4,3,1,  , , , , 
 2,2010,01,1,11,001,03,1,003,01,1,1,51,4,3,2,05,5,2,2,2
 2,2010,01,1,11,001,03,1,003,02,2,2,48,5,3,2,06,5,2,2,2
 2,2010,01,1,11,001,03,1,003,03,3,1,18,5,3,1,10,5,2,1,2
 2,2010,01,1,11,001,03,1,003,04,3,1,16,5,3,1,05,5,2,2,2
 2,2010,01,1,11,001,03,1,003,05,3,1,13,5,3,1,04,1,2,1,2
 2,2010,01,1,11,001,03,1,003,06,3,1,11,5,3,1,03,1,2,1,2
 2,2010,01,1,11,001,03,1,003,07,5,1,22,5,3,1,06,5,2,2,2
 2,2010,01,1,11,001,03,1,003,08,5,2,53,5,3,3,04,5,2,2,2
 2,2010,01,1,11,001,03,1,003,09,5,1,14,5,3,1,19,5,2,2,2
 2,2010,01,1,11,001,03,1,003,10,3,2,04,4,3,1,  , , , , 
 2,2010,01,1,11,001,04,1,004,01,1,1,38,1,1,2,08,5,1,2,2
 2,2010,01,1,11,001,04,1,004,02,2,2,38,1,1,2,07,5,1,2,2
 2,2010,01,1,11,001,04,1,004,03,3,2,16,1,1,1,10,1,1,2,1
 2,2010,01,1,11,001,04,1,004,04,3,2,12,1,1,1,07,1,1,2,2
 2,2010,01,1,11,001,05,1,005,01,1,1,65,4,3,2,10,5,2,1,2
 2,2010,01,1,11,001,05,1,005,02,2,2,59,4,3,2,05,5,2,2,2
 2,2010,01,1,11,001,05,1,005,03,3,2,33,4,3,5,08,5,2,1,2
 2,2010,01,1,11,001,05,1,005,04,3,1,25,4,3,1,05,5,2,2,2
 2,2010,01,1,11,001,06,1,006,01,1,2,40,1,1,2,05,5,1,2,2
 2,2010,01,1,11,001,06,1,006,02,3,2,13,1,1,1,08,1,1,2,2
 2,2010,01,1,11,001,06,1,006,03,3,2,12,1,1,1,07,1,1,2,2
 2,2010,01,1,11,001,07,1,007,01,1,1,62,1,1,2,05,5,1,2,2
 2,2010,01,1,11,001,07,1,007,02,2,2,60,1,1,2,13,5,2,2,2
 2,2010,01,1,11,001,07,1,007,03,3,2,16,1,1,1,10,1,1,2,2
 2,2010,01,1,11,001,08,1,008,01,1,1,68,1,1,2,06,5,1,2,2
 2,2010,01,1,11,001,08,1,008,02,2,2,54,1,1,2,10,5,1,2,2
