REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
 5,2010,01,1,11,001,01,1,001,01,2,2,1,70,70
 5,2010,01,1,11,001,02,1,002,03,2,2,1,50,50
 5,2010,01,1,11,001,03,1,003,01,2,2,8,42,42
 5,2010,01,1,11,001,03,1,003,03, , , ,70,20
 5,2010,01,1,11,001,03,1,003,04, , , ,70,30
 5,2010,01,1,11,001,03,1,003,07, , , ,70,30
 5,2010,01,1,11,001,04,1,004,01,1,1,6,70,50
 5,2010,01,1,11,001,05,1,005,01,2,2,1,70,70
 5,2010,01,1,11,001,05,1,005,03,2,2,8,14,18
 5,2010,01,1,11,001,05,1,005,04, , , ,70,40
 5,2010,01,1,11,001,07,1,007,01,2,2,8,56,56
 5,2010,01,1,11,001,07,1,007,02,2,2,8,28,28
 5,2010,01,1,11,001,09,1,009,01, , , ,60,60
 5,2010,01,1,11,002,01,1,011,01,2,2,8,70,00
 5,2010,01,1,11,002,02,1,012,02,2,2,8,35,35
 5,2010,01,1,11,002,02,1,012,04,2,2,8,70,70
 5,2010,01,1,11,002,03,1,013,03,2,2,8,36,36
 5,2010,01,1,11,002,04,1,014,01,1,1,5,45,50
 5,2010,01,1,11,002,05,1,015,03, , , ,50,50
 5,2010,01,1,11,002,05,1,015,04, , , ,50,50
 5,2010,01,1,11,002,05,1,015,05,2,2,8,20,20
 5,2010,01,1,11,002,06,1,016,02, , , ,48,48
 5,2010,01,1,11,002,06,1,016,03,1,1,2,45,45
 5,2010,01,1,11,002,06,1,016,04,1,1,2,45,45
 5,2010,01,1,11,002,06,1,016,06, , , ,70,30
 5,2010,01,1,11,002,06,1,016,08,2,2,8,21,21
 5,2010,01,1,11,002,07,1,017,01,2,2,1,50,50
 5,2010,01,1,11,002,09,1,019,02,2,2,8,70,70
 5,2010,01,1,11,002,09,1,019,03,2,2,1,70,60
 5,2010,01,1,11,003,01,1,021,01, , , ,45,45
 5,2010,01,1,11,003,02,1,022,01,2,2,8,50,50
 5,2010,01,1,11,003,03,1,023,02,2,2,7,60,60
 5,2010,01,1,11,003,05,1,025,01,2,2,7,70,70
 5,2010,01,1,11,003,05,1,025,05,2,2,7,60,60
 5,2010,01,1,11,003,06,1,026,01,1,1,5,45,45
 5,2010,01,1,11,003,06,1,026,03,2,2,8,60,60
 5,2010,01,1,11,003,06,1,026,04,2,2,3,40,40
 5,2010,01,1,11,003,07,1,027,01,2,2,7,45,45
 5,2010,01,1,11,003,08,1,028,01,2,2,8,60,60
 5,2010,01,1,11,003,08,1,028,02,1,1,6,45,45
 5,2010,01,1,11,003,09,1,029,01,2,2,8,45,45
 5,2010,01,1,11,003,09,1,029,02,1,1,6,45,50
 5,2010,01,1,11,003,10,1,030,01,2,2,8,60,60
 5,2010,01,2,11,004,01,1,031,01,2,2,1,60,60
 5,2010,01,2,11,004,02,1,032,01,2,2,8,70,00
 5,2010,01,2,11,004,02,1,032,02,1,1,3,48,48
 5,2010,01,2,11,004,03,1,033,01,1,1,3,40,40
 5,2010,01,2,11,004,05,1,035,01,2,2,8,60,50
 5,2010,01,2,11,004,05,1,035,03,1,1,3,45,45
 5,2010,01,2,11,004,05,1,035,04,1,1,4,40,40
 5,2010,01,2,11,004,05,1,035,05,2,2,8,70,40
 5,2010,01,2,11,004,05,1,035,06,2,2,8,70,00
 5,2010,01,2,11,004,06,1,036,04,2,2,1,60,60
 5,2010,01,2,11,004,07,1,037,01, , , ,40,40
 5,2010,01,2,11,004,09,1,039,01, , , ,40,40
 5,2010,01,2,11,004,09,1,039,04, , , ,70,70
 5,2010,01,2,11,004,09,1,039,05,1,1,6,45,45
 5,2010,01,2,11,004,09,1,039,06,1,1,6,45,45
 5,2010,01,2,11,004,10,1,040,01,2,2,1,56,56
 5,2010,01,2,11,004,10,1,040,02, , , ,40,40
 5,2010,01,2,11,005,01,1,041,01,2,2,2,56,56
 5,2010,01,2,11,005,01,1,041,03,2,2,1,70,70
 5,2010,01,2,11,005,02,1,042,01,2,2,8,35,35
 5,2010,01,2,11,005,02,1,042,02,2,2,1,56,32
 5,2010,01,2,11,005,08,1,045,01, , , ,44,44
 5,2010,01,2,11,005,08,1,045,02,1,1,6,48,48
 5,2010,01,2,11,005,08,1,048,01,2,2,1,60,60
 5,2010,01,2,11,005,08,1,048,07,2,2,1,60,60
 5,2010,01,2,11,005,09,1,049,03,1,1,6,40,40
 5,2010,01,2,11,005,10,1,050,01,1,1,5,48,48
 5,2010,01,2,11,006,02,1,052,01, , , ,40,40
 5,2010,01,2,11,006,04,1,054,01, , , ,40,40
 5,2010,01,2,11,006,06,1,056,01,2,2,8,84,84
 5,2010,01,2,11,006,06,1,056,02,1,1,5,45,45
 5,2010,01,2,11,006,07,1,057,01,2,2,1,63,36
 5,2010,01,2,11,006,08,1,058,01,1,1,5,48,48
 5,2010,01,2,11,006,08,1,058,04,1,1,5,84,84
 5,2010,01,2,11,006,10,1,060,01,1,1,6,44,44
 5,2010,01,2,11,006,10,1,060,02,1,1,2,70,70
 5,2010,01,2,11,007,01,1,061,01,2,2,8,35,35
 5,2010,01,2,11,007,01,1,061,02,2,2,8,60,60
 5,2010,01,2,11,007,02,1,062,01,1,1,6,54,54
 5,2010,01,2,11,007,02,1,062,02,1,1,1,45,45
 5,2010,01,2,11,007,04,1,064,03, , , ,40,40
