REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
 4,2010,01,1,11,001,01,1,001,01,4213,9249,1,3,2,2,3
 4,2010,01,1,11,001,02,1,002,03,7224,2894,1,3,2,2,3
 4,2010,01,1,11,001,03,1,003,01,9111,5220,3, , , , 
 4,2010,01,1,11,001,03,1,003,03,9131,9500,1,4, , , 
 4,2010,01,1,11,001,03,1,003,04,9131,9500,1,4, , , 
 4,2010,01,1,11,001,03,1,003,07,9131,9500,1,4, , , 
 4,2010,01,1,11,001,04,1,004,01,9322,5126,1,3,2,2,3
 4,2010,01,1,11,001,05,1,005,01,9114,5220,1,3,2,2,3
 4,2010,01,1,11,001,05,1,005,03,7436,1810,3, , , , 
 4,2010,01,1,11,001,05,1,005,04,7124,4543,1,4, , , 
 4,2010,01,1,11,001,07,1,007,01,1314,5211,3, , , , 
 4,2010,01,1,11,001,07,1,007,02,5220,5211,4, , , , 
 4,2010,01,1,11,001,09,1,009,01,9341,5220,1,4, , , 
 4,2010,01,1,11,002,01,1,011,01,8322,6024,3, , , , 
 4,2010,01,1,11,002,02,1,012,02,7412,1531,3, , , , 
 4,2010,01,1,11,002,02,1,012,04,8322,6024,3, , , , 
 4,2010,01,1,11,002,03,1,013,03,3433,7412,3, , , , 
 4,2010,01,1,11,002,04,1,014,01,3431,6309,1,1,1,1,3
 4,2010,01,1,11,002,05,1,015,03,9341,5220,1,4, , , 
 4,2010,01,1,11,002,05,1,015,04,9341,5220,1,4, , , 
 4,2010,01,1,11,002,05,1,015,05,7433,1810,3, , , , 
 4,2010,01,1,11,002,06,1,016,02,9341,5220,1,4, , , 
 4,2010,01,1,11,002,06,1,016,03,5220,5131,1,2,2,1,3
 4,2010,01,1,11,002,06,1,016,04,5220,5131,1,2,2,1,3
 4,2010,01,1,11,002,06,1,016,06,9313,4521,1,4, , , 
 4,2010,01,1,11,002,06,1,016,08,8286,2102,3, , , , 
 4,2010,01,1,11,002,07,1,017,01,5220,5239,1,2,2,1,3
 4,2010,01,1,11,002,09,1,019,02,8322,6024,3, , , , 
 4,2010,01,1,11,002,09,1,019,03,5220,5126,1,3,2,2,3
 4,2010,01,1,11,003,01,1,021,01,4121,7513,1,1,1,1,2
 4,2010,01,1,11,003,02,1,022,01,8322,6025,3, , , , 
 4,2010,01,1,11,003,03,1,023,02,1317,5231,3, , , , 
 4,2010,01,1,11,003,05,1,025,01,9313,4521,1,3,2,2,3
 4,2010,01,1,11,003,05,1,025,05,9341,9600,1,3,2,2,3
 4,2010,01,1,11,003,06,1,026,01,9132,5126,1,1,1,1,3
 4,2010,01,1,11,003,06,1,026,03,1314,5211,3, , , , 
 4,2010,01,1,11,003,06,1,026,04,8322,6024,1,3,2,2,3
 4,2010,01,1,11,003,07,1,027,01,8322,6024,3, , , , 
 4,2010,01,1,11,003,08,1,028,01,9112,5232,3, , , , 
 4,2010,01,1,11,003,08,1,028,02,8263,1810,1,1,1,1,3
 4,2010,01,1,11,003,09,1,029,01,8322,6024,1,3,2,2,3
 4,2010,01,1,11,003,09,1,029,02,9322,2520,1,1,1,1,3
 4,2010,01,1,11,003,10,1,030,01,1317,5239,3, , , , 
 4,2010,01,2,11,004,01,1,031,01,9341,5234,1,3,2,2,3
 4,2010,01,2,11,004,02,1,032,01,9312,4521,1,3,2,2,3
 4,2010,01,2,11,004,02,1,032,02,7433,1810,1,1,1,1,3
 4,2010,01,2,11,004,03,1,033,01,8162,2520,1,3,2,2,3
 4,2010,01,2,11,004,05,1,035,01,7241,4531,3, , , , 
 4,2010,01,2,11,004,05,1,035,03,1226,2899,1,3,2,2,3
 4,2010,01,2,11,004,05,1,035,04,3431,7210,1,1,1,1,3
 4,2010,01,2,11,004,05,1,035,05,7433,1810,3, , , , 
 4,2010,01,2,11,004,05,1,035,06,7141,4541,3, , , , 
 4,2010,01,2,11,004,06,1,036,04,8324,6024,1,3,2,2,3
 4,2010,01,2,11,004,07,1,037,01,3439,7511,1,1,1,1,2
 4,2010,01,2,11,004,09,1,039,01,9132,7511,1,1,1,1,1
 4,2010,01,2,11,004,09,1,039,04,0110,7522,1,1,1,1,1
 4,2010,01,2,11,004,09,1,039,05,9322,2424,1,3,1,2,3
 4,2010,01,2,11,004,09,1,039,06,9322,2424,1,3,1,2,3
 4,2010,01,2,11,004,10,1,040,01,5220,5220,1,3,2,2,3
 4,2010,01,2,11,004,10,1,040,02,9132,7512,1,1,1,1,1
 4,2010,01,2,11,005,01,1,041,01,1317,2010,2, , , , 
 4,2010,01,2,11,005,01,1,041,03,1317,1412,2, , , , 
 4,2010,01,2,11,005,02,1,042,01,6111,0162,3, , , , 
 4,2010,01,2,11,005,02,1,042,02,7135,4526,1,3,2,2,3
 4,2010,01,2,11,005,08,1,045,01,9153,5211,1,1,1,1,2
 4,2010,01,2,11,005,08,1,045,02,7212,2811,1,1,1,1,3
 4,2010,01,2,11,005,08,1,048,01,1314,5211,2, , , , 
 4,2010,01,2,11,005,08,1,048,07,8324,6023,1,3,2,2,3
 4,2010,01,2,11,005,09,1,049,03,4121,4521,1,1,1,1,3
 4,2010,01,2,11,005,10,1,050,01,7433,1810,1,1,1,1,3
 4,2010,01,2,11,006,02,1,052,01,1210,6519,1,1,1,1,1
 4,2010,01,2,11,006,04,1,054,01,2229,8512,1,1,1,1,1
 4,2010,01,2,11,006,06,1,056,01,1314,5211,3, , , , 
 4,2010,01,2,11,006,06,1,056,02,4131,2424,1,1,1,1,3
 4,2010,01,2,11,006,07,1,057,01,7122,4521,1,3,2,2,3
 4,2010,01,2,11,006,08,1,058,01,7433,1810,1,1,1,1,3
 4,2010,01,2,11,006,08,1,058,04,9152,5233,1,1,2,2,3
 4,2010,01,2,11,006,10,1,060,01,1210,1810,1,1,1,1,3
 4,2010,01,2,11,006,10,1,060,02,1317,1727,2, , , , 
 4,2010,01,2,11,007,01,1,061,01,1314,5211,3, , , , 
 4,2010,01,2,11,007,01,1,061,02,5220,5211,4, , , , 
 4,2010,01,2,11,007,02,1,062,01,3449,5235,1,1,1,1,3
 4,2010,01,2,11,007,02,1,062,02,4111,7411,1,1,1,1,3
 4,2010,01,2,11,007,04,1,064,03,2310,8031,1,1,1,1,1
 4,2010,01,2,11,007,04,1,064,04,2146,2694,1,1,1,1,3
 4,2010,01,2,11,007,05,1,065,03,4121,2219,1,1,1,1,3
 4,2010,01,2,11,007,05,1,065,04,7332,1810,1,1,1,1,3
 4,2010,01,2,11,007,06,1,066,02,9131,9500,1,2,2,2,3
 4,2010,01,2,11,007,07,1,067,04,1222,6519,1,1,1,1,2
 4,2010,01,2,11,007,08,1,068,04,1224,4010,1,1,1,1,3
 4,2010,01,2,11,007,09,1,069,01,1314,5232,3, , , , 
 4,2010,01,2,11,007,09,1,069,02,5220,5232,4, , , , 
 4,2010,01,2,11,007,09,1,069,03,5220,5232,4, , , , 
 4,2010,01,2,11,007,10,1,070,01,1314,5211,3, , , , 
 4,2010,01,2,11,007,10,1,070,02,5220,5211,4, , , , 
 4,2010,01,2,11,008,01,1,071,01,9341,9600,1,4, , , 
 4,2010,01,2,11,008,02,1,072,01,9153,7492,1,1,1,2,3
 4,2010,01,2,11,008,04,1,074,01,3419,2222,1,2,1,1,2
 4,2010,01,2,11,008,04,1,074,05,3439,3610,1,2,2,2,3
 4,2010,01,2,11,008,05,1,075,03,4121,5239,1,1,1,1,3
 4,2010,01,2,11,008,06,1,076,02,7412,1531,3, , , , 
 4,2010,01,2,11,008,07,1,077,01,1317,5234,3, , , , 
 4,2010,01,2,11,008,07,1,077,02,5220,5234,4, , , , 
 4,2010,01,2,11,008,08,1,078,03,2451,7512,1,1,1,1,2
 4,2010,01,2,11,008,09,1,079,03,5220,5233,1,1,1,1,3
 4,2010,01,2,11,008,10,1,080,01,9341,9600,1,4, , , 
 4,2010,01,2,11,008,10,1,080,02,8263,1810,1,1,1,1,3
 4,2010,01,2,11,009,01,1,081,01,9211,0212,1,1,1,2,3
 4,2010,01,2,11,009,01,1,081,02,9211,0212,1,2,2,2,3
 4,2010,01,2,11,009,01,1,081,03,9341,9600,1,4, , , 
 4,2010,01,2,11,009,03,1,083,01,9211,0212,1,1,1,2,3
 4,2010,01,2,11,009,04,1,084,01,9211,0212,3, , , , 
 4,2010,01,2,11,009,04,1,084,02,9211,0212,3, , , , 
 4,2010,01,2,11,009,04,1,084,03,7436,1810,1,1,1,1,3
 4,2010,01,2,11,009,05,1,085,01,3439,5235,3, , , , 
 4,2010,01,2,11,009,05,1,085,02,5220,5235,4, , , , 
 4,2010,01,2,11,009,06,1,086,03,8263,1810,1,1,1,2,3
 4,2010,01,2,11,009,06,1,086,04,5220,5234,1,1,1,2,3
 4,2010,01,2,11,009,06,1,086,05,8263,1810,1,1,1,2,3
 4,2010,01,2,11,009,06,1,086,06,7436,1810,1,1,1,2,3
 4,2010,01,2,11,009,08,1,088,01,8322,5520,1,1,1,1,3
 4,2010,01,2,11,009,09,1,089,01,8324,6023,1,2,2,2,3
 4,2010,01,2,11,009,10,1,090,01,6121,0411,3, , , , 
 4,2010,01,2,11,009,10,1,090,03,8322,6024,3, , , , 
