REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2011,01,1,11,001,01,1,001,01,60,60, , ,  , 
 7,2011,01,1,11,001,02,1,002,01,35,35, , ,  , 
 7,2011,01,1,11,001,02,1,002,02,35,35, , ,  , 
 7,2011,01,1,11,001,02,1,002,03,50,50, , ,  , 
 7,2011,01,1,11,001,03,1,003,01,56,48, , ,  , 
 7,2011,01,1,11,001,06,1,006,02,70,70, , ,  , 
 7,2011,01,1,11,001,06,1,006,03,45,50, , ,  , 
 7,2011,01,1,11,001,07,1,007,02,60,50, , ,  , 
 7,2011,01,1,11,001,08,1,008,02,60,72, , ,  , 
 7,2011,01,1,11,001,09,1,009,01,54,54, , ,  , 
 7,2011,01,1,11,001,09,1,009,02,54,54, , ,  , 
 7,2011,01,1,11,001,09,1,009,04,36,36, , ,  , 
 7,2011,01,1,11,001,10,1,010,01,56,48, , ,  , 
 7,2011,01,1,11,001,10,1,010,02,45,45, , ,  , 
 7,2011,01,1,11,002,01,1,011,01,70,70, , ,  , 
 7,2011,01,1,11,002,01,1,011,02,70,70, , ,  , 
 7,2011,01,1,11,002,01,1,011,03,70,70, , ,  , 
 7,2011,01,1,11,002,02,1,012,01,45,38, , ,  , 
 7,2011,01,1,11,002,03,1,013,01,70,40, , ,  , 
 7,2011,01,1,11,002,03,1,013,03,50,42, , ,  , 
 7,2011,01,1,11,002,03,1,013,04,45,37, , ,  , 
 7,2011,01,1,11,002,03,1,013,07,60,60, , ,  , 
 7,2011,01,1,11,002,04,1,014,01,70,70, , ,  , 
 7,2011,01,1,11,002,05,1,015,01,45,40, , ,  , 
 7,2011,01,1,11,002,05,1,015,02,10,  ,2, ,  , 
 7,2011,01,1,11,002,06,1,016,01,60,00, , ,  , 
 7,2011,01,1,11,002,06,1,016,03,45,37, , ,  , 
 7,2011,01,1,11,002,06,1,016,04,70,70, , ,  , 
 7,2011,01,1,11,002,06,1,016,06,70,70, , ,  , 
 7,2011,01,1,11,002,07,1,017,01,60,40, , ,  , 
 7,2011,01,1,11,002,07,1,017,06,70,60, , ,  , 
 7,2011,01,1,11,002,08,1,018,01,70,40, , ,  , 
 7,2011,01,1,11,002,10,1,020,01,50,40, , ,  , 
 7,2011,01,1,11,003,01,1,021,02,40,42, , ,  , 
 7,2011,01,1,11,003,02,1,022,02,40,40, , ,  , 
 7,2011,01,1,11,003,07,1,027,01,45,37, , ,  , 
 7,2011,01,1,11,003,07,1,027,03,42,42, , ,  , 
 7,2011,01,1,11,003,08,1,028,01,35,35, , ,  , 
 7,2011,01,1,11,003,08,1,028,03,50,30, , ,  , 
 7,2011,01,1,11,003,09,1,029,02,40,40, , ,  , 
 7,2011,01,1,11,004,01,1,031,01,40,32, , ,  , 
 7,2011,01,1,11,004,01,1,031,04,40,32, , ,  , 
