REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q31_PERSON_SERIAL_NO,Q31A_YOU_MAIN_OCCUPATION,Q31B1_GORSS_SALARY,Q31B2_ADDITIONAL_EARNING,Q31B3_INCOME_IN_KIND,Q31C1_DAILY_WAGE,Q31C2_NO_OF_DAYS_WORKED,Q31C3_TOTAL_EARNING,Q31C4_INCOME_IN_KIND,Q32_YOU_SECONDARY_OCCUPATION,Q32B1_GROSS_SALARY,Q32B2_ADDITIONAL_EARNING,Q32B3_INCOME_IN_KIND,Q32C1_DAILY_WAGE,Q32C2_NO_OF_DAYS_WORKED,Q32C3_TOTAL_EARNING,Q32C4_INCOME_IN_KIND
 8,2011,01,1,11,001,01,1,001,01,1,     ,     ,     ,00400,22,08800,01000,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,02,1,002,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,02,1,002,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,02,1,002,03,1,     ,     ,     ,00200,25,05000,00500,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,03,1,003,01,1,     ,     ,     ,00600,28,16800,02000,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,06,1,006,02,1,     ,     ,     ,00400,28,11200,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,06,1,006,03,1,08500,06000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,07,1,007,02,1,     ,     ,     ,00250,25,06250,00500,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,08,1,008,02,1,08000,03500,02000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,09,1,009,01,1,04800,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,09,1,009,02,1,07000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,09,1,009,04,1,     ,     ,     ,00600,15,09000,02000,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,10,1,010,01,1,     ,     ,     ,00600,24,14400,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,001,10,1,010,02,1,06000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,01,1,011,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,01,1,011,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,01,1,011,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,02,1,012,01,1,12000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,03,1,013,01,1,     ,     ,     ,00700,20,14000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,03,1,013,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,03,1,013,04,1,07000,     ,01000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,03,1,013,07,1,     ,     ,     ,00500,26,13000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,04,1,014,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,05,1,015,01,1,22000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,05,1,015,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,06,1,016,01,1,     ,     ,     ,00250,20,05000,00500,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,06,1,016,03,1,12000,     ,01000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,06,1,016,04,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,06,1,016,06,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,07,1,017,01,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,07,1,017,06,1,08000,     ,00500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,08,1,018,01,1,     ,     ,     ,00800,20,16000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2011,01,1,11,002,10,1,020,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
