REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q37_PERSON_SERIAL_NO,Q37_READY_ACCEPT_JOB,Q38_REASON_FOR_NOT_ACCEPTING,Q39_EXPECT_EMPLOYMENT,Q40_EXPECT_SECTOR,Q41A_EXPECT_ANY_HELP,Q41B1_EXCEPT_ASSISTANCE_1ST,Q41B2_EXCEPT_ASSISTANCE_2ND,Q41B3_EXCEPT_ASSISTANCE_3RD,Q42_NATURE_OF_THE_JOB
10,2011,01,1,11,001,01,1,001,02, ,2, , , , , , ,    
10,2011,01,1,11,001,02,1,002,04, ,1, , , , , , ,    
10,2011,01,1,11,001,03,1,003,02, ,2, , , , , , ,    
10,2011,01,1,11,001,04,1,004,01, ,2, , , , , , ,    
10,2011,01,1,11,001,04,1,004,02,1, ,2,3, , , , ,5220
10,2011,01,1,11,001,06,1,006,01, ,3, , , , , , ,    
10,2011,01,1,11,001,06,1,006,04, ,2, , , , , , ,    
10,2011,01,1,11,001,07,1,007,01, ,4, , , , , , ,    
10,2011,01,1,11,001,08,1,008,01, ,2, , , , , , ,    
10,2011,01,1,11,001,08,1,008,03, ,2, , , , , , ,    
10,2011,01,1,11,001,08,1,008,04, ,1, , , , , , ,    
10,2011,01,1,11,001,08,1,008,05, ,1, , , , , , ,    
10,2011,01,1,11,001,09,1,009,03, ,2, , , , , , ,    
10,2011,01,1,11,002,02,1,012,02, ,2, , , , , , ,    
10,2011,01,1,11,002,03,1,013,02, ,2, , , , , , ,    
10,2011,01,1,11,002,03,1,013,05, ,9, , , , , , ,    
10,2011,01,1,11,002,03,1,013,06, ,3, , , , , , ,    
10,2011,01,1,11,002,03,1,013,08, ,1, , , , , , ,    
10,2011,01,1,11,002,03,1,013,09, ,1, , , , , , ,    
10,2011,01,1,11,002,04,1,014,02, ,1, , , , , , ,    
10,2011,01,1,11,002,05,1,015,03, ,9, , , , , , ,    
10,2011,01,1,11,002,05,1,015,04, ,1, , , , , , ,    
10,2011,01,1,11,002,06,1,016,02, ,4, , , , , , ,    
10,2011,01,1,11,002,06,1,016,05, ,2, , , , , , ,    
10,2011,01,1,11,002,06,1,016,07, ,2, , , , , , ,    
10,2011,01,1,11,002,07,1,017,02, ,2, , , , , , ,    
10,2011,01,1,11,002,07,1,017,03, ,1, , , , , , ,    
10,2011,01,1,11,002,07,1,017,04, ,1, , , , , , ,    
10,2011,01,1,11,002,07,1,017,05, ,1, , , , , , ,    
10,2011,01,1,11,002,08,1,018,02, ,2, , , , , , ,    
10,2011,01,1,11,002,08,1,018,03,1, ,2,4, , , , ,4115
10,2011,01,1,11,002,08,1,018,04, ,1, , , , , , ,    
10,2011,01,1,11,002,10,1,020,02, ,2, , , , , , ,    
10,2011,01,1,11,002,10,1,020,03, ,1, , , , , , ,    
10,2011,01,1,11,002,10,1,020,04, ,1, , , , , , ,    
10,2011,01,1,11,002,10,1,020,05, ,1, , , , , , ,    
10,2011,01,1,11,003,01,1,021,01, ,3, , , , , , ,    
10,2011,01,1,11,003,02,1,022,01, ,2, , , , , , ,    
10,2011,01,1,11,003,02,1,022,03, ,1, , , , , , ,    
10,2011,01,1,11,003,02,1,022,04, ,1, , , , , , ,    
10,2011,01,1,11,003,02,1,022,05, ,3, , , , , , ,    
10,2011,01,1,11,003,04,1,024,01, ,3, , , , , , ,    
10,2011,01,1,11,003,04,1,024,02, ,2, , , , , , ,    
10,2011,01,1,11,003,04,1,024,03,1, ,2,1, , , , ,4112
10,2011,01,1,11,003,05,1,025,02, ,2, , , , , , ,    
10,2011,01,1,11,003,05,1,025,03, ,1, , , , , , ,    
10,2011,01,1,11,003,05,1,025,04, ,1, , , , , , ,    
10,2011,01,1,11,003,05,1,025,06, ,3, , , , , , ,    
10,2011,01,1,11,003,07,1,027,02, ,3, , , , , , ,    
10,2011,01,1,11,003,08,1,028,02, ,2, , , , , , ,    
10,2011,01,1,11,003,08,1,028,04, ,2, , , , , , ,    
10,2011,01,1,11,003,09,1,029,03, ,1, , , , , , ,    
10,2011,01,1,11,004,01,1,031,02, ,2, , , , , , ,    
10,2011,01,1,11,004,01,1,031,03, ,1, , , , , , ,    
10,2011,01,1,11,004,01,1,031,06, ,3, , , , , , ,    
10,2011,01,1,11,004,02,1,032,01, ,2, , , , , , ,    
10,2011,01,1,11,004,02,1,032,03, ,1, , , , , , ,    
10,2011,01,1,11,004,03,1,033,02, ,2, , , , , , ,    
10,2011,01,1,11,004,03,1,033,04, ,2, , , , , , ,    
10,2011,01,1,11,004,04,1,034,01,1, ,3, , , , , ,    
10,2011,01,1,11,004,04,1,034,02, ,2, , , , , , ,    
10,2011,01,1,11,004,05,1,035,03, ,1, , , , , , ,    
10,2011,01,1,11,004,05,1,035,05, ,3, , , , , , ,    
10,2011,01,1,11,004,07,1,037,01, ,2, , , , , , ,    
10,2011,01,1,11,004,07,1,037,02, ,4, , , , , , ,    
10,2011,01,1,11,004,09,1,039,02, ,2, , , , , , ,    
10,2011,01,1,11,005,02,1,042,02, ,2, , , , , , ,    
10,2011,01,1,11,005,02,1,042,03, ,1, , , , , , ,    
10,2011,01,1,11,005,02,1,042,04, ,1, , , , , , ,    
10,2011,01,1,11,005,03,1,043,02, ,2, , , , , , ,    
10,2011,01,1,11,005,03,1,043,03, ,1, , , , , , ,    
10,2011,01,1,11,005,04,1,044,01, ,2, , , , , , ,    
10,2011,01,1,11,005,04,1,044,04, ,1, , , , , , ,    
10,2011,01,1,11,005,05,1,045,02, ,2, , , , , , ,    
10,2011,01,1,11,005,06,1,046,03, ,2, , , , , , ,    
10,2011,01,1,11,005,06,1,046,04, ,1, , , , , , ,    
10,2011,01,1,11,005,07,1,047,02, ,2, , , , , , ,    
10,2011,01,1,11,005,10,1,050,01, ,3, , , , , , ,    
10,2011,01,1,11,006,02,1,052,01, ,3, , , , , , ,    
10,2011,01,1,11,006,02,1,052,02, ,2, , , , , , ,    
10,2011,01,1,11,006,02,1,052,03, ,2, , , , , , ,    
10,2011,01,1,11,006,02,1,052,06, ,2, , , , , , ,    
