REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2011,01,1,11,001,04,1,004,02,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,01,1,11,002,08,1,018,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,01,1,11,003,04,1,024,03,15000,3,1,719,1,45,06,   , ,  ,  
11,2011,01,1,11,004,04,1,034,01,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,01,1,11,009,09,1,089,03,12000,1,1,256,2,01,36,   , ,  ,  
11,2011,01,2,11,012,08,1,118,02,50000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,11,012,08,1,118,04,75000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,11,014,04,1,137,02,15000,1,1,541,1,46,12,   , ,  ,  
11,2011,01,2,11,015,03,1,145,01,11000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,01,3,11,018,08,1,181,04,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,02,1,11,027,02,1,062,03,15000,2,1,719,1,46,06,   , ,  ,  
11,2011,02,1,11,028,08,1,078,01,30000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,02,1,11,028,08,1,078,02,05000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,02,1,11,029,05,1,085,02,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,02,1,11,029,06,1,086,03,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,02,2,11,031,02,1,102,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,02,2,11,033,04,1,124,05,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,11,049,07,1,119,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,04,1,11,055,03,1,003,06,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,04,1,11,055,03,1,003,07,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,04,2,11,064,08,1,179,01,60000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,04,2,11,069,04,1,095,02,16000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,04,2,11,069,04,1,095,05,16000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,04,2,11,069,04,1,095,07,16000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,082,07,1,108,03,20000,3,1,719,1,01,06,   , ,  ,  
11,2011,05,2,11,084,07,1,118,01,50000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,086,04,1,135,03,99999,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,087,01,1,142,03,16000,1,1,719,2,05,09,   , ,  ,  
11,2011,05,2,11,087,02,1,143,02,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,087,06,1,147,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,087,06,1,147,04,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,087,08,1,149,02,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,05,2,11,088,09,1,160,03,15000,3,1,719,3,47,24,   , ,  ,  
11,2011,06,2,11,100,05,1,165,03,40000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,06,2,11,101,02,1,172,04,40000,1,1,717,1,03,06,   , ,  ,  
11,2011,06,2,11,101,07,1,177,01,40000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,06,2,11,101,10,1,180,03,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,06,2,11,104,03,1,113,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,06,2,11,105,04,1,124,04,15000,2,1,231,1,43,12,233,1,02,12
11,2011,06,2,11,106,05,1,135,03,19000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,07,1,11,109,03,1,013,07,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,07,1,11,110,01,1,001,02,25000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,07,1,11,111,03,1,023,05,90000,1,1,312,3,45,12,   , ,  ,  
11,2011,07,1,11,115,03,1,063,04,10000,1,1,981,1,46,12,   , ,  ,  
11,2011,07,2,11,118,05,1,095,04,30000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,07,2,11,123,08,1,150,03,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,07,2,11,123,09,1,151,04,14000,3,1,719,1,25,06,   , ,  ,  
11,2011,07,2,11,123,09,1,151,06,14000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,07,2,11,124,04,1,156,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,07,2,11,124,04,1,156,04,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,08,1,11,130,08,1,028,03,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,08,1,11,130,10,1,030,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,08,1,11,132,02,1,042,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,08,2,11,137,09,1,089,02,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,08,2,11,140,05,1,115,02,99999,1,2,   , ,  ,  ,   , ,  ,  
11,2011,08,2,11,141,05,1,125,04,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,08,2,11,142,03,1,133,01,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,09,1,11,146,01,1,011,03,06000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,09,2,11,155,04,1,175,03,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,09,2,11,157,04,1,115,07,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,09,2,11,158,01,1,142,02,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,12,005,10,1,051,02,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,12,010,02,1,083,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,12,011,07,1,098,03,15000,3,1,213,2,02,24,   , ,  ,  
11,2011,01,2,12,011,10,1,101,03,20000,2,1,217,1,43,03,   , ,  ,  
11,2011,01,2,12,013,05,1,116,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,12,015,10,1,141,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,01,2,12,016,07,1,148,03,20000,3,1,719,1,01,09,   , ,  ,  
11,2011,01,2,12,016,07,1,148,04,20000,3,1,812,1,46,18,719,2,  ,09
11,2011,02,2,12,019,10,1,030,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,02,2,12,022,05,1,055,01,12000,3,1,972,1,46,06,122,1,46,06
11,2011,03,2,12,036,01,1,031,03,10000,3,1,312,1,01,24,611,2,46,12
11,2011,03,2,12,036,01,1,031,04,10000,3,1,711,2,43,12,851,2,43,18
11,2011,03,2,12,038,01,1,051,04,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,038,03,1,053,04,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,039,02,1,062,01,05000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,039,02,1,062,03,05000,2,1,871,2,43,09,967,1,46,08
11,2011,03,2,12,039,02,1,062,05,05000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,039,04,1,064,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,039,05,1,065,01,99999,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,042,07,1,097,04,40000,1,2,   , ,  ,  ,   , ,  ,  
11,2011,03,2,12,046,10,1,140,01,15000,1,1,218,1,46,02,   , ,  ,  
11,2011,04,2,12,052,08,1,038,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2011,04,2,12,054,04,1,054,03,15000,3,2,   , ,  ,  ,   , ,  ,  
