REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q20SERNO,Q20,Q21,Q23,Q24,Q25,Q26
06,2013,10,2,43,09,030,01,1,001,02,48,48, ,2,    ,     
06,2013,10,2,43,09,030,02,1,002,01,52,52, ,2,    ,     
06,2013,10,2,43,09,030,02,1,002,03,48,48, ,2,    ,     
06,2013,10,2,43,09,030,03,1,003,01,48,48, ,2,    ,     
06,2013,10,2,43,09,030,04,1,004,01,50,50, ,1,6111,01133
06,2013,10,2,43,09,030,05,1,005,01,38,38, ,1,6113,01120
06,2013,10,2,43,09,030,06,1,006,01,40,40, ,1,6113,01120
06,2013,10,2,43,09,030,06,1,006,03,54,54, ,2,    ,     
06,2013,10,2,43,09,030,06,1,006,04,09,09, ,2,    ,     
06,2013,10,2,43,09,030,07,1,007,01,48,48, ,1,6113,01120
06,2013,10,2,43,09,030,09,1,009,01,50,50, ,2,    ,     
06,2013,10,2,43,09,030,09,1,009,03,55,55, ,2,    ,     
06,2013,10,2,43,09,030,09,1,009,04,54,54, ,2,    ,     
06,2013,10,2,43,09,030,10,1,010,03,18,18, ,2,    ,     
06,2013,10,1,43,09,029,01,1,011,03,52,52, ,2,    ,     
06,2013,10,1,43,09,029,02,1,012,01,40,52, ,2,    ,     
06,2013,10,1,43,09,029,02,1,012,02,48,48, ,2,    ,     
06,2013,10,1,43,09,029,05,1,015,01,40,40, ,2,    ,     
06,2013,10,1,43,09,029,05,1,015,02,30,30, ,2,    ,     
06,2013,10,1,43,09,029,07,1,017,01,48,48, ,2,    ,     
06,2013,10,1,43,09,029,08,1,018,02,48,48, ,2,    ,     
06,2013,10,1,43,09,029,09,1,019,01,60,60, ,2,    ,     
06,2013,10,1,43,09,029,10,1,020,01,38,38, ,1,6111,01133
06,2013,10,2,43,06,028,01,1,021,01,60,10,1,2,    ,     
06,2013,10,2,43,06,028,01,1,021,02,40,40, ,2,    ,     
06,2013,10,2,43,06,028,01,1,021,03,84,84, ,2,    ,     
06,2013,10,2,43,06,028,02,1,022,01,50,20,4,2,    ,     
06,2013,10,2,43,06,028,02,1,022,02,70,70, ,2,    ,     
06,2013,10,2,43,06,028,03,1,023,01,84,84, ,2,    ,     
06,2013,10,2,43,06,028,05,1,025,01,56,48,3,2,    ,     
06,2013,10,2,43,06,028,05,1,025,03,48,48, ,2,    ,     
06,2013,10,2,43,06,028,06,1,026,01,99,99, ,2,    ,     
06,2013,10,2,43,06,028,06,1,026,03,44,44, ,2,    ,     
06,2013,10,2,43,06,028,07,1,027,01,84,84, ,2,    ,     
06,2013,10,2,43,06,028,08,1,028,01,84,84, ,2,    ,     
06,2013,10,2,43,06,028,09,1,029,04,84,84, ,2,    ,     
06,2013,10,2,43,06,028,10,1,030,03,84,84, ,2,    ,     
06,2013,10,2,43,06,028,10,1,030,04,92,12,7,2,    ,     
06,2013,10,2,53,06,039,01,1,001,01,50,50, ,2,    ,     
06,2013,10,2,53,06,039,03,1,003,01,50,50, ,1,6113,01120
06,2013,10,2,53,06,039,03,1,003,02,40,40, ,2,    ,     
06,2013,10,2,53,06,039,04,1,004,01,45,45, ,2,    ,     
06,2013,10,2,53,06,039,05,1,005,01,60,60, ,2,    ,     
06,2013,10,2,53,06,039,06,1,006,01,40,40, ,1,6111,01113
06,2013,10,2,53,06,039,06,1,006,03,45,45, ,2,    ,     
06,2013,10,2,53,06,039,06,1,006,04,45,45, ,2,    ,     
06,2013,10,2,53,06,039,07,1,007,02,40,40, ,2,    ,     
06,2013,10,2,53,06,039,08,1,008,01,60,60, ,2,    ,     
06,2013,10,2,53,06,039,08,1,008,03,40,40, ,2,    ,     
06,2013,10,2,53,06,039,08,1,008,04,40,40, ,2,    ,     
06,2013,10,2,53,06,039,09,1,009,01,50,50, ,2,    ,     
06,2013,10,2,53,06,039,09,1,009,02,35,35, ,2,    ,     
06,2013,10,2,53,06,039,10,1,010,01,45,45, ,1,9313,41001
06,2013,10,2,53,06,039,10,1,010,06,40,40, ,2,    ,     
06,2013,10,1,53,15,040,01,1,011,01,40,40, ,1,2330,85492
06,2013,10,1,53,15,040,02,1,012,01,48,48, ,2,    ,     
06,2013,10,1,53,15,040,03,1,013,01,44,44, ,2,    ,     
06,2013,10,1,53,15,040,04,1,014,01,44,44, ,1,6118,01309
06,2013,10,1,53,15,040,05,1,015,01,56,56, ,2,    ,     
06,2013,10,1,53,15,040,08,1,018,01,40,40, ,2,    ,     
06,2013,10,1,53,15,040,09,1,019,05,40,40, ,2,    ,     
06,2013,10,2,53,15,041,01,1,021,01,40,40, ,2,    ,     
06,2013,10,2,53,15,041,02,1,022,01,60,60, ,2,    ,     
06,2013,10,2,53,15,041,02,1,022,02,21,21, ,2,    ,     
06,2013,10,2,53,15,041,04,1,024,01,40,40, ,2,    ,     
06,2013,10,2,53,15,041,06,1,026,01,60,60, ,2,    ,     
06,2013,10,2,53,15,041,07,1,027,02,35,35, ,2,    ,     
06,2013,10,2,53,15,041,08,1,028,01,60,48,1,2,    ,     
06,2013,10,2,53,15,041,09,1,029,01,40,40, ,2,    ,     
06,2013,10,2,53,15,041,10,1,030,01,48,48, ,2,    ,     
06,2013,10,2,53,15,041,10,1,030,03,40,40, ,2,    ,     
06,2013,10,2,53,24,042,01,1,031,01,60,60, ,2,    ,     
06,2013,10,2,53,24,042,03,1,033,01,42,42, ,1,7513,47212
06,2013,10,2,53,24,042,04,1,034,01,35,35, ,2,    ,     
06,2013,10,2,53,24,042,05,1,035,01,36,25,4,2,    ,     
06,2013,10,2,53,24,042,07,1,037,01,60,60, ,2,    ,     
06,2013,10,2,53,24,042,08,1,038,01,42,42, ,2,    ,     
06,2013,10,2,53,24,042,10,1,040,01,48,48, ,2,    ,     
06,2013,10,2,53,24,042,10,1,040,04,36,36, ,2,    ,     
06,2013,10,2,91,03,089,01,1,071,01,60,60, ,2,    ,     
06,2013,10,2,91,03,089,02,1,072,01,60,60, ,2,    ,     
06,2013,10,2,91,03,089,02,1,072,02,35,35, ,2,    ,     
06,2013,10,2,91,03,089,04,1,074,01,50,50, ,2,    ,     
06,2013,10,2,91,03,089,05,1,075,01,40,40, ,2,    ,     
06,2013,10,2,91,03,089,06,1,076,01,70,70, ,2,    ,     
06,2013,10,2,91,03,089,06,1,076,02,60,60, ,2,    ,     
06,2013,10,2,91,03,089,07,1,077,01,50,50, ,2,    ,     
06,2013,10,2,91,03,089,08,1,078,01,60,60, ,2,    ,     
06,2013,10,2,91,03,089,09,1,079,01,60,60, ,2,    ,     
06,2013,10,2,91,03,089,10,1,080,01,50,50, ,2,    ,     
06,2013,10,2,91,03,089,10,1,080,02,40,40, ,2,    ,     
06,2013,10,2,91,06,090,01,1,031,01,56,40,8,2,    ,     
06,2013,10,2,91,06,090,01,1,031,02,36,24,8,2,    ,     
06,2013,10,2,91,06,090,02,1,032,01,93,54,8,2,    ,     
06,2013,10,2,91,06,090,02,1,032,02,44,32,8,2,    ,     
06,2013,10,2,91,06,090,03,1,033,01,70,55,8,2,    ,     
06,2013,10,2,91,06,090,04,1,034,01,56,40,8,2,    ,     
06,2013,10,2,91,06,090,05,1,035,01,56,40,8,2,    ,     
06,2013,10,2,91,06,090,06,1,036,01,77,44,3,2,    ,     
06,2013,10,2,91,06,090,07,1,037,01,56,32,3,2,    ,     
06,2013,10,2,91,06,090,08,1,038,01,56,40,8,2,    ,     
06,2013,10,2,91,06,090,09,1,039,01,84,72,8,2,    ,     
06,2013,10,2,91,06,090,09,1,039,02,84,72,8,2,    ,     
06,2013,10,2,91,06,090,09,1,039,03,56,40,8,1,1411,55101
06,2013,10,2,91,06,090,10,1,040,02,54,45,8,2,    ,     
06,2013,10,1,91,12,091,04,1,064,01,40,40, ,2,    ,     
06,2013,10,1,91,12,091,04,1,064,02,56,56, ,2,    ,     
