REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q51SERNO,Q51,Q52,Q53,Q54,Q55A,Q55B1,Q55B2,Q55B3,Q56
12,2013,10,2,43,09,030,01,1,001,01, ,4, , , , , , ,    
12,2013,10,2,43,09,030,01,1,001,03, ,1, , , , , , ,    
12,2013,10,2,43,09,030,01,1,001,04, ,1, , , , , , ,    
12,2013,10,2,43,09,030,01,1,001,07, ,3, , , , , , ,    
12,2013,10,2,43,09,030,02,1,002,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,02,1,002,04, ,1, , , , , , ,    
12,2013,10,2,43,09,030,02,1,002,05, ,1, , , , , , ,    
12,2013,10,2,43,09,030,02,1,002,07, ,3, , , , , , ,    
12,2013,10,2,43,09,030,03,1,003,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,04,1,004,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,04,1,004,03, ,2, , , , , , ,    
12,2013,10,2,43,09,030,04,1,004,04, ,2, , , , , , ,    
12,2013,10,2,43,09,030,05,1,005,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,06,1,006,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,07,1,007,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,09,1,009,02, ,2, , , , , , ,    
12,2013,10,2,43,09,030,09,1,009,05, ,1, , , , , , ,    
12,2013,10,2,43,09,030,10,1,010,01, ,3, , , , , , ,    
12,2013,10,2,43,09,030,10,1,010,02, ,2, , , , , , ,    
12,2013,10,1,43,09,029,01,1,011,01, ,3, , , , , , ,    
12,2013,10,1,43,09,029,01,1,011,02, ,2, , , , , , ,    
12,2013,10,1,43,09,029,01,1,011,04, ,2, , , , , , ,    
12,2013,10,1,43,09,029,01,1,011,05, ,2, , , , , , ,    
12,2013,10,1,43,09,029,02,1,012,03, ,2, , , , , , ,    
12,2013,10,1,43,09,029,07,1,017,02, ,2, , , , , , ,    
12,2013,10,1,43,09,029,08,1,018,01, ,2, , , , , , ,    
12,2013,10,1,43,09,029,08,1,018,03, ,2, , , , , , ,    
12,2013,10,1,43,09,029,09,1,019,02, ,2, , , , , , ,    
12,2013,10,1,43,09,029,09,1,019,03, ,2, , , , , , ,    
12,2013,10,1,43,09,029,09,1,019,04, ,1, , , , , , ,    
12,2013,10,1,43,09,029,09,1,019,05, ,1, , , , , , ,    
12,2013,10,1,43,09,029,10,1,020,02, ,2, , , , , , ,    
12,2013,10,1,43,09,029,10,1,020,03, ,2, , , , , , ,    
12,2013,10,2,43,06,028,02,1,022,03,1, ,2,1, , , , ,4211
12,2013,10,2,43,06,028,02,1,022,04, ,2, , , , , , ,    
12,2013,10,2,43,06,028,02,1,022,05, ,2, , , , , , ,    
12,2013,10,2,43,06,028,02,1,022,06, ,1, , , , , , ,    
12,2013,10,2,43,06,028,03,1,023,02, ,2, , , , , , ,    
12,2013,10,2,43,06,028,04,1,024,01, ,3, , , , , , ,    
12,2013,10,2,43,06,028,04,1,024,02, ,3, , , , , , ,    
12,2013,10,2,43,06,028,05,1,025,02,2,2, , , , , , ,    
12,2013,10,2,43,06,028,05,1,025,05, ,4, , , , , , ,    
12,2013,10,2,43,06,028,06,1,026,02, ,2, , , , , , ,    
12,2013,10,2,43,06,028,07,1,027,02, ,2, , , , , , ,    
12,2013,10,2,43,06,028,09,1,029,01, ,3, , , , , , ,    
12,2013,10,2,43,06,028,09,1,029,02, ,2, , , , , , ,    
12,2013,10,2,43,06,028,09,1,029,03, ,1, , , , , , ,    
12,2013,10,2,43,06,028,09,1,029,05,2,2, , , , , , ,    
12,2013,10,2,43,06,028,10,1,030,01, ,4, , , , , , ,    
12,2013,10,2,43,06,028,10,1,030,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,01,1,001,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,01,1,001,04, ,1, , , , , , ,    
12,2013,10,2,53,06,039,03,1,003,03, ,1, , , , , , ,    
12,2013,10,2,53,06,039,04,1,004,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,05,1,005,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,05,1,005,03, ,1, , , , , , ,    
12,2013,10,2,53,06,039,06,1,006,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,07,1,007,01, ,3, , , , , , ,    
12,2013,10,2,53,06,039,08,1,008,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,08,1,008,05, ,1, , , , , , ,    
12,2013,10,2,53,06,039,08,1,008,06, ,2, , , , , , ,    
12,2013,10,2,53,06,039,08,1,008,07, ,3, , , , , , ,    
12,2013,10,2,53,06,039,08,1,008,08, ,3, , , , , , ,    
12,2013,10,2,53,06,039,09,1,009,03, ,1, , , , , , ,    
12,2013,10,2,53,06,039,10,1,010,02, ,2, , , , , , ,    
12,2013,10,2,53,06,039,10,1,010,03, ,2, , , , , , ,    
12,2013,10,1,53,15,040,01,1,011,02,1, ,2,1, , , , ,2341
12,2013,10,1,53,15,040,01,1,011,03, ,3, , , , , , ,    
12,2013,10,1,53,15,040,01,1,011,04, ,2, , , , , , ,    
12,2013,10,1,53,15,040,02,1,012,02, ,2, , , , , , ,    
12,2013,10,1,53,15,040,03,1,013,02, ,2, , , , , , ,    
12,2013,10,1,53,15,040,04,1,014,02, ,2, , , , , , ,    
12,2013,10,1,53,15,040,04,1,014,03, ,1, , , , , , ,    
12,2013,10,1,53,15,040,04,1,014,04, ,1, , , , , , ,    
12,2013,10,1,53,15,040,07,1,017,01, ,3, , , , , , ,    
12,2013,10,1,53,15,040,07,1,017,02, ,2, , , , , , ,    
12,2013,10,1,53,15,040,07,1,017,03, ,3, , , , , , ,    
12,2013,10,1,53,15,040,07,1,017,04, ,2, , , , , , ,    
