REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,WEIGHU
15,2013,10,2,43,0,30,1,1,1,147412845000
15,2013,10,2,43,0,30,2,1,2,147412845000
15,2013,10,2,43,0,30,3,1,3,147412845000
15,2013,10,2,43,0,30,4,1,4,147412845000
15,2013,10,2,43,0,30,5,1,5,147412845000
15,2013,10,2,43,0,30,6,1,6,147412845000
15,2013,10,2,43,0,30,7,1,7,147412845000
15,2013,10,2,43,0,30,8,1,8,147412845000
15,2013,10,2,43,0,30,9,1,9,147412845000
15,2013,10,2,43,0,30,10,1,10,147412845000
15,2013,10,1,43,0,29,1,1,11,97844621330
15,2013,10,1,43,0,29,2,1,12,97844621330
15,2013,10,1,43,0,29,3,1,13,97844621330
15,2013,10,1,43,0,29,4,1,14,97844621330
15,2013,10,1,43,0,29,5,1,15,97844621330
15,2013,10,1,43,0,29,6,1,16,97844621330
15,2013,10,1,43,0,29,7,1,17,97844621330
15,2013,10,1,43,0,29,8,1,18,97844621330
15,2013,10,1,43,0,29,9,1,19,97844621330
15,2013,10,1,43,0,29,10,1,20,97844621330
15,2013,10,2,43,0,28,1,1,21,155940860826
15,2013,10,2,43,0,28,2,1,22,155940860826
15,2013,10,2,43,0,28,3,1,23,155940860826
15,2013,10,2,43,0,28,4,1,24,155940860826
15,2013,10,2,43,0,28,5,1,25,155940860826
15,2013,10,2,43,0,28,6,1,26,155940860826
15,2013,10,2,43,0,28,7,1,27,155940860826
15,2013,10,2,43,0,28,8,1,28,155940860826
15,2013,10,2,43,0,28,9,1,29,155940860826
15,2013,10,2,43,0,28,10,1,30,155940860826
15,2013,10,2,53,0,39,1,1,1,275679427751
15,2013,10,2,53,0,39,2,1,2,275679427751
15,2013,10,2,53,0,39,3,1,3,275679427751
15,2013,10,2,53,0,39,4,1,4,275679427751
15,2013,10,2,53,0,39,5,1,5,275679427751
15,2013,10,2,53,0,39,6,1,6,275679427751
15,2013,10,2,53,0,39,7,1,7,275679427751
15,2013,10,2,53,0,39,8,1,8,275679427751
15,2013,10,2,53,0,39,9,1,9,275679427751
15,2013,10,2,53,0,39,10,1,10,275679427751
15,2013,10,1,53,0,40,1,1,11,200124867963
15,2013,10,1,53,0,40,2,1,12,200124867963
15,2013,10,1,53,0,40,3,1,13,200124867963
15,2013,10,1,53,0,40,4,1,14,200124867963
15,2013,10,1,53,0,40,5,1,15,200124867963
15,2013,10,1,53,0,40,6,1,16,200124867963
15,2013,10,1,53,0,40,7,1,17,200124867963
15,2013,10,1,53,0,40,8,1,18,200124867963
15,2013,10,1,53,0,40,9,1,19,200124867963
15,2013,10,1,53,0,40,10,1,20,200124867963
15,2013,10,2,53,0,41,1,1,21,302902845922
15,2013,10,2,53,0,41,2,1,22,302902845922
15,2013,10,2,53,0,41,3,1,23,302902845922
15,2013,10,2,53,0,41,4,1,24,302902845922
15,2013,10,2,53,0,41,5,1,25,302902845922
15,2013,10,2,53,0,41,6,1,26,302902845922
15,2013,10,2,53,0,41,7,1,27,302902845922
15,2013,10,2,53,0,41,8,1,28,302902845922
15,2013,10,2,53,0,41,9,1,29,302902845922
15,2013,10,2,53,0,41,10,1,30,302902845922
15,2013,10,2,53,0,42,1,1,31,263033582442
15,2013,10,2,53,0,42,2,1,32,263033582442
15,2013,10,2,53,0,42,3,1,33,263033582442
15,2013,10,2,53,0,42,4,1,34,263033582442
15,2013,10,2,53,0,42,5,1,35,263033582442
15,2013,10,2,53,0,42,6,1,36,263033582442
15,2013,10,2,53,0,42,7,1,37,263033582442
15,2013,10,2,53,0,42,8,1,38,263033582442
15,2013,10,2,53,0,42,9,1,39,263033582442
15,2013,10,2,53,0,42,10,1,40,263033582442
15,2013,10,2,91,0,89,1,1,71,342896467219
15,2013,10,2,91,0,89,2,1,72,342896467219
15,2013,10,2,91,0,89,3,1,73,342896467219
15,2013,10,2,91,0,89,4,1,74,342896467219
15,2013,10,2,91,0,89,5,1,75,342896467219
15,2013,10,2,91,0,89,6,1,76,342896467219
15,2013,10,2,91,0,89,7,1,77,342896467219
15,2013,10,2,91,0,89,8,1,78,342896467219
15,2013,10,2,91,0,89,9,1,79,342896467219
15,2013,10,2,91,0,89,10,1,80,342896467219
15,2013,10,2,91,0,90,1,1,31,343571339493
15,2013,10,2,91,0,90,2,1,32,343571339493
15,2013,10,2,91,0,90,3,1,33,343571339493
15,2013,10,2,91,0,90,4,1,34,343571339493
15,2013,10,2,91,0,90,5,1,35,343571339493
15,2013,10,2,91,0,90,6,1,36,343571339493
15,2013,10,2,91,0,90,7,1,37,343571339493
15,2013,10,2,91,0,90,8,1,38,343571339493
15,2013,10,2,91,0,90,9,1,39,343571339493
15,2013,10,2,91,0,90,10,1,40,343571339493
