REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,TEMP,RCODE1,RCODE2,RCODE3,TIME1,TIME2,TIME3,G4,G5,FCODE
 1,2014,03,1,43,09,007,02,1,002,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,1,43,09,007,03,1,003,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,1,43,09,007,04,1,004,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,1,43,09,007,05,1,005,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,1,43,09,007,06,1,006,  ,4,1, ,05,20,  ,00,00,1
 1,2014,03,1,43,09,007,07,1,007,  ,6,6,6,05,05,05,00,00,2
 1,2014,03,1,43,09,007,08,1,008,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,1,43,09,007,09,1,009,  ,6,1, ,05,20,  ,00,00,1
 1,2014,03,1,43,09,007,10,1,010,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,43,09,008,01,1,011,  ,6,1, ,05,10,  ,00,00,1
 1,2014,03,2,43,09,008,02,1,012,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,43,09,008,03,1,013,  ,6,6,1,05,03,05,00,00,1
 1,2014,03,2,43,09,008,04,1,014,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,43,09,008,05,1,015,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,43,09,008,06,1,016,  ,1, , ,05,  ,  ,00,00,1
 1,2014,03,2,43,09,008,07,1,017,  ,1, , ,05,  ,  ,00,00,1
 1,2014,03,2,43,09,008,08,1,018,  ,1, , ,05,  ,  ,00,00,1
 1,2014,03,2,43,09,008,09,1,019,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,43,09,008,10,1,020,  ,6,6,1,05,05,10,00,00,1
 1,2014,03,2,43,12,009,01,1,021,  ,2,6, ,05,07,  ,00,00,2
 1,2014,03,2,43,12,009,02,1,022,  ,1, , ,37,  ,  ,00,00,1
 1,2014,03,2,43,12,009,03,1,023,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,43,12,009,04,1,024,  ,1, , ,36,  ,  ,00,00,1
 1,2014,03,2,43,12,009,05,1,025,  ,1, , ,31,  ,  ,00,00,1
 1,2014,03,2,43,12,009,06,1,026,  ,1, , ,36,  ,  ,00,00,1
 1,2014,03,2,43,12,009,07,1,027,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,43,12,009,08,1,028,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,43,12,009,09,1,029,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,43,12,009,10,1,030,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,1,53,15,009,01,1,031,  ,6,1, ,10,60,  ,00,00,1
 1,2014,03,1,53,15,009,02,1,032,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,03,1,033,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,1,53,15,009,04,1,034,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,05,1,035,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,06,1,036,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,07,1,037,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,08,1,038,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,1,53,15,009,09,1,039,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,1,53,15,009,10,1,040,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,53,06,010,01,1,041,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,06,010,02,1,042,  ,4,1, ,10,40,  ,00,00,1
 1,2014,03,2,53,06,010,03,1,043,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,06,010,04,1,044,  , , , ,  ,  ,  ,  ,  ,2
 1,2014,03,2,53,06,010,05,1,045,  ,6,1, ,  ,30,  ,00,00,1
 1,2014,03,2,53,06,010,06,1,046,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,53,06,010,07,1,047,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,06,010,08,1,048,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,06,010,09,1,049,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,06,010,10,1,050,  ,7,7,7,  ,  ,  ,00,00,2
 1,2014,03,2,53,21,011,01,1,001,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,53,21,011,02,1,002,  ,1, , ,75,  ,  ,00,00,1
 1,2014,03,2,53,21,011,03,1,003,  ,2,6, ,  ,  ,  ,00,00,2
 1,2014,03,2,53,21,011,04,1,004,  ,1, , ,65,  ,  ,00,00,1
 1,2014,03,2,53,21,011,05,1,005,  ,1, , ,60,  ,  ,00,00,1
 1,2014,03,2,53,21,011,06,1,006,  ,1, , ,65,  ,  ,00,00,1
 1,2014,03,2,53,21,011,07,1,007,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,21,011,08,1,008,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,21,011,09,1,009,  ,1, , ,61,  ,  ,00,00,1
 1,2014,03,2,53,21,011,10,1,010,  ,1, , ,70,  ,  ,00,00,1
 1,2014,03,2,53,24,012,01,1,021,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,24,012,02,1,022,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,24,012,03,1,023,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,24,012,04,1,024,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,53,24,012,05,1,025,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,53,24,012,06,1,026,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,24,012,07,1,027,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,24,012,08,1,028,  ,1, , ,05,  ,  ,00,00,1
 1,2014,03,2,53,24,012,09,1,029,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,53,24,012,10,1,030,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,53,33,013,01,1,011,  ,6,1, ,40,40,  ,00,00,1
 1,2014,03,2,53,33,013,02,1,012,  ,6,6,1,10,10,45,00,00,1
 1,2014,03,2,53,33,013,03,1,013,  ,4,4,1,10,10,50,00,00,1
 1,2014,03,2,53,33,013,04,1,014,  ,6,6,1,10,10,45,00,00,1
 1,2014,03,2,53,33,013,05,1,015,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,53,33,013,06,1,016,  ,4,1, ,10,40,  ,01,01,1
 1,2014,03,2,53,33,013,07,1,017,  ,4,1, ,10,40,  ,00,00,1
 1,2014,03,2,53,33,013,08,1,018,  ,4,4,1,10,10,45,01,01,1
 1,2014,03,2,53,33,013,09,1,019,  ,6,1, ,10,50,  ,00,00,1
 1,2014,03,2,53,33,013,10,1,020,  ,4,1, ,10,45,  ,00,00,1
 1,2014,03,2,91,03,020,01,1,081,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,02,1,082,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,03,1,083,  ,1, , ,10,  ,  ,00,00,1
 1,2014,03,2,91,03,020,04,1,084,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,05,1,085,  ,4, , ,05,  ,  ,00,00,3
 1,2014,03,2,91,03,020,06,1,086,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,07,1,087,  ,1, , ,10,  ,  ,00,00,1
 1,2014,03,2,91,03,020,08,1,088,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,09,1,089,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,03,020,10,1,090,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,91,09,021,01,1,001,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,02,1,002,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,03,1,003,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,04,1,004,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,05,1,005,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,91,09,021,06,1,006,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,07,1,007,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,08,1,008,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,91,09,021,09,1,009,  ,6,6,6,  ,  ,  ,00,00,3
 1,2014,03,2,91,09,021,10,1,010,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,12,022,01,1,021,  ,6,6, ,  ,  ,  ,00,00,3
 1,2014,03,2,91,12,022,02,1,022,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,12,022,03,1,023,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,12,022,04,1,024,  , , , ,  ,  ,  ,00,00,1
 1,2014,03,2,91,12,022,05,1,025,  ,6, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,12,022,06,1,026,  ,1, , ,55,  ,  ,00,00,1
 1,2014,03,2,91,12,022,07,1,027,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,12,022,08,1,028,  , , , ,  ,  ,  ,00,00,1
 1,2014,03,2,91,12,022,09,1,029,  ,6, , ,  ,  ,  ,00,00,3
 1,2014,03,2,91,12,022,10,1,030,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,01,1,031,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,02,1,032,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,18,023,03,1,033,  ,1,1, ,50,25,  ,00,00,1
 1,2014,03,2,91,18,023,04,1,034,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,91,18,023,05,1,035,  ,1,1, ,35,20,  ,00,00,1
 1,2014,03,2,91,18,023,06,1,036,  ,6,6,6,  ,  ,  ,00,00,3
 1,2014,03,2,91,18,023,07,1,037,  ,1,1, ,35,30,  ,00,00,1
 1,2014,03,2,91,18,023,08,1,038,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,91,18,023,09,1,039,  ,1,1, ,30,35,  ,00,00,1
 1,2014,03,2,91,18,023,10,1,040,  ,1,1, ,35,25,  ,00,00,1
 1,2014,03,2,91,24,024,01,1,051,  ,1, , ,60,  ,  ,00,00,1
