REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q27SERNO,Q27,Q28,Q29,Q30,Q31,Q32,Q33
 7,2014,03,1,43,09,007,02,1,002,01,3, , , , , ,2
 7,2014,03,2,43,09,008,01,1,011,01,3, , , , , ,2
 7,2014,03,2,43,09,008,04,1,014,01,3, , , , , ,2
 7,2014,03,2,43,09,008,10,1,020,01,1,4, , , , ,2
 7,2014,03,2,43,12,009,08,1,028,01,3, , , , , ,2
 7,2014,03,2,53,06,010,03,1,043,01,3, , , , , ,2
 7,2014,03,2,53,06,010,05,1,045,01,3, , , , , ,1
 7,2014,03,2,53,21,011,10,1,010,01,3, , , , , ,2
 7,2014,03,2,53,24,012,09,1,029,01,3, , , , , ,2
 7,2014,03,2,53,24,012,10,1,030,01,3, , , , , ,2
 7,2014,03,2,53,33,013,07,1,017,01,1,1,2,2,2,3,2
 7,2014,03,2,91,09,021,04,1,004,01,1,2,2,2,2,3,2
 7,2014,03,2,91,18,023,03,1,033,03,1,3,2,2,2,3,2
 7,2014,03,2,91,36,026,08,1,048,01,3, , , , , ,2
 7,2014,03,2,91,36,026,09,1,049,01,3, , , , , ,2
 7,2014,03,2,91,51,029,02,1,062,01,3, , , , , ,2
 7,2014,03,2,91,51,029,03,1,063,01,2, , , , , ,2
 7,2014,03,2,62,03,012,01,1,001,01,1,4, , , , ,2
 7,2014,03,2,62,03,012,03,1,003,01,1,4, , , , ,2
 7,2014,03,2,62,42,016,03,1,043,02,3, , , , , ,2
 7,2014,03,2,62,42,016,05,1,045,01,3, , , , , ,2
 7,2014,03,2,62,42,016,09,1,049,01,3, , , , , ,2
 7,2014,03,2,72,03,009,07,1,008,01,3, , , , , ,1
 7,2014,03,2,72,12,011,06,1,047,01,3, , , , , ,2
 7,2014,03,2,72,12,011,03,1,044,02,1,4, , , , ,2
 7,2014,03,2,72,15,012,01,1,032,01,3, , , , , ,2
 7,2014,03,2,72,15,012,05,1,036,01,3, , , , , ,2
 7,2014,03,2,72,15,012,06,1,037,02,3, , , , , ,2
 7,2014,03,2,72,15,012,07,1,038,01,3, , , , , ,2
 7,2014,03,2,72,15,012,08,1,039,01,3, , , , , ,2
 7,2014,03,2,72,18,013,06,1,027,01,3, , , , , ,2
 7,2014,03,2,72,18,013,06,1,027,02,3, , , , , ,2
 7,2014,03,2,44,12,008,03,1,013,01,3, , , , , ,2
 7,2014,03,2,44,12,008,05,1,015,01,3, , , , , ,2
 7,2014,03,2,44,12,008,06,1,016,02,3, , , , , ,2
 7,2014,03,2,44,12,008,10,1,020,02,3, , , , , ,2
 7,2014,03,2,44,15,009,09,1,029,01,1,2,2,2,2,3,2
 7,2014,03,2,22,03,011,03,1,013,01,3, , , , , ,2
 7,2014,03,2,22,03,011,05,1,015,01,3, , , , , ,2
 7,2014,03,2,22,03,011,10,1,020,01,3, , , , , ,2
 7,2014,03,2,22,30,013,03,1,033,01,3, , , , , ,1
 7,2014,03,2,82,06,009,10,1,010,01,3, , , , , ,2
 7,2014,03,2,82,15,010,05,1,015,01,3, , , , , ,2
 7,2014,03,2,82,15,010,05,1,015,02,4, , , , , ,2
 7,2014,03,2,82,15,010,10,1,020,01,3, , , , , ,2
 7,2014,03,2,82,15,010,10,1,020,02,4, , , , , ,2
 7,2014,03,1,32,42,021,10,1,010,01,1,2,2,2,2,3,2
 7,2014,03,2,32,03,022,05,1,015,01,3, , , , , ,2
 7,2014,03,2,32,03,022,05,1,015,02,4, , , , , ,2
 7,2014,03,2,32,03,022,07,1,017,02,3, , , , , ,2
 7,2014,03,2,32,06,023,01,1,021,01,3, , , , , ,2
 7,2014,03,2,32,06,023,03,1,023,01,3, , , , , ,2
 7,2014,03,2,32,06,023,05,1,025,01,3, , , , , ,2
 7,2014,03,2,32,06,023,08,1,028,01,3, , , , , ,2
 7,2014,03,2,32,15,025,01,1,041,02,2, , , , , ,2
 7,2014,03,2,32,15,025,04,1,044,01,3, , , , , ,2
 7,2014,03,2,32,15,025,04,1,044,02,3, , , , , ,2
 7,2014,03,2,32,15,025,06,1,046,02,3, , , , , ,2
 7,2014,03,2,32,15,025,08,1,048,02,3, , , , , ,2
 7,2014,03,2,32,21,026,01,1,051,01,3, , , , , ,2
 7,2014,03,2,32,21,027,04,1,064,02,1,4, , , , ,2
 7,2014,03,2,32,45,030,05,1,095,02,3, , , , , ,2
 7,2014,03,2,61,09,037,04,1,064,01,1,4, , , , ,2
 7,2014,03,2,61,09,037,06,1,066,01,1,4, , , , ,2
 7,2014,03,2,61,09,037,07,1,067,01,2, , , , , ,2
