REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q40SERNO,Q40A,Q40B,Q41,Q42,Q43,Q44
 9,2014,03,1,43,09,007,02,1,002,01,62,41, , ,  , 
 9,2014,03,1,43,09,007,03,1,003,01,40,40, , ,  , 
 9,2014,03,1,43,09,007,03,1,003,02,35,35, , ,  , 
 9,2014,03,1,43,09,007,04,1,004,01,56,56, , ,  , 
 9,2014,03,1,43,09,007,05,1,005,04,40,40, , ,  , 
 9,2014,03,1,43,09,007,06,1,006,01,54,22, , ,  , 
 9,2014,03,1,43,09,007,08,1,008,02,55,55, , ,  , 
 9,2014,03,1,43,09,007,08,1,008,03,40,40, , ,  , 
 9,2014,03,1,43,09,007,09,1,009,01,28,  ,2, ,  , 
 9,2014,03,1,43,09,007,09,1,009,02,48,48, , ,  , 
 9,2014,03,1,43,09,007,09,1,009,03,56,24, , ,  , 
 9,2014,03,1,43,09,007,10,1,010,01,50,35, , ,  , 
 9,2014,03,2,43,09,008,01,1,011,01,65,40, , ,  , 
 9,2014,03,2,43,09,008,02,1,012,01,45,25, , ,  , 
 9,2014,03,2,43,09,008,02,1,012,02,25,  ,2, ,  , 
 9,2014,03,2,43,09,008,04,1,014,01,58,58, , ,  , 
 9,2014,03,2,43,09,008,05,1,015,01,45,25, , ,  , 
 9,2014,03,2,43,09,008,06,1,016,01,35,35, , ,  , 
 9,2014,03,2,43,09,008,07,1,017,01,25,  ,2, ,  , 
 9,2014,03,2,43,09,008,08,1,018,01,25,  ,2, ,  , 
 9,2014,03,2,43,09,008,09,1,019,01,45,45, , ,  , 
 9,2014,03,2,43,09,008,09,1,019,03,40,40, , ,  , 
 9,2014,03,2,43,09,008,09,1,019,04,40,25, , ,  , 
 9,2014,03,2,43,09,008,10,1,020,01,65,45, , ,  , 
 9,2014,03,2,43,09,008,10,1,020,02,60,60, , ,  , 
 9,2014,03,2,43,12,009,02,1,022,01,40,40, , ,  , 
 9,2014,03,2,43,12,009,03,1,023,01,40,10, , ,  , 
 9,2014,03,2,43,12,009,04,1,024,01,60,00, , ,  , 
 9,2014,03,2,43,12,009,05,1,025,03,40,40, , ,  , 
 9,2014,03,2,43,12,009,06,1,026,01,40,40, , ,  , 
 9,2014,03,2,43,12,009,06,1,026,03,40,40, , ,  , 
 9,2014,03,2,43,12,009,07,1,027,01,60,60, , ,  , 
 9,2014,03,2,43,12,009,07,1,027,03,40,40, , ,  , 
 9,2014,03,2,43,12,009,08,1,028,01,70,70, , ,  , 
 9,2014,03,2,43,12,009,08,1,028,03,40,40, , ,  , 
 9,2014,03,2,43,12,009,10,1,030,01,60,60, , ,  , 
 9,2014,03,1,53,15,009,02,1,032,01,50,50, , ,  , 
 9,2014,03,1,53,15,009,03,1,033,01,40,40, , ,  , 
 9,2014,03,1,53,15,009,04,1,034,01,40,40, , ,  , 
 9,2014,03,1,53,15,009,04,1,034,02,40,40, , ,  , 
 9,2014,03,1,53,15,009,05,1,035,01,40,40, , ,  , 
 9,2014,03,1,53,15,009,06,1,036,01,40,40, , ,  , 
 9,2014,03,1,53,15,009,06,1,036,02,40,40, , ,  , 
 9,2014,03,1,53,15,009,07,1,037,01,48,48, , ,  , 
 9,2014,03,1,53,15,009,07,1,037,02,40,40, , ,  , 
 9,2014,03,1,53,15,009,09,1,039,01,60,60, , ,  , 
 9,2014,03,1,53,15,009,09,1,039,02,40,40, , ,  , 
 9,2014,03,2,53,06,010,01,1,041,01,48,48, , ,  , 
 9,2014,03,2,53,06,010,02,1,042,01,48,36, , ,  , 
 9,2014,03,2,53,06,010,03,1,043,01,36,36, , ,  , 
 9,2014,03,2,53,06,010,05,1,045,01,54,54, , ,  , 
 9,2014,03,2,53,06,010,06,1,046,01,42,42, , ,  , 
 9,2014,03,2,53,06,010,07,1,047,01,42,42, , ,  , 
 9,2014,03,2,53,06,010,08,1,048,01,30,  ,2, ,  , 
 9,2014,03,2,53,06,010,09,1,049,01,90,90, , ,  , 
 9,2014,03,2,53,21,011,01,1,001,01,56,50, , ,  , 
 9,2014,03,2,53,21,011,02,1,002,01,40,40, , ,  , 
 9,2014,03,2,53,21,011,04,1,004,01,56,56, , ,  , 
 9,2014,03,2,53,21,011,05,1,005,01,40,40, , ,  , 
 9,2014,03,2,53,21,011,05,1,005,03,40,40, , ,  , 
 9,2014,03,2,53,21,011,07,1,007,01,45,50, , ,  , 
 9,2014,03,2,53,21,011,08,1,008,01,40,40, , ,  , 
 9,2014,03,2,53,21,011,09,1,009,01,56,56, , ,  , 
 9,2014,03,2,53,21,011,09,1,009,02,40,40, , ,  , 
 9,2014,03,2,53,21,011,10,1,010,01,64,64, , ,  , 
 9,2014,03,2,53,24,012,01,1,021,01,50,50, , ,  , 
 9,2014,03,2,53,24,012,02,1,022,01,32,  ,2, ,  , 
 9,2014,03,2,53,24,012,02,1,022,02,21,  ,2, ,  , 
