REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q47SERNO,Q47,Q48,Q49A,Q49B,Q49C,Q50
11,2014,03,1,43,09,007,02,1,002,02,2, , , , , 
11,2014,03,1,43,09,007,02,1,002,03,2, , , , , 
11,2014,03,1,43,09,007,02,1,002,04,2, , , , , 
11,2014,03,1,43,09,007,03,1,003,05,2, , , , , 
11,2014,03,1,43,09,007,03,1,003,06,2, , , , , 
11,2014,03,1,43,09,007,04,1,004,02,2, , , , , 
11,2014,03,1,43,09,007,04,1,004,03,2, , , , , 
11,2014,03,1,43,09,007,04,1,004,07,2, , , , , 
11,2014,03,1,43,09,007,05,1,005,01,2, , , , , 
11,2014,03,1,43,09,007,05,1,005,02,2, , , , , 
11,2014,03,1,43,09,007,05,1,005,03,1,1,4, , , 
11,2014,03,1,43,09,007,06,1,006,02,2, , , , , 
11,2014,03,1,43,09,007,08,1,008,01,2, , , , , 
11,2014,03,1,43,09,007,08,1,008,04,1,1,4, , , 
11,2014,03,1,43,09,007,09,1,009,04,2, , , , , 
11,2014,03,1,43,09,007,10,1,010,02,2, , , , , 
11,2014,03,2,43,09,008,02,1,012,03,2, , , , , 
11,2014,03,2,43,09,008,03,1,013,01,2, , , , , 
11,2014,03,2,43,09,008,05,1,015,02,2, , , , , 
11,2014,03,2,43,09,008,05,1,015,03,2, , , , , 
11,2014,03,2,43,09,008,05,1,015,04,2, , , , , 
11,2014,03,2,43,09,008,09,1,019,02,2, , , , , 
11,2014,03,2,43,09,008,09,1,019,05,2, , , , , 
11,2014,03,2,43,09,008,09,1,019,09,2, , , , , 
11,2014,03,2,43,09,008,09,1,019,10,2, , , , , 
11,2014,03,2,43,12,009,02,1,022,02,2, , , , , 
11,2014,03,2,43,12,009,02,1,022,03,1,1,1, , , 
11,2014,03,2,43,12,009,04,1,024,02,2, , , , , 
11,2014,03,2,43,12,009,05,1,025,01,2, , , , , 
11,2014,03,2,43,12,009,05,1,025,02,2, , , , , 
11,2014,03,2,43,12,009,06,1,026,02,2, , , , , 
11,2014,03,2,43,12,009,07,1,027,02,2, , , , , 
11,2014,03,2,43,12,009,07,1,027,04,2, , , , , 
11,2014,03,2,43,12,009,08,1,028,02,2, , , , , 
11,2014,03,2,43,12,009,08,1,028,04,2, , , , , 
11,2014,03,2,43,12,009,09,1,029,01,2, , , , , 
11,2014,03,2,43,12,009,09,1,029,02,2, , , , , 
11,2014,03,2,43,12,009,10,1,030,02,2, , , , , 
11,2014,03,1,53,15,009,01,1,031,01,2, , , , , 
11,2014,03,1,53,15,009,01,1,031,02,2, , , , , 
11,2014,03,1,53,15,009,03,1,033,02,2, , , , , 
11,2014,03,1,53,15,009,03,1,033,03,2, , , , , 
11,2014,03,1,53,15,009,04,1,034,03,2, , , , , 
11,2014,03,1,53,15,009,04,1,034,04,2, , , , , 
11,2014,03,1,53,15,009,05,1,035,02,2, , , , , 
11,2014,03,1,53,15,009,05,1,035,03,2, , , , , 
11,2014,03,1,53,15,009,07,1,037,03,2, , , , , 
11,2014,03,1,53,15,009,07,1,037,04,2, , , , , 
11,2014,03,1,53,15,009,08,1,038,01,2, , , , , 
11,2014,03,1,53,15,009,08,1,038,02,2, , , , , 
11,2014,03,1,53,15,009,10,1,040,01,2, , , , , 
11,2014,03,2,53,06,010,01,1,041,02,2, , , , , 
11,2014,03,2,53,06,010,02,1,042,02,2, , , , , 
11,2014,03,2,53,06,010,02,1,042,03,2, , , , , 
11,2014,03,2,53,06,010,05,1,045,02,2, , , , , 
