REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q57SERNO,Q57,Q58,Q59,Q60,Q61
13,2014,03,1,43,09,007,05,1,005,03,030000,2,2,    , 
13,2014,03,1,43,09,007,08,1,008,04,030000,3,2,    , 
13,2014,03,2,43,12,009,02,1,022,03,020000,2,2,    , 
13,2014,03,2,53,21,011,06,1,006,01,005000,3,2,    , 
13,2014,03,2,53,21,011,10,1,010,03,020000,1,2,    , 
13,2014,03,2,91,24,024,02,1,052,03,050000,1,1,2144,1
13,2014,03,2,91,24,024,10,1,060,01,015000,1,1,1221,3
13,2014,03,2,91,30,025,06,1,076,03,015000,3,2,    , 
13,2014,03,2,91,42,027,03,1,093,03,012000,2,2,    , 
13,2014,03,2,91,42,027,03,1,093,05,015000,2,2,    , 
13,2014,03,2,91,51,029,01,1,061,03,015000,2,2,    , 
13,2014,03,2,91,51,029,05,1,065,04,020000,2,1,7116,1
13,2014,03,2,91,51,029,05,1,065,05,020000,2,1,7116,1
13,2014,03,2,62,42,016,02,1,042,02,045000,1,1,5151,1
13,2014,03,2,72,12,011,01,1,042,02,015000,3,2,    , 
13,2014,03,2,72,15,012,06,1,037,03,015000,2,2,    , 
13,2014,03,2,44,09,007,05,1,005,04,015000,1,2,    , 
13,2014,03,2,44,09,007,08,1,008,04,020000,3,2,    , 
13,2014,03,2,44,09,007,08,1,008,05,020000,2,2,    , 
13,2014,03,2,22,09,012,06,1,026,03,010000,3,1,7531,3
13,2014,03,2,82,06,009,01,1,001,04,025000,3,2,    , 
13,2014,03,2,82,06,009,10,1,010,02,020000,3,2,    , 
13,2014,03,2,82,15,010,05,1,015,03,020000,1,2,    , 
13,2014,03,1,32,42,021,03,1,003,01,024000,1,1,7131,1
13,2014,03,1,32,42,021,04,1,004,03,024000,3,2,    , 
13,2014,03,2,32,06,023,07,1,027,03,022000,3,2,    , 
13,2014,03,2,32,06,023,10,1,030,02,026000,3,2,    , 
13,2014,03,2,32,09,024,03,1,033,03,015000,1,2,    , 
13,2014,03,2,32,15,025,02,1,042,03,020000,2,2,    , 
