REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q7SERNO,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
 4,2014,03,1,43,09,007,02,1,002,01,7231,45202,1,2,2,2,2,3
 4,2014,03,1,43,09,007,03,1,003,01,3360,84130,1,1,1,1,1,1
 4,2014,03,1,43,09,007,03,1,003,02,2330,85309,1,1,1,1,1,1
 4,2014,03,1,43,09,007,04,1,004,01,2211,84120,2, , , , , 
 4,2014,03,1,43,09,007,05,1,005,04,2165,84130,1,1,1,1,1,1
 4,2014,03,1,43,09,007,06,1,006,01,9313,33110,1,4, , , , 
 4,2014,03,1,43,09,007,08,1,008,02,2512,63120,1,2,2,2,2,3
 4,2014,03,1,43,09,007,08,1,008,03,4311,84130,1,1,1,1,1,1
 4,2014,03,1,43,09,007,09,1,009,01,9215,01461,3, , , , , 
 4,2014,03,1,43,09,007,09,1,009,02,3360,84130,1,1,1,1,1,1
 4,2014,03,1,43,09,007,09,1,009,03,8322,51100,1,2,2,2,2,3
 4,2014,03,1,43,09,007,10,1,010,01,8323,52219,3, , , , , 
 4,2014,03,2,43,09,008,01,1,011,01,9211,01132,1,4, , , , 
 4,2014,03,2,43,09,008,02,1,012,01,9216,01132,1,4, , , , 
 4,2014,03,2,43,09,008,02,1,012,02,6121,01414,3, , , , , 
 4,2014,03,2,43,09,008,04,1,014,01,6113,01120,3, , , , , 
 4,2014,03,2,43,09,008,05,1,015,01,6113,01120,3, , , , , 
 4,2014,03,2,43,09,008,06,1,016,01,6113,01120,3, , , , , 
 4,2014,03,2,43,09,008,07,1,017,01,6121,01414,3, , , , , 
 4,2014,03,2,43,09,008,08,1,018,01,9215,01461,3, , , , , 
 4,2014,03,2,43,09,008,09,1,019,01,5323,01133,3, , , , , 
 4,2014,03,2,43,09,008,09,1,019,03,6113,01120,3, , , , , 
 4,2014,03,2,43,09,008,09,1,019,04,6113,01133,3, , , , , 
 4,2014,03,2,43,09,008,10,1,020,01,6113,01120,3, , , , , 
 4,2014,03,2,43,09,008,10,1,020,02,8153,85226,1,2,3,2,2,3
 4,2014,03,2,43,12,009,02,1,022,01,2330,85502,1,1,1,1,1,1
 4,2014,03,2,43,12,009,03,1,023,01,9216,01132,1,4, , , , 
 4,2014,03,2,43,12,009,04,1,024,01,8332,49239,1,3,3,2,2,3
 4,2014,03,2,43,12,009,05,1,025,03,8323,84130,1,2,3,2,2,3
 4,2014,03,2,43,12,009,06,1,026,01,7511,03223,3, , , , , 
 4,2014,03,2,43,12,009,06,1,026,03,5244,46619,1,3,3,3,3,3
 4,2014,03,2,43,12,009,07,1,027,01,5121,46309,3, , , , , 
 4,2014,03,2,43,12,009,07,1,027,03,9322,14101,1,1,1,1,1,3
 4,2014,03,2,43,12,009,08,1,028,01,6111,01133,3, , , , , 
 4,2014,03,2,43,12,009,08,1,028,03,9211,01132,1,4, , , , 
 4,2014,03,2,43,12,009,10,1,030,01,1112,84230,1,1,1,1,1,1
 4,2014,03,1,53,15,009,02,1,032,01,1346,64990,1,1,1,1,1,2
 4,2014,03,1,53,15,009,03,1,033,01,4321,49211,1,1,1,1,1,2
 4,2014,03,1,53,15,009,04,1,034,01,1214,84130,1,1,1,1,1,1
 4,2014,03,1,53,15,009,04,1,034,02,2342,85101,1,1,1,1,1,1
 4,2014,03,1,53,15,009,05,1,035,01,2330,85211,1,1,1,1,1,1
 4,2014,03,1,53,15,009,06,1,036,01,1346,84110,1,1,1,1,1,1
 4,2014,03,1,53,15,009,06,1,036,02,1346,64990,1,1,1,1,1,2
 4,2014,03,1,53,15,009,07,1,037,01,8332,49231,1,1,1,1,1,1
 4,2014,03,1,53,15,009,07,1,037,02,1211,84130,1,1,1,1,1,1
 4,2014,03,1,53,15,009,09,1,039,01,5223,47301,1,1,1,1,1,1
 4,2014,03,1,53,15,009,09,1,039,02,4110,84110,1,1,1,1,1,1
 4,2014,03,2,53,06,010,01,1,041,01,6224,03112,1,2,3,3,3,3
 4,2014,03,2,53,06,010,02,1,042,01,2163,14101,3, , , , , 
 4,2014,03,2,53,06,010,03,1,043,01,2163,14101,3, , , , , 
 4,2014,03,2,53,06,010,05,1,045,01,8321,49222,3, , , , , 
 4,2014,03,2,53,06,010,06,1,046,01,6224,03112,1,2,3,3,3,3
 4,2014,03,2,53,06,010,07,1,047,01,6224,03112,3, , , , , 
 4,2014,03,2,53,06,010,08,1,048,01,6113,01120,3, , , , , 
 4,2014,03,2,53,06,010,09,1,049,01,7542,08105,1,1,1,1,1,1
 4,2014,03,2,53,21,011,01,1,001,01,6223,46305,3, , , , , 
 4,2014,03,2,53,21,011,02,1,002,01,9211,01611,1,4, , , , 
 4,2014,03,2,53,21,011,04,1,004,01,5415,84220,1,1,2,1,1,1
 4,2014,03,2,53,21,011,05,1,005,01,6223,46305,3, , , , , 
 4,2014,03,2,53,21,011,05,1,005,03,6223,46305,3, , , , , 
 4,2014,03,2,53,21,011,07,1,007,01,9311,08105,3, , , , , 
 4,2014,03,2,53,21,011,08,1,008,01,9122,45203,3, , , , , 
 4,2014,03,2,53,21,011,09,1,009,01,5415,84220,1,1,2,1,1,1
 4,2014,03,2,53,21,011,09,1,009,02,9211,01222,1,3,2,2,2,3
 4,2014,03,2,53,21,011,10,1,010,01,5415,84220,1,1,2,1,1,1
 4,2014,03,2,53,24,012,01,1,021,01,6224,03111,3, , , , , 
 4,2014,03,2,53,24,012,02,1,022,01,9520,47214,3, , , , , 
 4,2014,03,2,53,24,012,02,1,022,02,6111,01132,3, , , , , 
 4,2014,03,2,53,24,012,04,1,024,01,6113,01120,3, , , , , 
 4,2014,03,2,53,24,012,04,1,024,02,7512,47814,3, , , , , 
 4,2014,03,2,53,24,012,05,1,025,01,6224,03112,3, , , , , 
 4,2014,03,2,53,24,012,05,1,025,02,6224,03112,3, , , , , 
 4,2014,03,2,53,24,012,06,1,026,01,9313,41001,1,4, , , , 
 4,2014,03,2,53,24,012,06,1,026,03,7212,23942,1,4, , , , 
 4,2014,03,2,53,24,012,07,1,027,02,1420,47217,3, , , , , 
 4,2014,03,2,53,24,012,08,1,028,01,7112,41003,1,4, , , , 
 4,2014,03,2,53,24,012,09,1,029,01,9520,47214,3, , , , , 
 4,2014,03,2,53,24,012,10,1,030,01,9211,01132,1,4, , , , 
 4,2014,03,2,53,24,012,10,1,030,03,7212,23942,1,4, , , , 
 4,2014,03,2,53,33,013,01,1,011,02,6121,01441,3, , , , , 
 4,2014,03,2,53,33,013,02,1,012,01,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,02,1,012,02,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,03,1,013,01,9520,47214,3, , , , , 
 4,2014,03,2,53,33,013,04,1,014,01,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,05,1,015,01,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,06,1,016,01,6224,03112,1,2,2,2,2,3
 4,2014,03,2,53,33,013,06,1,016,03,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,07,1,017,01,6225,03111,1,2,2,2,2,3
 4,2014,03,2,53,33,013,08,1,018,01,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,08,1,018,02,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,09,1,019,01,6224,03112,1,2,2,2,2,3
 4,2014,03,2,53,33,013,10,1,020,01,6224,03112,3, , , , , 
 4,2014,03,2,53,33,013,10,1,020,02,1420,47217,3, , , , , 
 4,2014,03,2,91,03,020,01,1,081,01,9212,01271,3, , , , , 
 4,2014,03,2,91,03,020,01,1,081,03,9212,01271,4, , , , , 
 4,2014,03,2,91,03,020,01,1,081,04,7131,43304,1,4, , , , 
 4,2014,03,2,91,03,020,02,1,082,02,7116,41001,1,4, , , , 
 4,2014,03,2,91,03,020,03,1,083,01,9212,01271,3, , , , , 
 4,2014,03,2,91,03,020,04,1,084,01,9322,10791,1,1,1,2,2,3
 4,2014,03,2,91,03,020,06,1,086,01,9311,08991,1,3,2,2,2,3
 4,2014,03,2,91,03,020,06,1,086,03,7231,45209,3, , , , , 
 4,2014,03,2,91,03,020,06,1,086,04,7531,14101,3, , , , , 
 4,2014,03,2,91,03,020,07,1,087,02,9212,01271,3, , , , , 
 4,2014,03,2,91,03,020,07,1,087,03,9212,01271,4, , , , , 
 4,2014,03,2,91,03,020,08,1,088,01,8323,49222,3, , , , , 
 4,2014,03,2,91,03,020,09,1,089,01,9211,01271,1,4, , , , 
 4,2014,03,2,91,03,020,09,1,089,02,2342,85101,3, , , , , 
 4,2014,03,2,91,03,020,10,1,090,03,1221,47113,3, , , , , 
 4,2014,03,2,91,03,020,10,1,090,04,5211,47113,4, , , , , 
 4,2014,03,2,91,09,021,01,1,001,03,4110,84130,1,2,2,2,1,3
 4,2014,03,2,91,09,021,01,1,001,04,7531,14105,3, , , , , 
 4,2014,03,2,91,09,021,02,1,002,03,9313,41001,1,2,2,2,2,3
 4,2014,03,2,91,09,021,02,1,002,04,7531,14109,1,2,2,2,2,3
 4,2014,03,2,91,09,021,03,1,003,03,4110,84230,1,1,1,1,1,1
 4,2014,03,2,91,09,021,03,1,003,04,3122,14109,1,1,1,1,1,3
 4,2014,03,2,91,09,021,04,1,004,01,8111,08991,3, , , , , 
 4,2014,03,2,91,09,021,05,1,005,01,5211,47721,1,2,2,2,2,3
 4,2014,03,2,91,09,021,06,1,006,01,7116,41001,1,2,2,2,2,3
 4,2014,03,2,91,09,021,06,1,006,02,9212,01271,3, , , , , 
