REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,PSU,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4,P5Y,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH,Q4,Annualfac,,District,Psu,Factor
2,2011,1,1,11,1,1,1,1,1,1,1,54,3,2,2,5,5,2,2,2, ,461.92039896247,,11,1,461.92039896247
2,2011,1,1,11,1,1,1,1,2,2,2,55,3,2,2,5,5,2,1,2,2,461.92039896247,,11,2,408.627978699062
2,2011,1,1,11,1,2,1,2,1,1,2,57,4,3,3,5,5,2,2,2, ,461.92039896247,,11,3,748.554952500295
2,2011,1,1,11,1,2,1,2,2,3,2,28,4,3,5,4,5,2,2,2, ,461.92039896247,,11,4,466.179245928342
2,2011,1,1,11,1,2,1,2,3,3,2,21,4,3,1,10,5,1,1,2, ,461.92039896247,,11,5,719.336369457411
2,2011,1,1,11,1,2,1,2,4,5,1,10,4,3,1,3,1,2,1,2,2,461.92039896247,,11,6,208.179236717732
2,2011,1,1,11,1,2,1,2,5,5,2,2,4,3,1,  , , , , , ,461.92039896247,,11,7,498.84223670057
2,2011,1,1,11,1,3,1,3,1,1,1,34,3,2,2,5,5,2,2,2,2,461.92039896247,,11,8,444.164553982582
2,2011,1,1,11,1,3,1,3,2,2,2,28,3,2,2,8,5,1,1,2,2,461.92039896247,,11,9,419.32640458224
2,2011,1,1,11,1,3,1,3,3,3,2,7,3,2,1,1,1, , , ,2,461.92039896247,,11,10,361.85663381528
2,2011,1,1,11,1,3,1,3,4,3,1,1,3,2,1,  , , , , ,2,461.92039896247,,11,11,340.207091621203
2,2011,1,1,11,1,4,1,4,1,1,2,21,2,2,2,3,5,2,2,2, ,461.92039896247,,11,12,375.928836241429
2,2011,1,1,11,1,4,1,4,2,2,1,30,2,2,2,10,5,1,2,2, ,461.92039896247,,11,13,336.009731399902
2,2011,1,1,11,1,4,1,4,3,3,2,6,2,2,1,0,1, , , ,2,461.92039896247,,11,14,448.613244791484
2,2011,1,1,11,1,4,1,4,4,3,2,0,2,2,1,  , , , , ,2,461.92039896247,,11,15,313.274030201191
2,2011,1,1,11,1,6,1,6,1,1,1,60,3,2,2,4,5,2,2,2, ,461.92039896247,,11,16,338.335952617286
2,2011,1,1,11,1,6,1,6,2,2,2,45,3,2,2,5,5,2,1,2,2,461.92039896247,,11,17,451.185937234733
2,2011,1,1,11,1,6,1,6,3,3,1,22,3,2,1,10,5,2,1,2, ,461.92039896247,,11,18,74.3522149272905
2,2011,1,1,11,1,6,1,6,4,3,2,20,3,2,1,10,5,2,1,2,2,461.92039896247,,11,19,136.20139099528
2,2011,1,1,11,1,7,1,7,1,1,1,53,1,1,2,3,5,2,2,2,2,461.92039896247,,11,20,608.131742489254
2,2011,1,1,11,1,7,1,7,2,2,2,46,1,4,2,3,5,2,2,2,2,461.92039896247,,11,21,326.971205926447
2,2011,1,1,11,1,7,1,7,3,5,2,3,1,1,1,  , , , , , ,461.92039896247,,11,22,88.9399943677051
2,2011,1,1,11,1,8,1,8,1,1,2,65,4,3,3,19,5,2,2,2, ,461.92039896247,,11,23,367.635488082417
2,2011,1,1,11,1,8,1,8,2,5,1,21,4,3,2,6,5,1,2,2,2,461.92039896247,,11,24,277.237056439206
2,2011,1,1,11,1,8,1,8,3,5,2,21,4,3,2,12,5,1,2,1, ,461.92039896247,,11,25,99.0417533587855
2,2011,1,1,11,1,8,1,8,4,5,1,18,4,3,1,12,1,1,1,1, ,461.92039896247,,11,26,217.884229992073
2,2011,1,1,11,1,8,1,8,5,5,1,15,4,3,1,9,1,1,1,1, ,461.92039896247,,11,27,312.094347161094
2,2011,1,1,11,1,8,1,8,6,5,2,5,4,3,1,0,1, , , , ,461.92039896247,,11,28,371.50533532539
2,2011,1,1,11,1,8,1,8,7,5,1,0,4,3,1,  , , , , , ,461.92039896247,,11,29,402.601707837812
2,2011,1,1,11,1,9,1,9,1,1,2,50,1,1,2,6,5,2,2,2, ,461.92039896247,,11,30,476.002944184392
2,2011,1,1,11,1,9,1,9,2,2,1,48,2,4,2,3,5,2,2,2, ,461.92039896247,,11,31,436.668154111637
2,2011,1,1,11,1,9,1,9,3,3,2,18,2,4,2,10,5,1,2,2,2,461.92039896247,,11,32,491.251673375592
2,2011,1,1,11,1,9,1,9,4,5,1,20,1,4,2,10,5,1,2,2, ,461.92039896247,,11,33,691.720420935478
2,2011,1,1,11,1,10,1,10,1,1,1,52,5,3,5,5,5,2,2,2,2,461.92039896247,,11,34,605.36959800454
2,2011,1,1,11,1,10,1,10,2,3,1,18,5,3,1,9,5,1,2,2, ,461.92039896247,,11,35,777.132855520554
2,2011,1,1,11,2,1,1,11,1,1,1,73,1,1,2,2,5,2,2,2, ,408.627978699062,,11,36,499.018918806915
2,2011,1,1,11,2,1,1,11,2,2,2,70,1,1,2,19,5,2,2,2,2,408.627978699062,,11,37,179.092888597758
2,2011,1,1,11,2,1,1,11,3,5,1,60,1,1,1,5,5,1,2,2,2,408.627978699062,,11,38,204.037969509589
2,2011,1,1,11,2,2,1,12,1,1,1,40,3,2,2,5,5,2,2,2, ,408.627978699062,,11,39,563.163068130879
2,2011,1,1,11,2,2,1,12,2,2,2,40,3,2,2,5,5,2,1,2,2,408.627978699062,,11,40,351.16330034256
2,2011,1,1,11,2,2,1,12,3,3,2,5,3,2,1,0,1, , , ,2,408.627978699062,,11,41,478.302879782391
2,2011,1,1,11,2,3,1,13,1,1,1,46,2,2,2,6,5,2,1,1, ,408.627978699062,,11,42,436.954800087252
2,2011,1,1,11,2,3,1,13,2,2,2,46,2,2,2,19,5,2,2,2,2,408.627978699062,,11,43,147.811179614302
2,2011,1,1,11,2,3,1,13,3,3,1,25,2,2,1,12,5,2,1,1, ,408.627978699062,,11,44,640.378403805038
