	MONTH	SECTOR	DISTRICT	PSU_NO	HH_NO	BLANK	RES_1	RES_2	RES_3	TIME_1	TIME_2	TIME_3	QQ4	QQ5	QQ6	P1_SERIAL_NO	P3_RELATION_SHIP_TO_HEAD_OF_HOUS	P4_SEX	P5_AGE	P6_ETHNIC_GROUP	P7_RELIGION	P8_MARRIAL_STATUS	P10_PALCE_OF_BIRTH	P11_EDUCATIONAL_ATTAINMENT_5YEAR	P12_ATTENDANCE_AT_SCHOOL	P13_DID_HAVE_VOC_TECH_TRAINING	TEMP_1	P15_CODE	P16_FOMAL_INFORMAL	P17_DURATION	P18_REASON_FOR_GOING_ABROAD	P19_YEAR_OF_LEAVING	P20_COUNTRY_OF_EMPLOYMENT	P22_OCCUPATION	P23_DURATION	Q2_DID_ANY_WORK	Q3_DID_NOT_ANY_WORK	Q4_PASTWEEK_LOOKING_FOR_JOB	Q5_TAKEN_A_JOB_LASTWEEK	Q6_COULDNOT_WORK_LASTWEEK	Q7_NOT_AVAILABLE_LOOKING_FOR_JOB	Q8_WHY_DID_NOT_WORK	Q9A_INDUSTRY	Q9B_OCCUPATION	Q9C_SECTOR	Q9D_STATUS	Q9E_PAID_DAILY	Q10_SHIFT	Q11Y_HOW_LONG_HAVE_CURRENT_EMOLO	Q11M_HOW_LONG_HAVE_CURRENT_EMOLO	Q12Y_HOW_LONG_WORKING_THIS_OCCUP	Q12M_HOW_LONG_WORKING_THIS_OCCUP	Q13_NUMBER_OF_HOURS_USUALLY_WORK	Q14_NUMBEROF_HOURS_ACTIALLY_WORK	Q16_ASK_REASON	Q17_SECONDARY_WORKED	Q18A_INDUSTRY	Q18B_OCCUPATION	Q18C_SECTOR	Q18D_STATUS	Q19Y_HOW_LONG_ENGEGED_THIS_ACTIV	Q19M_HOW_LONG_ENGEGED_THIS_ACTIV	Q20_NO_OF_HOURS_ACTUALLY_WORKED	Q21_ADDITIONAL_WORK	Q22_LOOKING_FOR_ALTERNATIVE_WORK	Q23_WORK_EXPECT_TO_GET	Q24_LOWEST_WAGE_WOULD_ACCEPT	Q25_AVAILABLE_FOR	Q26_SEARCH_OF_WORK	Q27_HOW_LONG_SEEKING	Q28_SEEKING_EMPLOYMENT	Q29_EVER_HAVE_A_JOB	Q30_WHEN_LAST_TIME_JOB	Q31_WHAT_KIND_OF_WORK	Q32_ASSISTANCE_DURING_PERIED_OF	Q33_DO_ANY_WORK_FOR_PAY_PROFIT	Q34_NO_WEEK_WORKED_IN_EACH_MONTH	Q36_AVAILABLE_FOR_WORK	Q37_LOOKING_FOR_WORK_IN_EACH	Q38_THIS_PERSON_WAS	Q39_MAIN_OCCUPATION	Q40A_MULTIPLY_WAGE_DAYS_WORKED	Q40B_ANY_PAYMENTS_IN_KIND	Q41_EMPLOYER_THE_SECONDARY_ACTIV	Q42A_EARNING_FROM_SECOND_JOB	Q42B_ANY_PAYMENTS_IN_KIND	INFLATION_FACTOR
0	1	1	1	88	34	2	1	 	 	25	  	  	  	  	1	2	2	2	47	4	3	2	16	15	2	1	  	  	 	  	 	    	  	    	  	 	1	 	 	 	 	3	8310	2322	1	1	2	1	21	0	21	0	30	0	3	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	1	7000	2	2	     	 	99.8312
1	1	1	2	247	32	2	6	4	1	10	5	45	0	0	1	2	2	2	51	1	4	2	1	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	5203	7412	2	1	2	2	28	0	28	0	4	0	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	6	2	  	3	1	2800	2	2	     	 	286.1043
2	1	1	2	247	35	2	1	 	 	30	  	  	  	  	1	2	2	2	38	1	4	2	2	7	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	2220	7433	2	3	 	 	10	0	10	0	28	0	4	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	28	 	  	1	2	     	 	2	     	 	286.1043
3	1	1	2	247	35	4	1	 	 	30	  	  	  	  	1	4	7	2	26	1	1	1	7	9	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	2220	7433	2	1	2	1	0	9	0	9	40	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	36	 	  	1	1	2500	2	2	     	 	286.1043
4	1	1	2	247	42	1	1	 	 	30	  	  	  	  	1	1	1	1	26	1	4	2	2	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	0	0	2	1	1	1	7	0	5	0	48	0	9	2	    	    	 	 	  	  	  	2	1	    	    	 	     	  	 	 	 	    	     	1	24	1	8	1	1	1750	2	2	     	 	286.1043
5	1	1	2	268	32	2	6	4	1	10	5	45	0	0	1	2	2	2	51	1	4	2	1	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	5203	7412	2	1	2	2	28	0	28	0	4	0	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	6	2	  	3	1	2800	2	2	     	 	57.691
6	1	1	2	268	35	2	1	 	 	30	  	  	  	  	1	2	2	2	38	1	4	2	2	7	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	2220	7433	2	3	 	 	10	0	10	0	28	0	4	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	28	 	  	1	2	     	 	2	     	 	57.691
7	1	1	2	268	35	4	1	 	 	30	  	  	  	  	1	4	7	2	26	1	1	1	7	9	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	2220	7433	2	1	2	1	0	9	0	9	40	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	36	 	  	1	1	2500	2	2	     	 	57.691
8	1	1	2	268	42	1	1	 	 	30	  	  	  	  	1	1	1	1	26	1	4	2	2	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	0	0	2	1	1	1	7	0	5	0	48	0	9	2	    	    	 	 	  	  	  	2	1	    	    	 	     	  	 	 	 	    	     	1	24	1	8	1	1	1750	2	2	     	 	57.691
9	1	1	3	117	13	1	1	 	 	30	  	  	  	  	1	1	1	1	54	1	1	2	3	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	5203	5210	2	1	 	1	31	0	31	0	70	0	9	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	29	 	  	1	1	1	 	2	     	 	138.1225
10	1	1	7	16	5	2	1	 	 	35	  	  	  	  	1	2	2	2	41	1	1	2	1	13	2	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	8310	4121	1	1	2	1	15	0	15	0	35	0	3	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	35	 	  	1	1	4000	2	2	     	 	134.38
11	1	1	20	168	2	2	4	 	 	4	  	  	  	  	 	  	 	2	29	1	1	2	20	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	8599	9322	1	1	2	1	2	0	2	0	40	0	9	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	22	1	26	2	1	1400	2	2	     	 	112.1005
12	1	1	20	168	10	5	1	 	 	75	  	  	  	  	1	5	3	2	23	1	1	1	20	1	5	1	  	  	 	  	 	    	  	    	  	 	1	 	 	 	 	1	2220	7436	2	1	2	3	2	0	2	0	40	0	1	2	    	    	 	 	  	  	  	 	 	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	1	2500	2	2	     	 	112.1005
13	1	2	1	178	137	2	1	 	 	20	  	  	  	  	1	2	3	1	33	1	1	2	1	13	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	5203	5220	2	3	 	6	5	0	5	0	40	40	 	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	23	2	  	3	2	     	 	2	     	 	310.579
