YEAR,DISTRICT,AGE_CAT,GENDER,COUNT
2016,11,3,2,374676.26346863783
2016,11,2,2,244321.30565332234
2016,11,2,1,117651.91784255899
2016,11,3,1,94013.83252117998
2016,11,1,2,26409.896631370808
2016,11,1,1,31205.228221213212
2016,12,3,2,402670.9894453593
2016,12,1,1,24686.054556021172
2016,12,2,2,231090.9069325695
2016,12,3,1,107032.98235056712
2016,12,2,1,106575.54521086275
2016,12,1,2,28799.899794492318
2016,13,3,2,202585.85509213232
2016,13,3,1,51060.30303327463
2016,13,1,1,16642.246854847417
2016,13,2,2,116016.53696203946
2016,13,2,1,52921.90234463326
2016,21,3,2,241090.4563844988
2016,21,3,1,52231.46019716624
2016,21,2,2,149033.32225462934
2016,21,2,1,65460.558304927166
2016,22,2,2,39185.998016698126
2016,22,3,2,74062.00421780164
2016,22,2,1,17683.98173912242
2016,22,3,1,19176.87787547507
2016,22,1,1,5766.084876361272
2016,22,1,2,6179.826992247776
2016,31,2,2,97380.15289788504
2016,31,3,2,185931.70240498823
2016,31,2,1,42872.50839342704
2016,31,3,1,51636.14751198608
2016,31,1,2,14537.776538805163
2016,31,1,1,13769.192809984983
2016,32,3,2,135434.19105774176
2016,32,2,2,78251.41496316182
2016,32,3,1,33660.77882622813
2016,32,1,2,7925.659296241735
2016,32,2,1,36053.75708379768
2016,33,3,2,101342.9499978114
2016,33,1,2,6508.483484832368
2016,33,2,2,46962.25760692152
2016,33,3,1,26701.393093980412
2016,33,2,1,20930.79924455028
2016,33,1,1,6963.28976468196
2016,41,2,2,68433.32311908358
2016,41,3,2,122557.1099088367
2016,41,2,1,30511.911796649263
2016,41,3,1,29070.68843424829
2016,43,3,1,7667.253134044377
2016,43,2,1,5174.003900780759
2016,43,2,2,13006.277134453268
2016,43,3,2,33329.685556968885
2016,51,3,2,128956.49017805257
2016,51,2,2,37526.097761208905
2016,51,3,1,23017.772679796
2016,52,3,2,159610.8422805069
2016,52,2,2,42706.79569049475
2016,52,3,1,40485.406068290926
2016,52,1,2,9626.801104731132
2016,62,3,2,132191.10282915068
2016,62,1,2,9064.686941184013
2016,62,3,1,30395.463101288115
2016,62,1,1,12260.599742396014
2016,62,2,2,65695.88078900514
2016,92,3,2,126796.03441537001
2016,92,2,2,85765.57644262661
2016,92,3,1,34858.701507057915
2016,92,2,1,30313.721141808855
2016,13,1,2,16589.425178529724
2016,21,1,2,21713.61976346154
2016,21,1,1,17922.894506977864
2016,23,2,1,24330.8478245463
2016,23,3,2,89539.64352842698
2016,23,2,2,49707.07540634613
2016,23,3,1,24300.522964738342
2016,23,1,2,10468.333655622997
2016,23,1,1,12247.888501385018
2016,32,1,1,9872.49335199347
2016,41,1,2,8520.019891275546
2016,41,1,1,8327.969873972768
2016,42,2,2,6335.816014116389
2016,42,3,2,25238.66442486485
2016,42,1,1,1924.2187707276346
2016,42,1,2,1794.4594094695321
2016,42,3,1,5587.10886840179
2016,43,1,2,2687.9893015637563
2016,44,3,2,17353.261491866848
2016,44,2,2,6618.376957200554
2016,44,3,1,3488.2891782977263
2016,44,1,1,1919.099264675674
2016,44,2,1,2584.7950685712526
2016,45,2,2,9130.539467353674
2016,45,3,2,23170.751977067972
2016,45,3,1,6118.780133074601
2016,45,2,1,3867.2654189897166
2016,45,1,2,1933.9031954101147
2016,51,1,2,10736.06922765785
2016,51,1,1,9020.352418720622
2016,51,2,1,14612.438419437522
2016,52,1,1,11142.501185465926
2016,52,2,1,19197.080688201764
2016,53,3,2,87895.24179296753
2016,53,3,1,14157.844342720804
2016,53,1,2,5172.973350781178
2016,53,2,2,25290.93928727909
2016,53,2,1,11565.080778122561
2016,61,3,2,235214.67590545292
2016,61,2,1,56371.36246899827
2016,61,2,2,143180.69148944426
2016,61,3,1,56489.024884835424
2016,61,1,1,17388.19351414429
2016,61,1,2,18987.58972169958
2016,62,2,1,19730.274691637744
2016,71,2,1,25216.062155428946
2016,71,2,2,58232.88593646305
2016,71,3,2,125805.57606816255
2016,71,1,1,10799.410695118651
2016,71,3,1,28611.87029188905
2016,71,1,2,13305.620444640876
2016,72,2,2,31879.955164630264
2016,72,3,2,72630.09256544815
2016,72,3,1,10543.36350095249
2016,72,2,1,12969.363646345773
2016,72,1,2,4922.321392603423
2016,72,1,1,3387.8341836805334
2016,81,2,2,68646.14144625523
2016,81,3,2,127141.82788483809
2016,81,1,2,12213.95722929607
2016,81,2,1,27444.283995006772
2016,81,3,1,31821.083861324656
2016,81,1,1,11666.832212757517
2016,82,3,2,79560.52727403762
2016,82,3,1,20323.357469140836
2016,82,2,1,13312.03195995371
2016,82,2,2,28195.38173161075
2016,82,1,2,5384.903388854838
2016,91,3,1,41964.62571203189
2016,91,1,2,16029.285160198562
2016,91,3,2,171390.9728829688
2016,91,2,2,96675.63091221318
2016,91,1,1,12810.466386583079
2016,91,2,1,45119.24253154204
2016,92,1,1,11679.962029546476
2016,53,1,1,4985.678943621315
2016,42,2,1,2954.1386109938294
2016,44,1,2,1226.7363348262838
2016,45,1,1,2070.3547781711004
2016,82,1,1,4947.77113420141
2016,92,1,2,10022.212292861066
2016,43,1,1,1540.9680207350088
2017,11,3,2,370508.46817102196
2017,11,3,1,83164.53638363544
2017,11,2,1,123606.05135895437
2017,11,2,2,235097.98401205594
2017,11,1,1,31175.270817654324
2017,11,1,2,36530.173014392596
2017,12,3,2,390501.3920532095
2017,12,2,1,119949.95017523717
2017,12,2,2,250222.42802771137
2017,12,1,2,39026.60067310223
2017,12,1,1,37678.50202829172
2017,12,3,1,97043.06799431719
2017,13,2,1,64935.957602940725
2017,13,2,2,125621.8268270254
2017,13,3,2,194817.95461823363
2017,13,1,2,21959.680215875447
2017,13,1,1,19235.141307685528
2017,13,3,1,44135.51487329915
2017,21,3,2,226107.3952481767
2017,21,2,2,143403.0556306435
2017,21,1,1,21460.986428517885
2017,21,2,1,63921.267936563374
2017,21,1,2,28680.19036257027
2017,21,3,1,45164.12908383246
2017,22,3,2,78606.78024060333
2017,22,2,2,43916.613750962555
2017,22,1,1,9120.62851717872
2017,22,3,1,12556.56931213022
2017,22,2,1,21632.0767147245
2017,22,1,2,7744.647840889369
2017,23,2,1,36828.11126951365
2017,23,3,2,80940.39829415594
2017,23,2,2,57723.889484576575
2017,23,1,2,8697.138681448567
2017,23,3,1,18629.128579813405
2017,23,1,1,9160.492857547551
2017,31,2,2,100611.81286207674
2017,31,3,2,170285.7258182747
2017,31,3,1,46460.38322120992
2017,31,2,1,52781.90574918487
2017,31,1,1,21002.07183960752
2017,31,1,2,16921.993002091855
2017,32,3,2,126118.41159637638
2017,32,2,2,74271.28821716744
2017,32,3,1,29880.44715324377
2017,32,1,2,14961.83793138858
2017,32,2,1,39682.95767806166
2017,32,1,1,11937.976832281647
2017,33,3,2,103202.74567586441
2017,33,3,1,23862.894218035723
2017,33,2,2,57215.99977710414
2017,33,2,1,22592.56375751545
2017,33,1,2,13690.313987293928
2017,33,1,1,9333.260487435075
2017,41,3,2,131118.9118880865
2017,41,2,2,68093.83606111308
2017,41,1,2,9472.318332233059
2017,41,1,1,10890.763072668264
2017,41,3,1,29986.5602137327
2017,41,2,1,33816.60820155685
2017,42,2,2,9056.93094270232
2017,42,3,2,21918.872111248245
2017,42,3,1,6216.512279983788
2017,42,2,1,3459.989139192026
2017,42,1,2,1800.3653234196565
2017,42,1,1,3145.445309754202
2017,43,1,1,3959.0546920695924
2017,43,2,1,5552.445391215926
2017,43,3,2,30264.733042461896
2017,43,2,2,12665.991082960889
2017,43,3,1,7309.902155838543
2017,43,1,2,3053.3622021788965
2017,44,2,1,4089.7151882619114
2017,44,2,2,7965.183614117002
2017,44,3,2,16925.754555940246
2017,44,3,1,4216.246848297389
2017,44,1,2,2045.2178454787852
2017,44,1,1,1488.153674080805
2017,45,3,2,22949.84927026211
2017,45,2,2,9976.405476323862
2017,45,2,1,5171.570934252579
2017,45,3,1,5045.984701028982
2017,45,1,2,2607.2491556350633
2017,45,1,1,2454.77180358376
2017,51,3,2,121845.45870734839
2017,51,1,1,12211.797686314683
2017,51,1,2,13883.666483188948
2017,51,2,2,41566.62363230835
2017,51,3,1,27452.45901650032
2017,51,2,1,14800.939210030496
2017,52,3,1,27851.988653953187
2017,52,3,2,144642.57287046162
2017,52,2,2,51286.89735215382
2017,52,1,1,11159.522493137812
2017,52,2,1,27121.344488320687
2017,52,1,2,12722.026521697335
2017,53,3,2,86517.76227449294
2017,53,3,1,17608.00295024257
2017,53,2,1,13714.658967499623
2017,53,2,2,27627.942723319
2017,53,1,2,8189.5779865404165
2017,53,1,1,5817.969787009261
2017,61,2,1,59774.05300822975
2017,61,3,2,239404.37270606804
2017,61,2,2,151826.961166693
2017,61,1,1,25729.42078479366
2017,61,3,1,51610.24413594197
2017,61,1,2,21771.935857106146
2017,62,2,1,26466.847371263324
2017,62,2,2,62319.74808685914
2017,62,3,2,131162.21953643273
2017,62,3,1,25609.306211330728
2017,62,1,1,11801.633700374401
2017,62,1,2,12311.534797170527
2017,71,2,2,64079.76747485159
2017,71,3,2,120383.83954061533
2017,71,3,1,25579.57619946854
2017,71,2,1,28353.76989771805
2017,71,1,2,14830.637341598083
2017,71,1,1,14306.758970239869
2017,72,3,1,13181.888405053382
2017,72,2,2,33825.456874358475
2017,72,2,1,19565.64309251961
2017,72,3,2,78614.61180903309
2017,72,1,1,6148.780227203892
2017,72,1,2,6215.798091947511
2017,81,3,2,109887.19611916429
2017,81,1,2,16840.690253821016
2017,81,2,1,34953.13637613914
2017,81,2,2,69384.16392551814
2017,81,3,1,27773.089785910674
2017,81,1,1,14252.971591513844
2017,82,2,2,33785.30997195468
2017,82,3,2,73266.05685011708
2017,82,1,1,9184.678795835825
2017,82,3,1,15219.277072103878
2017,82,1,2,8997.629456395784
2017,82,2,1,13105.81350711651
2017,91,2,1,45028.5456584568
2017,91,2,2,89457.82252353807
2017,91,1,2,13994.161672269605
2017,91,3,2,173410.62483107203
2017,91,1,1,18645.254913684377
2017,91,3,1,38390.12157243646
2017,92,2,2,78837.38244013148
2017,92,3,1,34531.23243441787
2017,92,3,2,128322.26065911989
2017,92,1,2,14152.744811078837
2017,92,2,1,38234.902209479915
2017,92,1,1,13967.46503886198
